,DATA,TENTÚGAL..12F.01UG.,TIBO.DA.GAVIEIRA..02H.05G.,TOJEIRAS.DE.CIMA..18H.04UG.,TOMAR..16G.01UG.,TORRE.DE.DONA.CHAMA..04O.01G.,TORRE.DO.PINHÃO..05L.03UG.,TORRES.NOVAS..17F.05UG.,TORRÃO..24H.01UG.,TOURO..08K.01UG.,TRAVANCAS..03N.01G.,TRINDADE..26J.01UG.,TROUXEMIL..12G.04UG.,TURIZ..04G.03UG.,TURQUEL..17D.01UG.,TÁBUA..11I.04UG.,UCHA..04F.03UG.,VALADARES..03E.04UG.,VALE.DE.CAMELOS..27J.03C.,VALE.DE.ESPINHO..12P.01UG.,VALE.DE.FIGUEIRA..07L.10UG.,VALE.DE.ÉGUA..04M.02UG.,VALE.DO.PESO..17L.02UG.,VALE.DO.ROSSIM..11L.09G.,VALE.PEREIRO..21K.03UG.,VALENÇA..01F.02UG.,VALES..VALPAÇOS...05M.04UG.
2,01/01/2009 09:00,282.3,456.5,,119.2,63.1,,,90.8,31.7,,20.8,207.8,,176.3,,,,82.3,,97.8,117.1,128.6,379.7,104.3,194.9,89.1
3,01/02/2009 09:00,132.2,142.1,0.3,52.2,56.1,,,,27.6,,47.6,65.5,,83.6,,,,56.9,,,90.6,78,79.2,53.4,86.3,86.7
4,01/03/2009 09:00,79,77,,11.2,9.8,,,,15.7,,17.2,32.9,,,,,,21.1,,,10.8,21,56.5,,47.1,32.5
5,01/04/2009 09:00,112.1,144.7,,33,25.7,,16.2,27.7,50.3,45.3,30.6,81.9,,,61.3,,,31.9,,,,36.8,108,,103.4,16.8
6,01/05/2009 09:00,42.6,93.7,37.9,17.2,41,,33.7,0.2,28.9,29.5,,26.8,15,,31.7,9.3,85.8,7.9,,,,8.8,56.8,,38.5,21.5
7,01/06/2009 09:00,85.9,156.1,50.4,35.3,36.1,,33.1,0.1,42.3,,,60.1,95.9,53.3,72.4,0.8,2.2,6.6,29.3,45.6,35.2,18.7,76.7,,32.6,5.4
8,01/07/2009 09:00,23.2,68.1,2.4,3.5,20.8,0,2.5,0.3,18.9,18.3,,16.8,19.7,19.9,14.2,0.6,0,1.7,7.7,11.5,34.3,0.8,19.6,,12.8,5.9
9,01/08/2009 09:00,,11.1,2.6,1.6,7.1,0,0,0,8,12.4,,6,5.4,7.8,31.5,0,0.2,0,20.5,31.3,4.9,10.9,14.1,0,0.6,0
10,01/09/2009 09:00,,2.3,5.5,4.5,0.2,0.2,0,0,4.4,1.5,,13.8,5.7,,13.3,3.2,0.3,3.8,10.7,7.9,0.5,3.3,42.3,12.5,0.2,0
11,01/10/2009 09:00,152.6,77.5,11.1,77.1,0.8,59.8,0,0,,138.6,,85.5,174,93.1,99.5,0,0.3,3.9,111.6,79.6,106.4,52.1,140.7,40.7,,0.4
12,01/11/2009 09:00,238.6,99.4,0.1,61,0,157.9,,0,53.4,144.8,20.1,177.1,76.7,201.6,138.6,0,0.5,0.3,120.2,138.4,131.7,53.5,194.3,42.3,29.6,0
13,01/12/2009 09:00,285,73.2,,,88,267.9,,,0,241.5,143.2,196.5,206.2,,128.5,9.4,0.2,6.9,,,250.2,,298.5,145.2,,147.7
,,1433.5,1401.7,110.3,415.8,348.7,485.8,85.5,119.1,281.2,631.9,279.5,970.7,598.6,635.6,591,23.3,89.5,223.3,300,412.1,781.7,412.5,1466.4,398.4,546,406
