,DATA,MACEDO.DE.CAVALEIROS..04P.06UG.,MACHOQUEIRA.DO.GROU..19G.01UG.,MALFRADES..29K.03UG.,MALPICA.DO.TEJO..15M.03UG.,MALVEIRA.DA.SERRA..21A.12G.,MARCO.DE.CANAVEZES..06I.02UG.,MARGEM..17J.02UG.,MARMELETE..30E.02UG.,MATA..14M.02UG.,MAXIAL..19B.03UG.,MECA..19C.08C.,MERCADOR..30K.01UG.,MERCEANA..19C.07G.,MESQUITA..28L.02UG.,MESQUITELA..10M.03UG.,MEXILHOEIRA.GRANDE..31F.02UG.,MILHARADO..20B.06UG.,MINAS.DE.JALES..05L.02C.,MINDE..16E.02G.,MIUZELA..10O.03G.,MOGADOURO..05Q.03UG.,MOIMENTA.DA.RAIA..02P.01C.,MOINHOLA..22F.03C.,MOLEDO..18B.01UG.,MONCHIQUE..30F.01C.,MONCORVO..06O.04UG.,MONFORTE..19M.01UG.,MONFORTE.DA.BEIRA..15N.01UG.,MONTARIA..03E.05UG.
2,01/01/2009 09:00,69.4,8.6,76.1,82.7,,69.2,77.2,0,,212.6,99.4,67.9,116.6,1.1,118.8,85.9,146.5,170.5,190.2,,,,,159.5,,,,,
3,01/02/2009 09:00,43.3,0.6,,46.2,,0,26.2,0,,133.4,60,46.6,57.1,0.8,37.8,80,97.5,61.8,89.5,,,,86.1,75.1,149.4,,62.3,,
4,01/03/2009 09:00,10.3,4.7,,,,27.7,,,,40,9.5,27,16.3,14,,,25.2,,50.4,,,,13,21.6,77.6,,16.8,,
5,01/04/2009 09:00,16.6,2.2,,,,65.9,,77.6,,62.5,34.4,25.9,44.3,11.5,,,,,62,,,,31.1,,82.1,,31.5,,
6,01/05/2009 09:00,20.1,0.4,,,48.1,15.3,17.7,23.6,,50.4,31.1,14.1,,1.4,,,,32,,,14.3,,11.8,,40.9,18.3,1.8,,91.1
7,01/06/2009 09:00,33.7,3.4,0.6,,26.1,8.5,35.7,21.9,,41.4,24.7,4.1,62.3,0.5,,,28.5,53.7,,,20.5,64.5,28.1,,36.2,36.1,0.3,,
8,01/07/2009 09:00,3.6,0.3,0.2,0.4,3.8,13.8,2.7,0.3,0.4,7.6,0.2,0.3,3.7,0,,,5.4,34.5,,6.2,3.6,6.2,2.2,11.9,2.2,4.3,0.2,0.2,1
9,01/08/2009 09:00,4.8,2.1,0.1,0.4,5.6,6.1,3.6,0,3.8,9.3,,0,4.9,0,,0,3.2,5.7,3.7,7,0.1,0.2,0.3,15.8,0.3,,0,0.1,0
10,01/09/2009 09:00,6.9,0.5,0.1,5.5,7.9,1.6,4.6,2.8,9,12.6,,7.8,11.4,13.5,,3.1,7.3,1,9.2,8.8,0,0,0,29.3,5.7,13.6,0,10.6,1.5
11,01/10/2009 09:00,,,0.2,45.5,56.8,11.8,67.1,48.8,70.8,57.4,,0.6,,7.1,,,74.8,125.5,145.2,74,23.2,0.8,33,131.1,77.6,67.9,63,42.5,0.1
12,01/11/2009 09:00,106.4,,0.3,51.9,111.5,0,61.4,50.4,58.5,,,3.8,,9.3,,23.1,140.6,60.2,,61.7,96.3,1.1,55.2,192.1,94.4,,12.1,41.7,0
13,01/12/2009 09:00,,,110.4,183.1,150.3,0,197,30.1,186.6,,,,,52.8,,271.7,197.8,247.8,,123.3,,,156.9,,503.5,,148.2,197.5,0
,,315.1,22.8,188,415.7,410.1,219.9,493.2,255.5,329.1,627.2,259.3,198.1,316.6,112,156.6,463.8,726.8,792.7,550.2,281,158,72.8,417.7,636.4,1069.9,140.2,336.2,292.6,93.7
