,DATA,PENAMACOR..12O.01UG.,PENEDA..02H.03UG.,PENEDOS..29K.04UG.,PENEDOS.DE.ALENQUER..19C.04C.,PENELA..13G.01UG.,PENHA.GARCIA..13O.01UG.,PENHAS.DOURADAS..11L.10G.,PEREIRO..29L.01UG.,PERNES..17F.01UG.,PICOTA..30K.02C.,PINCÃES..03I.08UG.,PINELA..03Q.02UG.,PINELO..04R.02G.,PINHEL..09O.01G.,PITÕES.DAS.JÚNIAS..02J.01G.,POMBAL..14F.01UG.,POMBAS..18H.02UG.,PONTE.DA.BARCA..03G.02C.,PONTE.DE.LIMA..03F.01G.,PONTÉVEL..19E.03UG.,PORCHES..31G.02UG.,PORRAIS..05Q.05G.,PORTEL..24K.01UG.,PORTELA.DO.VADE..03G.03UG.,PORTELINHA..01H.02G.,PRAGANÇA..18C.01G.,PRAIA.DE.MIRA..11E.01C.,PÍNZIO..10O.01UG.,PÓVOA.E.MEADAS..16L.04UG.,QUEIRIGA..09K.02UG.,QUINTA.DAS.LAMPAÇAS..04P.02G.,RAMELA..11N.01UG.,REBORDELO..03O.01UC.,REGO.DA.MURTA..15G.02G.,REGUENGOS..23L.01G.
2,01/01/2009 09:00,,,,,,130.8,417.3,82.1,109.7,,376.6,,51.4,84.1,,171.9,3,,,97.9,115,82.1,105.1,,,118.1,118.7,95,107.3,,,134.1,,180.9,106.7
3,01/02/2009 09:00,55.5,,,,,97.7,75.7,39.9,48.6,,111.9,,61.7,32.3,,68.3,0.1,103,81,50.3,59.8,39.5,73.3,,,82.4,67.4,31.2,60.4,,,58.2,,61.5,54.1
4,01/03/2009 09:00,12.2,,29.3,,,10.5,,24.7,0.4,31.2,43.2,,6.3,5.8,,29.4,,33.8,43.6,9.9,,4.6,18.5,,,41,11.1,10.2,,,,,,21.1,13.5
5,01/04/2009 09:00,21.7,,27.7,54.5,73.7,34.4,,30.2,53.1,32.4,104.7,,15.5,2.6,80.6,70.7,,94.2,119.8,38.6,,12.3,33.6,,,66.8,43.4,18.2,,,23.5,,,47.4,33.7
6,01/05/2009 09:00,16.8,78,1.5,54.3,45.3,29.5,,13.1,26.7,,39.8,25.1,18.1,20.7,72.2,30,39,43,55.5,25,,0.4,12.7,18.2,,71.3,27,0.1,4.9,,,,26.5,50.5,7.9
7,01/06/2009 09:00,25.5,87.4,8.6,0,48.8,9,,5.2,50,,,30.7,29.9,26.2,104.8,58.6,38.6,121.5,138.5,41.2,,0.9,10.9,32.1,96.8,67.4,25.2,0,12.3,,13.5,40.8,39.9,65.2,15.2
8,01/07/2009 09:00,2.5,2,0,0,16.9,1.5,,0.1,2.7,,1.8,1.3,5.4,7.6,94.1,13.5,2,64.6,72.6,3,0,0,1.3,79.2,73.3,6.6,10.8,0,0,18.1,9.7,12.1,16.2,8.2,0.5
9,01/08/2009 09:00,1.3,0,0.2,0,3,0.3,,4.5,2.6,,,0.5,1.2,2.3,11.3,4.4,73.2,13.5,15.4,4.5,0,0.2,0,0.2,12.9,12.8,13.2,0,0,20.9,7.6,6.2,0.9,5.1,0
10,01/09/2009 09:00,13.2,0.7,31.6,0,,44.3,,12.2,16.7,,2.9,0.8,0.2,11.8,3.7,3.9,29.6,4.3,10.1,3.5,6.6,0,5.6,3.3,19.4,17.1,16.3,0,0,13,2.2,8.6,0,11,2.4
11,01/10/2009 09:00,48.2,47.1,18.1,0,100.8,86.9,122.1,15.2,79.9,36.9,119.6,4.9,13.5,54,189,93.2,0.1,154.2,175.2,61.9,0.2,0.2,1.2,30.6,188.1,86.9,156.7,0.5,0,90.7,1.3,124.5,3.4,127.1,1.4
12,01/11/2009 09:00,54.9,1.2,8.5,0,175.3,74.3,210.6,12.2,88.2,15.7,235.4,,0.6,69.6,337.2,180.9,1.6,274.8,262,89.4,0,0.1,32.9,131.6,309.7,172.5,203.1,0.3,0,186.4,0.9,,0.3,145.1,0
13,01/12/2009 09:00,,2.2,56.1,141.3,,,304.7,176.4,,337.9,447.6,,171.2,114.7,529.3,169.9,,385.9,345.3,167.9,72.4,87.8,199.2,185.3,408.5,222.5,233.2,49.1,2.3,,183.4,,172.9,161.3,151.3
,,251.8,218.6,181.6,250.1,463.8,519.2,1130.4,415.8,478.6,454.1,1483.5,63.3,375,431.7,1422.2,894.7,187.2,1292.8,1319,593.1,254,228.1,494.3,480.5,1108.7,965.4,926.1,204.6,187.2,329.1,242.1,384.5,260.1,884.4,386.7
