,DATA,DEGRACIAS..13F.02UG.,DEILÃO..02R.02G.,ENTRE.OS.RIOS..07H.01UG.,ERMESINDE..06F.03UG.,ERMIDA..03I.07G.,ESCALHÃO..08P.02G.,ESCUDEIROS..05G.05UG.,ESPERANÇA..19N.03UG.,ESPOSENDE..04E.02UG.,ESTOI..31J.04UG.,ESTREITO..14K.04UG.,ESTREMOZ..20L.01G.,FAZ.FATO..30L.03UG.,FEITEIRA..30J.03G.,FERREIRA.CAPELINS..22M.04UG.,FERREIRA.DO.ALENTEJO..25I.01UG.,FIGUEIRÓ.DOS.VINHOS..14H.01UG.,FOLGARES..06N.01C.,FONTE.DA.ALDEIA..05S.01UG.,FONTE.LONGA..06N.03UG.,FONTELA..04H.02UG.,FORNINHOS..09L.02UG.,FRAGOSELA.DE.BAIXO..10J.03UG.
2,01/01/2009 09:00,311.9,,,,,79.2,279.2,95.9,,0.3,155,76.4,82.9,70.6,108.9,87,,49.9,66.6,,,164,150.4
3,01/02/2009 09:00,83.8,54.8,,,3.2,30.6,90.1,62,,0.2,85.2,57.4,,,73.8,53.7,,43.3,32.5,36.2,,59.7,76.2
4,01/03/2009 09:00,57.6,12.3,,,52.2,9,27.3,15.2,,,19.4,15.6,,,9.7,18.3,,1.3,4.8,4.5,,,
5,01/04/2009 09:00,105.1,31.6,,,56.1,24.7,18.4,20.8,,,52.5,,,,45.2,6.2,,25.9,18.1,36.1,,,
6,01/05/2009 09:00,49.6,30.1,,,44.4,23.1,31.3,6.3,28.5,,45.9,,,,3,2.2,,17.7,11.4,19,,,
7,01/06/2009 09:00,55.7,35.7,,,46,33.6,,11.4,,5.6,34.7,,,7.2,14.9,0.7,,35.9,2,49.8,123.3,,
8,01/07/2009 09:00,21.1,14.5,23.1,,53.9,11.3,49.1,1.2,34.5,1.5,6.4,1.5,,2.3,0.3,0,,6.3,0.1,5.5,29.2,20.4,
9,01/08/2009 09:00,5.8,12.3,5.5,,1.1,5.7,11.1,0,11.4,0,16.7,0.1,0,0.2,0,0.2,4,1.5,0.1,2,2.8,12.8,19.1
10,01/09/2009 09:00,,0.7,0,8.2,4.7,4.6,4.7,9.5,4.7,1.7,55.9,12.5,4.3,11,2.4,4.5,15.8,2.3,0.2,2.4,2.6,14.1,20.5
11,01/10/2009 09:00,,71.8,4.5,131.5,154.5,63.3,118,67.7,73.1,22,113,51.6,31.8,4,10.9,0.1,128.5,86,29,,26.2,91.9,91.5
12,01/11/2009 09:00,,121.7,29.3,193,194,75.8,240.8,35.9,206.7,16.5,101.6,42.1,15.9,4.5,0.8,0,222.4,118.1,0.2,,28.6,133.6,156.6
13,01/12/2009 09:00,,,0.4,219.2,472.3,120.3,349.9,172.2,246.1,169.8,209.8,,344.6,11.5,5.9,96.4,211.5,113.2,160.3,233,348.8,203.3,277.4
,,690.6,385.5,62.8,551.9,1082.4,481.2,1219.9,498.1,605,217.6,896.1,257.2,479.5,111.3,275.8,269.3,582.2,501.4,325.3,388.5,561.5,699.8,791.7
