,DATA,VARZIELAS..10H.02G.,VENDA.NOVA..03J.07G.,VENDAS.NOVAS..21G.01UG.,VIADE..03J.04UG.,VIANA.DO.ALENTEJO..24I.01C.,VIDAGO..04L.01UG.,VIDIGAL..30F.05C.,VIDIGUEIRA..24K.02UG.,VILA.CHÃ..MINDELO...06E.03UG.,VILA.DA.PONTE..03J.05G.,VILA.NOGUEIRA.DE.AZEITÃO..22C.02UG.,VILA.NOVA.DE.CERVEIRA..02E.02GC.,VILA.POUCA.DE.AGUIAR..05L.01UG.,VILA.VIÇOSA..21M.01UG.,VILAR.DO.CHÃO..04I.04UG.,VILAR.FORMOSO..10Q.01UG.,VILAÇA..04G.05UG.,VIMEIRO..LOURINHÃ...18B.04UG.,VIMIEIRO..21J.01UG.,VINHAIS..02O.02UG.
2,01/01/2009 09:00,475.8,76.9,110.4,,117.7,,84.3,25.5,,354.9,,,213.5,151.1,154.7,78.5,,117.7,108.8,117.7
3,01/02/2009 09:00,,2.9,74.1,,60.7,62.9,87.6,16.3,,120.9,94.1,,103,66.7,,25.9,,76.8,1.6,65.1
4,01/03/2009 09:00,60.7,0,12.5,,20.4,10.9,43.8,13,,39.5,12.8,,22.2,14.8,47.4,,,15.4,0.4,19.7
5,01/04/2009 09:00,,23.9,35.9,41,1.7,41.4,42.1,29.5,,26.7,0.8,,76.8,45.4,123.2,,,35,37.5,33.1
6,01/05/2009 09:00,78.7,5.8,,70.2,9.5,23.8,,0.4,18.3,0.3,7.2,,30.6,4.1,,,,25.4,3.7,29.3
7,01/06/2009 09:00,92.4,108.8,,131.6,33,,,0.1,42.6,118.2,43.5,121.6,69,14.4,,,,49.1,17.3,48
8,01/07/2009 09:00,30.5,32.6,,81.5,1.8,9.8,,0,5.3,48.3,0.1,0.1,7.7,0.4,30.5,10.2,52.6,6.1,3.4,23.2
9,01/08/2009 09:00,15.1,,0,14.9,0,1.1,,0,7.7,21.6,0,0.2,0.5,0,23.5,14.1,0,9.1,0,22.3
10,01/09/2009 09:00,,2,13,0.8,6.6,0.5,,0,2.8,2.1,4.1,0.4,0.6,0.7,5.9,25.8,2.9,13.5,2,1.7
11,01/10/2009 09:00,,74.1,48,202.4,,,,0,0.6,,51.5,184.3,105.5,1.8,41.5,83.6,138.4,83,12.4,129.7
12,01/11/2009 09:00,,,65.7,288.8,39.9,,24,0,0.2,0.1,97.8,212.4,179.6,0,4.5,77.5,216.1,154.4,3.1,89.8
13,01/12/2009 09:00,,,133,593.5,183.7,,133.1,0.3,9.6,146.8,161.6,236.8,,0.2,161.3,103.6,240,191.4,8.5,
,,753.2,327,492.6,1424.7,475,150.4,414.9,85.1,87.1,879.4,473.5,755.8,809,299.6,592.5,419.2,650,776.9,198.7,579.6
