,DATA,MONTE.CAVALEIRO..12O.03UG.,MONTE.DA.BRINJEIRA..29K.05G.,MONTE.DA.CAPARICA..22B.01C.,MONTE.DA.TORRE..25M.03C.,MONTE.REAL..14D.03C.,MONTEMOR.O.NOVO..22H.01UG.,MONTEVIL..23F.01UG.,MONTOITO..22L.03UG.,MORAIS..05Q.01UG.,MOREIRA.DO.REI..05I.04G.,MOSTEIRO.DE.CABRIL..08I.01UG.,MOURILHE..10M.02UG.,MOURISCAS..16I.03UG.,MUGE..19E.01UG.,MÉRTOLA..28L.01UG.,ODEMIRA..28F.01UG.,OLEIROS..14J.01UG.,OLIVEIRA.DO.BAIRRO..10G.01UG.,OLIVEIRA.DO.HOSPITAL..11J.02C.,ORJARIÇA..19B.05C.,OTA..19D.02UG.,OUTEIRO..03J.02UG.,PADERNE..30H.05UG.,PADRELA..04M.01UG.,PALME..04E.03UG.,PAMPILHOSA.DA.SERRA..13J.03UG.,PANÓIAS..27H.01CG.,PARADA..05F.02UG.,PARADA..MONÇÃO...01G.02UG.,PARADANÇA..05J.04G.,PARADELA.DO.RIO..03J.03UG.,PARADINHA..07L.14UG.,PARANHOS.DA.BEIRA..11K.03UG.,PATAIAS..GARE...16D.03UG.,PAVIA..20I.01G.,PEDRA.BELA..03I.06UG.,PEDROGÃO..16F.04C.,PEDROGÃO.DO.ALENTEJO..25L.01UG.,PEDROGÃO.GRANDE..14I.01UG.,PENAFIEL..06H.01UG.
2,01/01/2009 09:00,,2.2,0,97.5,132.9,,,,56.5,339.3,283.9,37.1,,,,48.9,155.8,,,0,,82.2,90,124.8,267,196.3,,,165.1,,259.5,,181.7,132.7,,,133.1,18.5,240,259.3
3,01/02/2009 09:00,,,0,15.7,76.8,,,12,24.6,100.3,112,0.5,,,,0,71.3,,64.3,0,,10.2,73.1,77.3,84.6,79.4,,79.6,,0.1,114,,,86.7,49.5,,78.3,,69.5,
4,01/03/2009 09:00,,,0,14.8,23.2,,12.6,12.1,1.2,50.4,,0.1,,,,,19.7,33.7,22,0,,0.3,60.4,,31.1,43.3,,31.6,39.2,0,,,13.4,,9.6,,25.1,,31.6,32.9
5,01/04/2009 09:00,24.2,,36.8,27.3,45.8,,28.6,31.1,22.3,103.8,,50.3,37,,,,55.5,73.7,52.1,46.9,36.3,65.2,34.1,,120.8,73.6,44.1,55.2,80.7,88.4,109.7,,101.3,,,,59.4,,71.6,
6,01/05/2009 09:00,39.7,,11.9,11,24.8,,6.8,9.9,23.4,52.3,54.7,40,27.7,,,,41.8,32.1,26.4,41.4,36.1,48.5,5.2,,46.2,38.7,16,15.7,28.9,32.6,47.6,11.3,20.5,34.7,12.7,17.3,28.1,,31,
7,01/06/2009 09:00,45.9,0.7,34.6,7.1,,0.2,19.4,10.4,40.4,27.8,43.6,40.2,56.5,,5.9,2.6,53.9,63.3,61.2,29.9,58.1,32.6,7.1,1.9,,40.4,14.2,21.5,72,2.6,7.1,2.6,66.3,32.8,31,3.4,66.4,,67.9,83
8,01/07/2009 09:00,4.9,0,0,1.9,11.5,0.2,0.5,0.1,4,2.3,28.3,15.5,4.5,0.9,0.3,0.1,13.6,50.4,23,5.6,51,1.8,0.6,5,,17.7,0.5,34.5,44.7,0.1,14.3,9.3,16.4,11.8,1.8,3.5,10,0,18.7,2
9,01/08/2009 09:00,1.6,0.2,,0,2.5,0,0,0.4,4.2,0.2,8.9,9.5,2.6,4.5,0,0,6.3,14,5.5,5.2,22.8,0,0,0.7,,8.7,0,2.4,0.6,0,0.2,2.5,18.3,8.9,4.2,0.9,3.4,0,25,0
10,01/09/2009 09:00,13,0.4,,25.1,,0,9.4,0.4,0.6,1,13.2,34.6,2.3,1.8,7.6,0,23,9.4,16.2,12.5,0.4,2.4,6.6,0.9,,17.5,12.1,0.9,,0,0.4,,46.4,17.3,2.9,4.1,4.6,65.3,9.7,0
11,01/10/2009 09:00,86.1,0,68.5,49.4,100.7,0,31.1,0,0.8,0.5,35.7,82.6,52.9,38.1,48.3,0.2,88.7,15,101.8,101.2,67.6,32,0.1,112.4,,136.2,56.6,15.3,92.9,41,73.7,3.3,93.8,13.6,46.8,0.9,95.6,69.8,138.1,14.8
12,01/11/2009 09:00,94.6,3,115.9,20.1,,0,38.8,0,0.6,0,2.5,97.3,74.9,70.5,6.4,12.1,91.6,4.1,158.7,179.1,0,3.1,14.7,17.3,,132.4,25.8,184.9,,0.1,239.6,1.2,134.5,10.2,44,,156.6,18.4,129.1,
13,01/12/2009 09:00,240.4,102.4,157.3,120.8,,28.6,,12.1,214,186.4,,119,222.4,190.8,93,155.7,222.5,0,,207.3,0,365.4,170,,134.6,178.2,198.9,260,,,413.5,,138,,,123.1,262.6,171.1,161.6,
,,550.4,108.9,425,390.7,418.2,29,147.2,88.5,392.6,864.3,582.8,526.7,480.8,306.6,161.5,219.6,843.7,295.7,531.2,629.1,272.3,643.7,461.9,340.3,684.3,962.4,368.2,701.6,524.1,164.9,1279.6,30.2,830.6,348.7,202.5,153.2,923.2,343.1,993.8,392
