,DATA,FRONTEIRA..19L.02UG.,GAFANHA.DA.NAZARÉ..10E.03UG.,GAVIÃO..17J.01UG.,GERAZ.DO.LIMA..03F.03UG.,GIÕES..29K.02UG.,GONDIZALVES..04G.06C.,GONTIM..04I.05UG.,GRALHÓS..03K.02UG.,GRÂNDOLA..24F.01C.,GUEDELHAS..29J.05UG.,HERDADE.DE.VALADA..26M.01C.,IDANHA.A.VELHA..14O.01UG.,ISNA..14J.02UG.,IZEDA..04Q.01UG.,JUNQUEIRA..06O.06C.,JUROMENHA..21N.01UG.,LADEIRA.DE.CIMA..29F.03G.,LADOEIRO..14N.02UG.,LAGOA.COMPRIDA..11L.07CG.,LAGOS..31E.01UC.,LAMAROSA..19G.02UG.,LAMAS.DE.OLO..05K.03UG.,LAMAS.DE.ORELHÃO..05N.04UG.,LAMAS.DE.PODENCE..04P.05UG.,LARANJAL..PONTE.SÔR...18I.01C.,LEIRIA..15E.01UG.,LENTISCAIS..15M.02UG.,LEOMIL..08L.03UG.,LEÇA.DA.PALMEIRA..06E.02UG.,LIGARES..QUINTA.SANTIAGO...07P.04UG.,LIXA.DO.ALVÃO..04K.03UG.,LORDELO..05G.06UG.,LOULÉ..31I.01UG.
2,01/01/2009 09:00,72.1,,,,39.8,178.8,88.1,183.6,,,90.5,,219,59.7,70.6,109,15.8,,295,,76.5,,,42.2,108.2,,,143.1,,16.3,,169.1,94.9
3,01/02/2009 09:00,4.3,,,,10.2,38.2,76.5,105.7,58.1,,54.7,78.1,89,42.5,,55.7,7.9,66.4,35.7,,1.6,,,75.6,48.6,,54.5,104.9,,0.6,,12.1,98.6
4,01/03/2009 09:00,,,,32.6,26.8,25.2,1.9,25.7,7.5,,22.6,2.6,28.4,5.2,2.5,16.8,13,3.7,,,,,,16.2,11.6,,2.5,24.8,,2,26.5,3.4,13.1
5,01/04/2009 09:00,,,,108.8,26.3,99.2,126.9,30.6,30.2,,25.3,17.6,49.4,12.5,13.6,48.5,59.2,32.3,,31.9,,,15.2,23.8,32.8,,39.3,44.3,,17,125.8,11.9,0.3
6,01/05/2009 09:00,,,,,20.4,24.9,1.5,44.1,3.8,,25.8,10.9,67,27,20.8,3.5,1.4,7.2,,,,,23.3,29.3,20.9,,25.9,34.8,20.8,10.8,72.5,,
7,01/06/2009 09:00,,,,155.4,8.2,,149.1,43.6,14.1,,5.9,30.3,65.1,8.4,29,12.7,0.1,13.9,,,,,22.4,,25.8,33.4,,36.2,56.9,24.6,98.4,,
8,01/07/2009 09:00,,31.2,1.4,82.6,0,53.3,35.3,22.3,1.8,0,0.4,0.8,9.8,0.6,0.9,0,0.3,2.9,,,0.4,,8.1,9,0.6,13.9,4.2,19,12.6,6.3,0.7,,2.3
9,01/08/2009 09:00,0.2,8.9,10.4,,2.1,0.2,0.1,1.5,0,0,0,,14.4,0,0.5,0,0,0.6,,,0.6,1.5,3.4,13.9,2.8,3.2,5.8,22.6,7.8,2.4,17.1,,0
10,01/09/2009 09:00,8.9,11.3,2.5,4.7,41.4,1.7,2.7,0.5,8.5,0.2,3,18.3,20.1,0,0.6,5.1,4.1,8.6,72.4,,3,9.1,3.9,14,9.5,7.5,6.1,4.8,5.8,0.9,0.3,5.3,11.9
11,01/10/2009 09:00,44.7,155.5,56.2,89.6,16.3,17.6,16.9,51.3,30.5,0,33.2,,168.4,0,64,48.9,18.4,42.8,130.1,0.2,59.3,9.8,101.7,80.8,50.4,89.8,44.7,79.8,129,1,48.8,,45.5
12,01/11/2009 09:00,35.9,200.2,90.3,0.6,10.4,2.3,3,8.7,55.2,0,10.1,45.4,123.1,0,93.1,27.2,4.1,38.2,394.7,0,60.2,2,88.6,130.2,55.9,147.2,60.7,179,203.9,0.4,,0.1,29
13,01/12/2009 09:00,152.7,203.6,175.6,,194.2,143.8,530.3,145.7,184,1.6,55.9,169.3,305,144.3,155.8,179.8,98.5,152.4,,,113.6,,147.8,197.6,156.9,,197.2,,269.6,39,,6.2,317.3
,,318.8,610.7,336.4,474.3,396.1,585.2,1032.3,663.3,393.7,1.8,327.4,373.3,1158.7,300.2,451.4,507.2,222.8,369,927.9,32.1,315.2,22.4,414.4,632.6,524,295,440.9,693.3,706.4,121.3,390.1,208.1,612.9
