"Muni_ID","ID","Muni","Ninputs","Noutputs","GNB"
1601,"1111601","Arcos de Valdevez",138.35,0.15,138.19
1602,"1111602","Caminha",76.32,0.46,75.86
1603,"1111603","Melgaço",19.64,3.02,16.63
1604,"1111604","Monção",48.97,4.85,44.12
1605,"1111605","Paredes de Coura",95.52,0.06,95.47
1606,"1111606","Ponte da Barca",43.24,1.22,42.01
1607,"1111607","Ponte de Lima",65.3,1.75,63.54
1608,"1111608","Valença",90.44,0.13,90.32
1609,"1111609","Viana do Castelo",110.74,6.03,104.71
1610,"1111610","Vila Nova de Cerveira",121.8,1.69,120.11
301,"1120301","Amares",70.39,6.21,64.18
302,"1120302","Barcelos",57.02,7.7,49.32
303,"1120303","Braga",51.98,3.47,48.51
306,"1120306","Esposende",163.91,1.99,161.92
310,"1120310","Terras de Bouro",249.84,0.09,249.75
313,"1120313","Vila Verde",110.74,3.22,107.52
307,"1130307","Fafe",145.64,2.55,143.09
308,"1130308","Guimarães",50.98,5.08,45.91
309,"1130309","Póvoa de Lanhoso",61.38,6.07,55.31
1314,"1131314","Santo Tirso",60.72,1.62,59.1
1318,"1131318","Trofa",34.73,7.12,27.61
311,"1130311","Vieira do Minho",18.32,0.26,18.06
312,"1130312","Vila Nova de Famalicão",42.72,5.74,36.98
314,"1130314","Vizela",39.1,4.29,34.81
107,"1140107","Espinho",NA,NA,NA
1304,"1141304","Gondomar",99.95,3.62,96.33
1306,"1141306","Maia",70.44,5.66,64.78
1308,"1141308","Matosinhos",99.43,3.66,95.76
1312,"1141312","Porto",153.24,0,153.24
1313,"1141313","Póvoa de Varzim",192.71,5.97,186.74
1315,"1141315","Valongo",50.41,33.15,17.25
1316,"1141316","Vila do Conde",67.01,14.66,52.35
1317,"1141317","Vila Nova de Gaia",77.45,2.74,74.71
1301,"1151301","Amarante",47.12,3.78,43.35
1302,"1151302","Baião",85.73,0.69,85.04
304,"1150304","Cabeceiras de Basto",54.06,0.14,53.92
106,"1150106","Castelo de Paiva",35.46,5.66,29.8
305,"1150305","Celorico de Basto",51.08,3.02,48.06
1804,"1151804","Cinfães",6.96,0.77,6.19
1303,"1151303","Felgueiras",32.05,6.24,25.81
1305,"1151305","Lousada",16.73,15.97,0.76
1307,"1151307","Marco de Canaveses",33.41,4.88,28.53
1705,"1151705","Mondim de Basto",21.5,2.34,19.16
1309,"1151309","Paços de Ferreira",36.87,31.18,5.69
1310,"1151310","Paredes",26.45,5.94,20.52
1311,"1151311","Penafiel",30.18,7.26,22.92
1813,"1151813","Resende",21.09,3.1,17.99
1709,"1151709","Ribeira de Pena",14.36,0.68,13.68
104,"1160104","Arouca",48.46,0.97,47.49
113,"1160113","Oliveira de Azeméis",28.38,2.02,26.36
109,"1160109","Santa Maria da Feira",NA,NA,NA
116,"1160116","São João da Madeira",NA,NA,NA
119,"1160119","Vale de Cambra",4.61,0.47,4.14
1701,"1171701","Alijó",66.78,6.99,59.8
1801,"1171801","Armamar",47.19,8.14,39.05
403,"1170403","Carrazeda de Ansiães",53.11,5.8,47.31
