"Muni_ID","ID","Muni","barley","maize","oat","rice","rye","triticale","wheat","lemon","orange","other_citrus","tangerine","almonds","chestnut","locust","nuuts","other_dried_nuts","apple","cherry","other_fresh_fruits","peach","pear","olive_grove","vineyard","total"
1601,"1111601","Arcos de Valdevez",0,0,0,0,0,0,0,0,0,0,0,0,7.04,0,0,0,0,0,0,0,0,0.53,53.19,60.76
1602,"1111602","Caminha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,5.91,6.12
1603,"1111603","Melgaço",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728.9,728.9
1604,"1111604","Monção",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.8,1063.8
1605,"1111605","Paredes de Coura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,"1111606","Ponte da Barca",0,0,0,0,0,0,0,0,3.56,0,0,0,21.12,0,17.6,0,3.88,0,0,3.85,0,1.06,82.74,133.81
1607,"1111607","Ponte de Lima",0,0,0,0,0,0,0,0,3.56,0,0,0,24.64,0,0,0,7.76,0,0,0,0.84,1.59,145.78,184.17
1608,"1111608","Valença",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,7.88
1609,"1111609","Viana do Castelo",0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,3.52,0,3.88,0,0,0,0,0,7.88,18.84
1610,"1111610","Vila Nova de Cerveira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0,0,0,0.21,0,0,4.09
301,"1120301","Amares",0,0,0,0,0,0,0,24.92,195.8,7.26,34.02,0,3.52,0,0,0,38.8,0,7.02,11.55,0.42,7.95,1.97,333.23
302,"1120302","Barcelos",0,0,0,0,0,0,0,0,14.24,0,3.78,0,10.56,0,3.52,0,27.16,0,2.34,7.7,0.63,0,106.38,176.31
303,"1120303","Braga",0,0,0,0,0,0,0,0,10.68,0,3.78,0,10.56,0,14.08,0,15.52,0,4.68,7.7,0.42,0.53,124.11,192.06
306,"1120306","Esposende",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97,1.97
310,"1120310","Terras de Bouro",0,0,0,0,0,0,0,3.56,3.56,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,10.9
313,"1120313","Vila Verde",0,0,0,0,0,0,0,3.56,10.68,0,0,0,3.52,0,3.52,0,7.76,0,4.68,3.85,0.21,1.06,23.64,62.48
