"Muni_ID","ID","Muni","TOTAL"
1601,"1111601","Arcos de Valdevez",49331.9
1602,"1111602","Caminha",10130.86
1603,"1111603","Melgaço",12670.68
1604,"1111604","Monção",25580.32
1605,"1111605","Paredes de Coura",38627.42
1606,"1111606","Ponte da Barca",11672.5
1607,"1111607","Ponte de Lima",106196.26
1608,"1111608","Valença",14976.18
1609,"1111609","Viana do Castelo",82086.82
1610,"1111610","Vila Nova de Cerveira",15729.02
301,"1120301","Amares",15834
302,"1120302","Barcelos",928355.54
303,"1120303","Braga",111103.06
306,"1120306","Esposende",117851.36
310,"1120310","Terras de Bouro",7233.18
313,"1120313","Vila Verde",64451.34
307,"1130307","Fafe",22164.7
308,"1130308","Guimarães",81888.46
309,"1130309","Póvoa de Lanhoso",21983.74
1314,"1131314","Santo Tirso",60474.28
1318,"1131318","Trofa",130781.3
311,"1130311","Vieira do Minho",21004.12
312,"1130312","Vila Nova de Famalicão",332799.36
314,"1130314","Vizela",4356.96
107,"1140107","Espinho",6074.92
1304,"1141304","Gondomar",19337.78
1306,"1141306","Maia",112751.42
1308,"1141308","Matosinhos",88441.3
1312,"1141312","Porto",724.42
1313,"1141313","Póvoa de Varzim",358568.18
1315,"1141315","Valongo",27917.72
1316,"1141316","Vila do Conde",734133.84
1317,"1141317","Vila Nova de Gaia",11054.8
1301,"1151301","Amarante",27304.66
1302,"1151302","Baião",15539.36
304,"1150304","Cabeceiras de Basto",24732.36
106,"1150106","Castelo de Paiva",14059.78
305,"1150305","Celorico de Basto",27966.44
1804,"1151804","Cinfães",25815.22
1303,"1151303","Felgueiras",42900.28
1305,"1151305","Lousada",40967.14
1307,"1151307","Marco de Canaveses",16182.58
1705,"1151705","Mondim de Basto",12515.24
1309,"1151309","Paços de Ferreira",28629.96
1310,"1151310","Paredes",34837.12
1311,"1151311","Penafiel",41389.38
1813,"1151813","Resende",8108.98
1709,"1151709","Ribeira de Pena",28161.9
104,"1160104","Arouca",86759.88
113,"1160113","Oliveira de Azeméis",131296.34
109,"1160109","Santa Maria da Feira",42881.14
116,"1160116","São João da Madeira",0
119,"1160119","Vale de Cambra",19852.82
1701,"1171701","Alijó",10544.98
1801,"1171801","Armamar",1185.52
403,"1170403","Carrazeda de Ansiães",11017.68
404,"1170404","Freixo de Espada à Cinta",10681.28
1805,"1171805","Lamego",6003
1704,"1171704","Mesão Frio",35.96
1807,"1171807","Moimenta da Beira",48955.48
1812,"1171812","Penedono",10073.44
1708,"1171708","Peso da Régua",1143.18
1710,"1171710","Sabrosa",9391.36
1711,"1171711","Santa Marta de Penaguião",924.52
1815,"1171815","São João da Pesqueira",5460.7
1818,"1171818","Sernancelhe",17826.88
1819,"1171819","Tabuaço",3082.12
1820,"1171820","Tarouca",10821.64
409,"1170409","Torre de Moncorvo",23550.32
410,"1170410","Vila Flor",13816.76
914,"1170914","Vila Nova de Foz Côa",9984.12
1714,"1171714","Vila Real",58435.58
401,"1180401","Alfândega da Fé",19940.4
1702,"1181702","Boticas",36247.68
402,"1180402","Bragança",120122.64
1703,"1181703","Chaves",118895.94
405,"1180405","Macedo de Cavaleiros",82325.78
406,"1180406","Miranda do Douro",83826.82
407,"1180407","Mirandela",42915.36
408,"1180408","Mogadouro",167976.7
1706,"1181706","Montalegre",113148.14
1707,"1181707","Murça",8070.12
1712,"1181712","Valpaços",41367.92
1713,"1181713","Vila Pouca de Aguiar",77094.76
411,"1180411","Vimioso",55924.76
412,"1180412","Vinhais",62808.2
101,"1610101","Águeda",42910.14
102,"1610102","Albergaria-a-Velha",60585.64
103,"1610103","Anadia",13422.94
105,"1610105","Aveiro",35893.3
108,"1610108","Estarreja",153877.48
110,"1610110","Ílhavo",12690.4
111,"1610111","Mealhada",19158.56
112,"1610112","Murtosa",89163.4
114,"1610114","Oliveira do Bairro",22422.8
115,"1610115","Ovar",112358.76
117,"1610117","Sever do Vouga",9862.32
118,"1610118","Vagos",68774.66
602,"1620602","Cantanhede",118354.8
603,"1620603","Coimbra",20123.1
604,"1620604","Condeixa-a-Nova",8956.36
605,"1620605","Figueira da Foz",86591.68
608,"1620608","Mira",35480.34
610,"1620610","Montemor-o-Velho",182270.22
613,"1620613","Penacova",7227.96
615,"1620615","Soure",20507.06
1004,"1631004","Batalha",6491.94
1009,"1631009","Leiria",76593.64
1010,"1631010","Marinha Grande",1163.48
1015,"1631015","Pombal",48442.76
1016,"1631016","Porto de Mós",56497.22
1002,"1641002","Alvaiázere",8018.5
1003,"1641003","Ansião",15361.3
601,"1640601","Arganil",7502.3
1007,"1641007","Castanheira de Pêra",750.52
1008,"1641008","Figueiró dos Vinhos",1548.02
606,"1640606","Góis",1768.42
607,"1640607","Lousã",3024.12
609,"1640609","Miranda do Corvo",2461.52
611,"1640611","Oliveira do Hospital",17137.26
612,"1640612","Pampilhosa da Serra",1218
1013,"1641013","Pedrógão Grande",1644.3
614,"1640614","Penela",6438.58
616,"1640616","Tábua",12529.16
617,"1640617","Vila Nova de Poiares",1168.7
901,"1650901","Aguiar da Beira",24147.72
1802,"1651802","Carregal do Sal",5970.52
1803,"1651803","Castro Daire",30519.6
1806,"1651806","Mangualde",15934.92
1808,"1651808","Mortágua",10884.28
