"Muni_ID","ID","Muni","Broilers","Ducks","Geese","Laying_hens","Rep_hens","Turkeys"
1601,"1111601","Arcos de Valdevez",26.84808,2.24847,1.14079,33.3291,6.18674,1.91555
1602,"1111602","Caminha",31.91328,1.11671,0.25284,9.87896,1.83372,0.6643
1603,"1111603","Melgaço",8.316,1.14982,0.13545,12.82365,2.37888,0.18655
1604,"1111604","Monção",42.59808,3.9431,0.37023,18.83693,3.49398,4.3134
1605,"1111605","Paredes de Coura",6.19416,1.22206,0.09632,16.1483,2.99838,0.637
1606,"1111606","Ponte da Barca",11.3652,0.58394,0.25284,12.88147,2.39127,0.1729
1607,"1111607","Ponte de Lima",71.23536,5.26449,1.07156,49.41958,9.17273,3.72645
1608,"1111608","Valença",28.76328,1.77891,0.15351,49.08918,9.11078,1.547
1609,"1111609","Viana do Castelo",609.74928,4.70162,0.7826,26.96064,5.00556,2.93475
1610,"1111610","Vila Nova de Cerveira",7.27272,0.83377,0.13244,4.17543,0.77231,0.2821
301,"1120301","Amares",19.42416,1.15584,0.28595,784.19201,145.57424,0.77805
302,"1120302","Barcelos",183.91464,4.07855,0.7826,53.61566,9.9533,7.02065
303,"1120303","Braga",34.60968,2.30566,0.76153,26.84913,4.98491,1.01465
306,"1120306","Esposende",27.18072,2.06787,0.65618,15.32643,2.84557,2.89835
310,"1120310","Terras de Bouro",8.15976,0.26187,0.23779,5.79439,1.0738,0.07735
313,"1120313","Vila Verde",62.8488,1.52908,0.64715,44.26121,8.21457,0.94185
307,"1130307","Fafe",14.54544,0.62307,0.29498,28.2079,5.23684,1.22395
308,"1130308","Guimarães",361.52928,1.48092,0.35217,432.56794,80.29959,1.26945
309,"1130309","Póvoa de Lanhoso",47.15928,0.52976,0.31003,10.68018,1.9824,0.54145
1314,"1131314","Santo Tirso",29.78136,0.73143,0,15.52054,2.87861,0.8645
1318,"1131318","Trofa",735.06888,0.64113,0.15351,4.35302,0.80948,0.9737
311,"1130311","Vieira do Minho",13.5576,0.56889,0.38829,10.67605,1.9824,0.364
312,"1130312","Vila Nova de Famalicão",79.93944,1.81804,0.47558,20.0305,3.717,2.0839
314,"1130314","Vizela",4.3848,0.10535,0,2.5193,0.46669,0.0637
107,"1140107","Espinho",0.65016,0,0,0.05782,0.00826,0
1304,"1141304","Gondomar",6.25968,0.35518,0.07224,11.151,2.06913,0.2821
1306,"1141306","Maia",94.07664,0.31304,0.05117,6.9797,1.29269,0.17745
1308,"1141308","Matosinhos",4.44528,0.38528,0.09933,5.54659,1.02837,0
1312,"1141312","Porto",0.48384,0.01806,0,0.41713,0.07847,0
1313,"1141313","Póvoa de Varzim",16.43544,0.58695,0.45451,51.94714,9.64355,0.2548
1315,"1141315","Valongo",3.8556,0.12943,0.01505,115.85063,21.50491,0
1316,"1141316","Vila do Conde",42.46704,1.11671,0.24381,44.71138,8.3013,1.19665
1317,"1141317","Vila Nova de Gaia",9.01152,0.31003,0.08428,5.50529,1.02011,0.12285
1301,"1151301","Amarante",36.95328,0.85785,1.15885,13.95527,2.58951,0.8008
1302,"1151302","Baião",16.22376,0.36722,0.16856,13.93462,2.58538,0.52325
304,"1150304","Cabeceiras de Basto",151.36632,0.73444,0.24682,11.16752,2.07326,0.728
106,"1150106","Castelo de Paiva",12.852,0.29498,0.03913,8.5491,1.58592,0.15925
305,"1150305","Celorico de Basto",117.0288,0.58093,0.45451,19.6175,3.63853,0.2548
1804,"1151804","Cinfães",12.0456,0.42742,0.12642,13.43076,2.49452,0.05005
1303,"1151303","Felgueiras",27.2916,0.80066,0.30401,110.6427,20.53849,0.6734
1305,"1151305","Lousada",42.41664,0.60802,0.0903,10.96102,2.03609,1.00555
1307,"1151307","Marco de Canaveses",15.45768,0.36722,0.22575,15.27274,2.83318,0.15925
1705,"1151705","Mondim de Basto",11.77848,0.38227,0.16856,7.73549,1.43311,0.19565
1309,"1151309","Paços de Ferreira",31.62096,0.4816,0.68327,6.64517,1.23487,0.94185
1310,"1151310","Paredes",12.34296,0.71939,0.37023,14.60781,2.71341,0.36855
1311,"1151311","Penafiel",15.8004,0.43344,0.08127,18.26286,3.3866,0.47775
1813,"1151813","Resende",9.0216,0.31304,0.01806,7.34314,1.3629,0.12285
1709,"1151709","Ribeira de Pena",12.18168,0.59297,0.301,10.3663,1.92458,0.05005
104,"1160104","Arouca",90.43272,0.26187,0.08127,11.25838,2.08978,1.00555
113,"1160113","Oliveira de Azeméis",161.77896,2.44111,0.17458,64.84926,12.03482,0.2093
109,"1160109","Santa Maria da Feira",11.24928,0.58695,0.10535,7.65702,1.42072,0.33215
116,"1160116","São João da Madeira",0,0,0,0,0,0
119,"1160119","Vale de Cambra",237.04632,0.19264,0.08127,4.92709,0.91273,0.22295
1701,"1171701","Alijó",2.74176,0.49364,0.19866,6.0298,1.11923,0.07735
1801,"1171801","Armamar",1.07856,0.16254,0.10535,5.4103,1.00359,0.1456
403,"1170403","Carrazeda de Ansiães",4.5864,0.31605,0.47558,7.17794,1.33399,0.33215
404,"1170404","Freixo de Espada à Cinta",0.26208,0.1204,0.07525,2.8497,0.52864,0
1805,"1171805","Lamego",5.75064,0.34916,0.19565,9.17686,1.70156,0.273
1704,"1171704","Mesão Frio",0.33264,0.01505,0.27391,1.53636,0.28497,0
1807,"1171807","Moimenta da Beira",242.48448,0.19866,0.43344,14.29806,2.65559,0.18655
1812,"1171812","Penedono",81.71352,0.27993,0,3.82438,0.70623,0.1547
