CAA_ID,Muni_ID,uaa99,poly_sum,poly_corr,leaching_nha,correct_large,correct_small,total_leaching,leaching_large,leaching_small,leaching_gw
1,101,2918,8500,21,11.9137707267327,0,14,250.189,0,166.792790174258,83.3962098257416
2,101,2918,8500,13,11.3566359222479,0,0,147.636,0,0,147.636
3,101,2918,8500,18,14.9575204825004,0,0,269.235,0,0,269.235
4,101,2918,8500,14,10.5035232452147,0,4,147.049,0,42.0140929808587,105.034907019141
5,101,2918,8500,16,22.2764781486468,0,0,356.424,0,0,356.424
6,101,2918,8500,1,11.7934296086621,0,0,11.793,0,0,11.793
7,101,2918,8500,19,15.2217521691003,0,0,289.213,0,0,289.213
8,101,2918,8500,12,21.4028907758183,0,0,256.835,0,0,256.835
9,101,2918,8500,11,11.3398361629008,0,0,124.738,0,0,124.738
10,101,2918,8500,13,16.2159657119104,0,0,210.808,0,0,210.808
11,101,2918,8500,88,15.1301072579516,0,7,1331.449,0,105.910750805661,1225.53824919434
12,101,2918,8500,33,10.3968392582816,0,0,343.096,0,0,343.096
13,101,2918,8500,15,14.5779893784223,0,0,218.67,0,0,218.67
14,101,2918,8500,13,14.8434545068034,0,0,192.965,0,0,192.965
15,101,2918,8500,33,10.8744610715258,0,0,358.857,0,0,358.857
16,101,2918,8500,15,17.6901444129932,0,0,265.352,0,0,265.352
17,101,2918,8500,41,13.8417621181506,0,30,567.512,0,415.252863544517,152.259136455483
18,101,2918,8500,10,10.8862427171396,0,0,108.862,0,0,108.862
19,101,2918,8500,32,19.6557160112919,0,0,628.983,0,0,628.983
20,101,2918,8500,28,14.5149902832296,0,0,406.42,0,0,406.42
21,101,2918,8500,27,16.2861646958791,0,0,439.726,0,0,439.726
22,101,2918,8500,20,6.02775291119879,0,2,120.555,0,12.0555058223976,108.499494177602
23,101,2918,8500,35,12.6670169909253,0,0,443.346,0,0,443.346
24,101,2918,8500,54,22.6508727423931,0,0,1223.147,0,0,1223.147
25,101,2918,8500,37,16.3797633443157,0,0,606.051,0,0,606.051
26,101,2918,8500,14,18.2429614258992,0,0,255.401,0,0,255.401
27,101,2918,8500,12,2.75180024233565,0,0,33.022,0,0,33.022
28,101,2918,8500,16,11.3278994950135,0,2,181.246,0,22.6557989900271,158.590201009973
29,101,2918,8500,28,16.9643948978882,0,0,475.003,0,0,475.003
30,101,2918,8500,64,13.3265754577882,43,16,852.901,573.042744684891,213.225207324611,66.6330479904978
31,101,2918,8500,12,22.6040734134574,0,0,271.249,0,0,271.249
32,101,2918,8500,55,14.8543197368934,0,18,816.988,0,267.37775526408,549.61024473592
33,101,2918,8500,12,21.4808896416532,0,0,257.771,0,0,257.771
34,101,2918,8500,16,21.8799154546998,0,0,350.079,0,0,350.079
35,101,2918,8500,18,12.8655595765167,0,0,231.58,0,0,231.58
36,101,2918,8500,32,17.1609520548876,0,0,549.15,0,0,549.15
37,101,2918,8500,0,0,0,0,0,0,0,0
38,101,2918,8500,2,11.7934296086621,0,0,23.587,0,0,23.587
39,101,2918,8500,28,16.6180144451385,0,0,465.304,0,0,465.304
40,101,2918,8500,13,13.8858122854275,0,0,180.516,0,0,180.516
41,101,2918,8500,11,17.6901444129932,0,0,194.592,0,0,194.592
42,101,2918,8500,15,11.6382529072575,0,0,174.574,0,0,174.574
43,101,2918,8500,12,12.200099592565,0,0,146.401,0,0,146.401
44,101,2918,8500,46,16.0671953807293,0,0,739.091,0,0,739.091
45,101,2918,8500,24,17.9085412562003,0,0,429.805,0,0,429.805
46,101,2918,8500,26,18.4510108366193,0,0,479.726,0,0,479.726
47,101,2918,8500,26,19.88891942046,0,0,517.112,0,0,517.112
48,101,2918,8500,15,14.7417870108276,0,0,221.127,0,0,221.127
49,101,2918,8500,22,21.2054936247189,0,0,466.521,0,0,466.521
50,101,2918,8500,22,10.9678895360558,0,0,241.294,0,0,241.294
51,101,2918,8500,12,14.348672687394,0,0,172.184,0,0,172.184
52,101,2918,8500,37,19.1643231140759,0,0,709.08,0,0,709.08
53,101,2918,8500,244,14.885109938003,0,1,3631.967,0,14.885109938003,3617.081890062
54,101,2918,8500,69,14.6312236082464,0,0,1009.554,0,0,1009.554
55,101,2918,8500,911,12.8553321822737,14,4,11711.208,179.974650551832,51.4213287290948,11479.8120207191
