aquifer_ID,gw_type,total_leaching,leaching_large,leaching_small,leaching_gw
1,Ind,78684.5178937945,6175.56,1487.38,71021.5778937945
2,Ind,35616.1903192573,0,0,35616.1903192573
3,Ind,1858646.26508489,40302.22,20796.14,1797547.90508489
4,Ind,3007.43524667776,34.38,11.48,2961.57524667776
5,Ind,170383.370583728,12367.93,5865.03,152150.410583728
6,Ind,235049.834044685,0,10355.58,224694.254044685
7,Ind,353313.22142777,9469.61,6315.78,337527.83142777
8,Aq,40889.7070642082,293.17,18766.12,21830.4170642082
9,Aq,33513.3683509536,4342.07,10485.01,18686.2883509536
11,Ind,8255.63871121596,95.06,0,8160.57871121596
12,Ind,211523.712682657,19361,31132.46,161030.252682657
13,Aq,225826.988375322,14897.9,27656.99,183272.098375322
14,Ind,20199.6922181699,607.82,1158.24,18433.6322181698
15,Aq,33187.4148842813,409.31,3507.34,29270.7648842813
16,Ind,47635.4685818903,4764.62,1307.86,41562.9885818903
17,Aq,20365.1027037131,102.27,1534.41,18728.4227037131
18,Aq,46110.7619348224,6917.75,802.22,38390.7919348224
19,Aq,4361.85292685709,0,0,4361.85292685709
20,Aq,71694.7488596389,3854.48,4148.08,63692.1888596389
21,Aq,38065.5653572951,3875.62,3080.27,31109.6753572951
22,Ind,12406.5096925363,64.08,2464.91,9877.51969253635
23,Aq,64518.7813254801,21567.62,25342.91,17608.2513254801
24,Aq,20935.626768299,0,1592.44,19343.186768299
25,Aq,32127.9085932655,0,856.13,31271.7785932655
26,Aq,14055.1233772584,2548.6,215.76,11290.7633772584
27,Aq,32193.206724386,1774.03,8402.92,22016.256724386
28,Aq,1781.08439863383,0,332.87,1448.21439863383
29,Aq,180514.785439276,0,1425.92,179088.865439276
30,Aq,15149.39977466,0,1079.38,14070.01977466
31,Aq,3622.74480427938,678.8,0,2943.94480427938
32,Aq,53719.3817583351,0,2115.06,51604.3217583351
33,Ind,184089.385335285,310.02,3335.7,180443.665335285
34,Ind,500913.858852825,8686.08,50521.03,441706.748852825
35,Aq,52190.7242743489,0,34.08,52156.6442743489
36,Aq,861.846173975903,0,0,861.846173975903
37,Aq,17425.5733907822,0,462.07,16963.5033907821
38,Aq,66878.2996455006,72.16,309.21,66496.9296455006
39,Ind,583337.709884552,38176.97,87356.8,457803.939884552
40,Ind,1582662.81613899,100431.26,155161.54,1327070.01613899
41,Ind,509638.67418171,30062.72,55697.47,423878.48418171
42,Ind,853823.175560185,54294.51,91840.76,707687.905560185
43,Ind,100226.216807778,4694.1,15980.37,79551.7468077776
44,Aq,518629.598992906,46895.41,49640.51,422093.678992906
45,Aq,717133.736181218,118745.26,128106.3,470282.176181218
46,Aq,363029.858308266,123775,85574.27,153680.588308265
47,Aq,10623.8397699469,412.71,243.69,9967.43976994691
48,Aq,2959.98216777356,0,1743.12,1216.86216777356
50,Ind,1569.64593340502,679.3,146.76,743.585933405023
51,Aq,37068.1033878801,0,0,37068.1033878801
52,Ind,37375.145245893,3104.4,3111.6,31159.145245893
53,Ind,196899.150199482,1745.34,11012.73,184141.080199482
54,Ind,146021.524838193,13414.34,3517.79,129089.394838193
55,Aq,81583.2409461535,139.19,1380.22,80063.8309461535
56,Aq,2115.68702472933,0,0,2115.68702472933
57,Ind,40690.8815723292,1918.6,667.08,38105.2015723292
58,Ind,19555.4562081701,907.57,2352.66,16295.2262081701
59,Aq,214455.30295135,5311.93,17419.25,191724.12295135
60,Ind,23051.905383635,5262.68,2325.06,15464.165383635
61,Ind,143815.452149376,3718.57,7535.59,132561.292149376
62,Aq,1274.86131042303,0,0,1274.86131042303
63,Aq,16985.7971555547,0,179.53,16806.2671555547
64,Aq,68946.6528713248,426.84,7756.44,60763.3728713248
65,Aq,127054.159270294,5613.69,1956.38,119484.089270294
66,Aq,6801.30677137185,71.44,135.5,6594.36677137185
67,Aq,2544.45200269926,0,0,2544.45200269926
68,Aq,16927.2552258708,0,0,16927.2552258708
69,Aq,1654.56774956517,32.85,93.01,1528.70774956517
70,Aq,60213.1855986484,1236.41,0,58976.7755986484
71,Aq,1862.31499853163,0,0,1862.31499853163
72,Aq,8302.1321848336,0,0,8302.1321848336
73,Ind,4614.011258508,0,0,4614.011258508
74,Aq,56155.0564899879,0,0,56155.0564899879
75,Aq,13289.4654980194,0,917.81,12371.6554980194
76,Aq,10201.0168773149,0,0,10201.0168773149
77,Aq,8999.64011495816,475.71,540.88,7983.05011495816
78,Aq,4407.03028547194,0,178.36,4228.67028547194
79,Ind,256.51389031499,52.3,0,204.21389031499
80,Aq,9336.81359534285,350.76,181.03,8805.02359534285
81,Aq,196.426162574351,0,16.33,180.096162574351
82,Aq,21621.2520928758,0,1129.17,20492.0820928758
83,Aq,22401.3380757685,87.4,2063.06,20250.8780757685
84,Aq,19820.6847636501,0,1405.27,18415.4147636501
85,Ind,1455423.82684541,48824.85,180181.41,1226417.56684541
86,Aq,469.020139373872,0,0,469.020139373872
87,Aq,542.04260920159,0,43.77,498.27260920159
88,Aq,1660.39103934356,0,0,1660.39103934356
89,Ind,32592.4030921038,3865.16,3806.17,24921.0730921038
90,Aq,33622.1671696713,21.14,1035.6,32565.4271696713
91,Ind,50165.5845513021,1472.67,2671.95,46020.9645513021
92,Aq,7515.19225922655,266.77,352.18,6896.24225922655
93,Ind,133674.84048183,2767.07,6349.33,124558.44048183
