aquifer_ID,gw_type,total_leaching,leaching_large,leaching_small,leaching_gw
1,Ind,78105.9474891671,0,0,78105.9474891671
2,Ind,45.9694028344104,0,0,45.9694028344104
3,Ind,2352981.9359064,8373.11,4143.92,2340464.9059064
4,Ind,2239.65730457357,0,0,2239.65730457357
5,Ind,126391.265133723,0,0,126391.265133723
6,Ind,209104.143170749,0,34.76,209069.383170749
7,Ind,525809.053078616,14315.92,3017.92,508475.213078616
8,Aq,60331.2638247909,0,0,60331.2638247909
9,Aq,29635.3841062378,0,70.87,29564.5141062378
10,Aq,88.518298463743,0,0,88.518298463743
11,Ind,21466.8359061483,0,0,21466.8359061483
12,Ind,332794.545163526,0,0,332794.545163526
13,Aq,330932.220606342,0,0,330932.220606342
14,Ind,67657.6914137666,37.42,5.92,67614.3514137666
15,Aq,30131.4610807272,0,0,30131.4610807272
16,Ind,95326.3764336213,120.44,18.02,95187.9164336213
17,Aq,258.818215184525,258.818215184525,0,0
18,Aq,56596.2747187513,8.1,0,56588.1747187513
19,Aq,4189.50899565165,0,0,4189.50899565165
20,Aq,107760.713857917,306.86,0,107453.853857917
21,Aq,30106.3242387074,736.76,1310.13,28059.4342387074
22,Ind,17371.1758259071,0,108.84,17262.3358259071
23,Aq,39748.1665455617,298.2,305.91,39144.0565455617
24,Aq,49786.937561909,0,0,49786.937561909
25,Aq,35087.8023785964,0,0,35087.8023785964
26,Aq,13935.4476263383,61.85,1227.6,12645.9976263383
27,Aq,17118.3650189235,736.76,752.56,15629.0450189235
28,Aq,3201.6809960561,0,0,3201.6809960561
29,Aq,160393.013541417,0,0,160393.013541417
30,Aq,29155.3459513832,0,0,29155.3459513832
31,Aq,7774.39055500837,0,0,7774.39055500837
32,Aq,89079.6817309649,0,19.06,89060.6217309649
33,Ind,599934.035797928,0,141.89,599792.145797928
34,Ind,979049.240918017,0,0,979049.240918017
35,Aq,61337.3497027281,0,0,61337.3497027281
36,Aq,1604.93021111155,0,0,1604.93021111155
37,Aq,12002.0084977347,0,0,12002.0084977347
38,Aq,83665.0819058778,0,0,83665.0819058778
39,Ind,984471.023253988,544.08,6.08,983920.863253988
40,Ind,2758733.05441996,974.31,1120.13,2756638.61441996
41,Ind,792167.297041467,65.51,113.29,791988.497041467
42,Ind,1341968.1937004,12836.26,1384.35,1327747.5837004
43,Ind,223019.175362988,0,0,223019.175362988
44,Aq,1038285.60328559,0,0,1038285.60328559
45,Aq,1246808.81793696,0,3826.48,1242982.33793696
46,Aq,517453.281673184,0,0,517453.281673184
47,Aq,17387.8132039164,0,0,17387.8132039164
48,Aq,2951.55150628616,0,0,2951.55150628616
49,Aq,1046.72661746239,0,0,1046.72661746239
50,Ind,5198.00452524719,0,0,5198.00452524719
51,Aq,39478.0820677478,0,0,39478.0820677478
52,Ind,0.00087467215854,0.00087467215854,0,0
53,Ind,136367.988555982,49.5,0,136318.488555982
54,Ind,117756.832663949,4348.37,623.51,112784.952663949
55,Aq,119357.475113473,0,0,119357.475113473
56,Aq,3703.87159626051,0,0,3703.87159626051
57,Ind,58569.6268886082,0,0,58569.6268886082
58,Ind,75938.7822332782,57.2,353.21,75528.3722332782
59,Aq,293035.03739762,0.4,0,293034.63739762
60,Ind,41626.32278537,1740.54,271.95,39613.83278537
61,Ind,236534.315569051,105.34,2.01,236426.965569051
62,Aq,2377.6407120652,0,0,2377.6407120652
63,Aq,24090.4928346447,0,0,24090.4928346447
64,Aq,117189.169374938,0,0,117189.169374938
65,Aq,209009.346650574,2152.32,268.27,206588.756650574
66,Aq,24384.7202604985,0,0,24384.7202604985
67,Aq,3429.14211714629,0,0,3429.14211714629
68,Aq,23523.4084621717,0,0,23523.4084621717
69,Aq,5831.23967138645,0,0,5831.23967138645
70,Aq,102494.718944824,0,0,102494.718944824
71,Aq,5514.94944711861,0,0,5514.94944711861
72,Aq,12943.4734799472,0,0,12943.4734799472
73,Ind,13476.7022788121,0,0,13476.7022788121
74,Aq,57232.1796327835,0,0,57232.1796327835
75,Aq,48608.5339557121,0,0,48608.5339557121
76,Aq,18698.2449224333,0,0,18698.2449224333
77,Aq,24143.3912392943,0,23.88,24119.5112392943
78,Aq,5938.14706880742,0,0,5938.14706880742
79,Ind,871.950993473215,0,0,871.950993473215
80,Aq,33778.1538778721,0,305.06,33473.0938778721
81,Aq,821.024353646071,0,0,821.024353646071
82,Aq,46197.5069466041,0,0,46197.5069466041
83,Aq,35419.7086757937,0,5.75,35413.9586757937
84,Aq,43694.9542595285,0,12.57,43682.3842595285
85,Ind,2840706.97694536,831.32,46395.63,2793480.02694536
86,Aq,2805.53573304799,0,0,2805.53573304799
87,Aq,1565.34640443002,0,0,1565.34640443002
88,Aq,511.83598300218,0,0,511.83598300218
89,Ind,74363.2403593721,0,0,74363.2403593721
90,Aq,58573.5858479956,0,0,58573.5858479956
91,Ind,78245.9810125093,14.99,723.76,77507.2310125093
92,Aq,13310.7576949189,0,0,13310.7576949189
93,Ind,279940.588631357,116.75,0,279823.838631357
