CAA_ID,Muni_ID,uaa99,poly_sum,poly_corr,leaching_nha,correct_large,correct_small,total_leaching,leaching_large,leaching_small,leaching_gw
1,101,2918,8500,21,6.83641488180709,0,14,143.565,0,95.7098083452992,47.8551916547008
2,101,2918,8500,13,6.516717217993,0,0,84.717,0,0,84.717
3,101,2918,8500,18,8.58299340879986,0,0,154.494,0,0,154.494
4,101,2918,8500,14,6.02718016587891,0,4,84.381,0,24.1087206635156,60.2722793364844
5,101,2918,8500,16,12.7827914623151,0,0,204.525,0,0,204.525
6,101,2918,8500,1,6.76736018625,0,0,6.767,0,0,6.767
7,101,2918,8500,19,8.73461605422003,0,0,165.958,0,0,165.958
8,101,2918,8500,12,12.2815055258011,0,0,147.378,0,0,147.378
9,101,2918,8500,11,6.50707710257992,0,0,71.578,0,0,71.578
10,101,2918,8500,13,9.30512025609375,0,0,120.967,0,0,120.967
11,101,2918,8500,88,8.68202794850698,0,7,764.018,0,60.7741956395489,703.243804360451
12,101,2918,8500,33,5.96596226831747,0,0,196.877,0,0,196.877
13,101,2918,8500,15,8.36520911971613,0,0,125.478,0,0,125.478
14,101,2918,8500,13,8.51753954438956,0,0,110.728,0,0,110.728
15,101,2918,8500,33,6.24003342066988,0,0,205.921,0,0,205.921
16,101,2918,8500,15,10.151040279375,0,0,152.266,0,0,152.266
17,101,2918,8500,41,7.94274379669123,0,30,325.652,0,238.282313900737,87.3696860992632
18,101,2918,8500,10,6.24679401890983,0,0,62.468,0,0,62.468
19,101,2918,8500,32,11.2789336419454,0,0,360.926,0,0,360.926
20,101,2918,8500,28,8.32905868827051,0,0,233.214,0,0,233.214
21,101,2918,8500,27,9.34540216093307,0,0,252.326,0,0,252.326
22,101,2918,8500,20,3.45887298414349,0,2,69.177,0,6.91774596828698,62.259254031713
23,101,2918,8500,35,7.26864612817788,0,0,254.403,0,0,254.403
24,101,2918,8500,54,12.9976282953433,0,0,701.872,0,0,701.872
25,101,2918,8500,37,9.39911136919012,0,0,347.767,0,0,347.767
26,101,2918,8500,14,10.4682602881055,0,0,146.556,0,0,146.556
27,101,2918,8500,12,1.57905071030546,0,0,18.949,0,0,18.949
28,101,2918,8500,16,6.50022754874379,0,2,104.004,0,13.0004550974876,91.0035449025124
29,101,2918,8500,28,9.73458734442009,0,0,272.568,0,0,272.568
30,101,2918,8500,64,7.6471170104625,43,16,489.415,328.826031449888,122.3538721674,38.2350963827125
31,101,2918,8500,12,12.9707736885079,0,0,155.649,0,0,155.649
32,101,2918,8500,55,8.52377428084582,0,18,468.808,0,153.427937055225,315.380062944775
33,101,2918,8500,12,12.3262631948371,0,0,147.915,0,0,147.915
34,101,2918,8500,16,12.5552340277587,0,0,200.884,0,0,200.884
35,101,2918,8500,18,7.38257475060505,0,0,132.886,0,0,132.886
36,101,2918,8500,32,9.84737667905295,0,0,315.116,0,0,315.116
37,101,2918,8500,0,0,0,0,0,0,0,0
38,101,2918,8500,2,6.76736018625,0,0,13.535,0,0,13.535
39,101,2918,8500,28,9.53582571501995,0,0,267.003,0,0,267.003
40,101,2918,8500,13,7.96802086690063,0,0,103.584,0,0,103.584
41,101,2918,8500,11,10.151040279375,0,0,111.661,0,0,111.661
42,101,2918,8500,15,6.67831597555256,0,0,100.175,0,0,100.175
43,101,2918,8500,12,7.00071743255824,0,0,84.009,0,0,84.009
44,101,2918,8500,46,9.21975217831335,0,0,424.109,0,0,424.109
45,101,2918,8500,24,10.2763617635035,0,0,246.633,0,0,246.633
46,101,2918,8500,26,10.5876441607871,0,0,275.279,0,0,275.279
47,101,2918,8500,26,11.4127514980627,0,0,296.732,0,0,296.732
48,101,2918,8500,15,8.4592002328125,0,0,126.888,0,0,126.888
49,101,2918,8500,22,12.1682341818786,0,0,267.701,0,0,267.701
50,101,2918,8500,22,6.2936449732125,0,0,138.46,0,0,138.46
51,101,2918,8500,12,8.23362155813287,0,0,98.803,0,0,98.803
52,101,2918,8500,37,10.9969603026562,0,0,406.888,0,0,406.888
53,101,2918,8500,244,8.54144245609509,0,1,2084.112,0,8.54144245609509,2075.57055754391
54,101,2918,8500,69,8.39575623106641,0,0,579.307,0,0,579.307
55,101,2918,8500,911,7.3767060200571,14,4,6720.179,103.273884280799,29.5068240802284,6587.39829163897
56,101,2918,8500,37,9.06492074304283,0,0,335.402,0,0,335.402
57,101,2918,8500,94,9.78850312499335,0,0,920.119,0,0,920.119
58,101,2918,8500,353,8.11919363987116,303,14,2866.075,2460.11567288096,113.668710958196,292.290616160842
59,102,2595,5759,80,0.388422166633704,0,0,31.074,0,0,31.074
60,102,2595,5759,17,0.414421392251661,0,0,7.045,0,0,7.045
61,102,2595,5759,19,0.713725731375,0,0,13.561,0,0,13.561
62,102,2595,5759,21,0.739445577715283,0,0,15.528,0,0,15.528
63,102,2595,5759,26,0.458823684509736,0,24,11.929,0,11.0117684282337,0.91723157176633
64,102,2595,5759,46,0.769531446893526,0,0,35.398,0,0,35.398
65,102,2595,5759,15,0.407843274908291,0,0,6.118,0,0,6.118
66,102,2595,5759,44,0.641727082974436,0,0,28.236,0,0,28.236
67,102,2595,5759,19,0.509804093730527,0,0,9.686,0,0,9.686
68,102,2595,5759,56,0.548838598650039,0,0,30.735,0,0,30.735
69,102,2595,5759,29,0.41634000996875,0,18,12.074,0,7.4941201794375,4.5798798205625
70,102,2595,5759,17,0.810651448122464,0,0,13.781,0,0,13.781
71,102,2595,5759,32,0.572593524554318,0,0,18.323,0,0,18.323
72,102,2595,5759,46,0.478718478277722,0,0,22.021,0,0,22.021
73,102,2595,5759,43,0.445702144506615,0,0,19.165,0,0,19.165
74,102,2595,5759,43,0.766251001654294,0,0,32.949,0,0,32.949
75,102,2595,5759,2041,0.502142298250508,26,18,1024.872,13.0556997545132,9.03856136850915,1002.77773887698
76,103,5158,10884,23,4.5577720687942,0,0,104.829,0,0,104.829
77,103,5158,10884,41,4.56508791708381,0,0,187.169,0,0,187.169
78,103,5158,10884,18,4.7933423115,0,0,86.28,0,0,86.28
79,103,5158,10884,32,2.83242954782075,0,0,90.638,0,0,90.638
80,103,5158,10884,53,5.1233187763622,0,0,271.536,0,0,271.536
81,103,5158,10884,16,4.27976992006913,0,2,68.476,0,8.55953984013825,59.9164601598618
82,103,5158,10884,20,3.99445192625,0,0,79.889,0,0,79.889
83,103,5158,10884,1,4.0038059004949,0,0,4.004,0,0,4.004
84,103,5158,10884,260,5.22144724931723,0,59,1357.576,0,308.065387709717,1049.51061229028
85,103,5158,10884,412,5.19109014646132,0,0,2138.729,0,0,2138.729
