CAA_ID,Muni_ID,uaa09,poly_sum,poly_corr,leaching_nha,correct_large,correct_small,total_leaching,leaching_large,leaching_small,leaching_gw
1,505,80156,92545,1163,1.47812162139435,0,35,1719.055,0,51.7342567488022,1667.3207432512
2,505,80156,92545,36,1.73001126099526,0,0,62.28,0,0,62.28
3,505,80156,92545,2713,1.33603002982461,0,209,3624.649,0,279.230276233343,3345.41872376666
4,505,80156,92545,0,0,0,0,0,0,0,0
5,505,80156,92545,8923,1.13488738721289,48,1063,10126.6,54.4745945862187,1206.3852926073,8865.74011280648
6,505,80156,92545,16,1.15334084066351,0,0,18.453,0,0,18.453
7,505,80156,92545,152,1.73001126099526,0,0,262.962,0,0,262.962
8,505,80156,92545,0,0,0,0,0,0,0,0
9,505,80156,92545,62,1.00479054038605,0,0,62.297,0,0,62.297
10,505,80156,92545,945,1.65988813788292,0,0,1568.594,0,0,1568.594
11,505,80156,92545,88,1.73001126099526,0,0,152.241,0,0,152.241
12,505,80156,92545,43,0.700308558450881,0,0,30.113,0,0,30.113
13,505,80156,92545,3,1.73001126099526,0,0,5.19,0,0,5.19
14,505,80156,92545,1043,1.13581005988542,0,0,1184.65,0,0,1184.65
15,505,80156,92545,238,1.47166291268663,0,0,350.256,0,0,350.256
16,505,80156,92545,114,1.73001126099526,0,0,197.221,0,0,197.221
17,505,80156,92545,2567,1.5067244742428,0,325,3867.762,0,489.685454128911,3378.07654587109
18,505,80156,92545,55,1.15334084066351,0,0,63.434,0,0,63.434
19,505,80156,92545,77,1.73001126099526,0,0,133.211,0,0,133.211
20,505,80156,92545,46,1.73001126099526,0,0,79.581,0,0,79.581
21,505,80156,92545,50,0.477944444370957,0,0,23.897,0,0,23.897
22,505,80156,92545,3,0.969728978829876,0,0,2.909,0,0,2.909
23,505,80156,92545,18,1.73001126099526,0,0,31.14,0,0,31.14
24,505,80156,92545,149,1.15334084066351,0,43,171.848,0,49.5936561485308,122.254343851469
25,505,80156,92545,57433,1.50580180157027,226,4968,86482.715,340.311207154882,7480.82335020112,78661.580442644
26,505,80156,92545,666,1.70233108081934,0,101,1133.752,0,171.935439162753,961.816560837247
27,505,80156,92545,107,1.73001126099526,0,0,185.111,0,0,185.111
28,505,80156,92545,93,1.73001126099526,0,0,160.891,0,0,160.891
29,505,80156,92545,173,1.73001126099526,2,0,299.292,3.46002252199052,0,295.831977478009
30,505,80156,92545,29,1.15334084066351,0,1,33.447,0,1.15334084066351,32.2936591593365
