"Muni_ID","ID","Muni","2009"
1113,"16B1113","Torres Vedras",812468
1401,"16C1401","Abrantes",75257
1402,"16C1402","Alcanena",62663
1408,"16C1408","Constância",199
1410,"16C1410","Entroncamento",1637
1411,"16C1411","Ferreira do Zêzere",366847
1421,"16C1421","Ourém",49452
1417,"16C1417","Sardoal",7851
1418,"16C1418","Tomar",187343
1419,"16C1419","Torres Novas",138609
1420,"16C1420","Vila Nova da Barquinha",829
1115,"1711115","Amadora",317
1105,"1711105","Cascais",1079
1106,"1711106","Lisboa",115
1107,"1711107","Loures",82868
1109,"1711109","Mafra",290843
1116,"1711116","Odivelas",4316
1110,"1711110","Oeiras",62
1111,"1711111","Sintra",63051
1114,"1711114","Vila Franca de Xira",109666
1502,"1721502","Alcochete",83482
1503,"1721503","Almada",5786
1504,"1721504","Barreiro",3568
1506,"1721506","Moita",113164
1507,"1721507","Montijo",1669438
1508,"1721508","Palmela",759430
1510,"1721510","Seixal",1620
1511,"1721511","Sesimbra",6519
1512,"1721512","Setúbal",17638
1501,"1811501","Alcácer do Sal",303224
1505,"1811505","Grândola",876956
211,"1810211","Odemira",444069
1509,"1811509","Santiago do Cacém",692153
1513,"1811513","Sines",29229
1201,"1821201","Alter do Chão",129950
1202,"1821202","Arronches",137205
1203,"1821203","Avis",201702
1204,"1821204","Campo Maior",94511
1205,"1821205","Castelo de Vide",41437
1206,"1821206","Crato",170817
1207,"1821207","Elvas",208924
1208,"1821208","Fronteira",85582
1209,"1821209","Gavião",14173
1210,"1821210","Marvão",20726
1211,"1821211","Monforte",140432
707,"1820707","Mora",121644
1212,"1821212","Nisa",81712
1213,"1821213","Ponte de Sor",234995
1214,"1821214","Portalegre",138967
701,"1830701","Alandroal",246304
702,"1830702","Arraiolos",871284
703,"1830703","Borba",87406
704,"1830704","Estremoz",249517
705,"1830705","Évora",434646
706,"1830706","Montemor-o-Novo",1677644
708,"1830708","Mourão",102043
709,"1830709","Portel",755746
710,"1830710","Redondo",210049
711,"1830711","Reguengos de Monsaraz",110445
1215,"1831215","Sousel",119522
712,"1830712","Vendas Novas",534979
713,"1830713","Viana do Alentejo",319803
714,"1830714","Vila Viçosa",62171
201,"1840201","Aljustrel",136167
202,"1840202","Almodôvar",169836
203,"1840203","Alvito",94962
204,"1840204","Barrancos",95672
205,"1840205","Beja",246832
206,"1840206","Castro Verde",141854
207,"1840207","Cuba",318615
208,"1840208","Ferreira do Alentejo",324800
209,"1840209","Mértola",297574
210,"1840210","Moura",273561
212,"1840212","Ourique",538726
213,"1840213","Serpa",317037
214,"1840214","Vidigueira",43321
1403,"1851403","Almeirim",9525
1404,"1851404","Alpiarça",4177
1103,"1851103","Azambuja",303519
1405,"1851405","Benavente",1478556
1406,"1851406","Cartaxo",1674600
1407,"1851407","Chamusca",147389
1409,"1851409","Coruche",465830
1412,"1851412","Golegã",4571
1414,"1851414","Rio Maior",774724
1415,"1851415","Salvaterra de Magos",199210
1416,"1851416","Santarém",1139965
801,"1500801","Albufeira",7497
802,"1500802","Alcoutim",21284
803,"1500803","Aljezur",16803
804,"1500804","Castro Marim",30637
805,"1500805","Faro",8097
806,"1500806","Lagoa",33628
807,"1500807","Lagos",12055
808,"1500808","Loulé",26816
809,"1500809","Monchique",126432
810,"1500810","Olhão",2563
811,"1500811","Portimão",36674
812,"1500812","São Brás de Alportel",1832
813,"1500813","Silves",85143
814,"1500814","Tavira",16171
815,"1500815","Vila do Bispo",18606
816,"1500816","Vila Real de Santo António",1967
