"","Muni_ID","ID","Muni","furrow","other_grav","aspersion","cannon","pivot","drip","sum"
"1",1601,"1111601","Arcos de Valdevez",60,0,8,0,0,0,68
"2",1602,"1111602","Caminha",8,0,2,0,0,0,10
"3",1603,"1111603","Melgaço",4,0,0,0,0,0,4
"4",1604,"1111604","Monção",67,0,0,0,0,0,67
"5",1605,"1111605","Paredes de Coura",282,0,0,0,0,0,282
"6",1606,"1111606","Ponte da Barca",14,0,28,0,0,0,42
"7",1607,"1111607","Ponte de Lima",824,0,551,91,0,0,1466
"8",1608,"1111608","Valença",79,0,0,25,0,0,103
"9",1609,"1111609","Viana do Castelo",560,0,340,113,0,0,1014
"10",1610,"1111610","Vila Nova de Cerveira",60,0,191,0,0,0,251
"11",301,"1120301","Amares",164,0,222,10,0,0,396
"12",302,"1120302","Barcelos",1167,0,5700,2157,0,0,9024
"13",303,"1120303","Braga",682,0,1098,121,0,0,1901
"14",306,"1120306","Esposende",56,0,1019,166,0,0,1242
"15",310,"1120310","Terras de Bouro",12,0,0,0,0,0,12
"16",313,"1120313","Vila Verde",486,0,595,34,0,0,1115
"17",307,"1130307","Fafe",347,0,18,0,0,0,365
"18",308,"1130308","Guimarães",631,0,1204,21,0,0,1855
"19",309,"1130309","Póvoa de Lanhoso",381,0,248,0,0,0,629
"20",1314,"1131314","Santo Tirso",324,0,354,230,0,0,908
"21",1318,"1131318","Trofa",19,0,674,396,0,0,1089
"22",311,"1130311","Vieira do Minho",89,0,34,0,0,0,123
"23",312,"1130312","Vila Nova de Famalicão",274,0,2418,1434,0,0,4126
"24",314,"1130314","Vizela",67,0,45,0,0,0,112
"25",107,"1140107","Espinho",1,0,0,0,0,0,1
"26",1304,"1141304","Gondomar",68,0,113,21,0,0,202
"27",1306,"1141306","Maia",30,0,867,206,0,0,1104
"28",1308,"1141308","Matosinhos",11,0,764,58,0,0,834
"29",1312,"1141312","Porto",0,0,0,0,0,0,0
"30",1313,"1141313","Póvoa de Varzim",5,0,882,1179,0,0,2066
"31",1315,"1141315","Valongo",6,0,160,0,0,0,165
"32",1316,"1141316","Vila do Conde",2,0,2201,2653,30,0,4887
"33",1317,"1141317","Vila Nova de Gaia",99,0,72,0,0,0,171
"34",1301,"1151301","Amarante",408,0,124,2,0,0,534
"35",1302,"1151302","Baião",95,0,26,0,0,0,120
"36",304,"1150304","Cabeceiras de Basto",220,0,49,0,0,0,269
"37",106,"1150106","Castelo de Paiva",118,0,78,0,0,0,196
"38",305,"1150305","Celorico de Basto",420,0,84,19,0,0,522
"39",1804,"1151804","Cinfães",301,0,5,0,0,0,306
"40",1303,"1151303","Felgueiras",683,0,44,143,0,0,869
"41",1305,"1151305","Lousada",610,0,487,0,0,0,1097
"42",1307,"1151307","Marco de Canaveses",150,0,24,24,0,0,198
"43",1705,"1151705","Mondim de Basto",121,0,3,19,0,0,144
"44",1309,"1151309","Paços de Ferreira",216,0,254,61,0,0,532
"45",1310,"1151310","Paredes",289,0,215,0,0,0,504
"46",1311,"1151311","Penafiel",116,0,272,56,0,0,444
"47",1813,"1151813","Resende",14,0,31,0,0,0,44
"48",1709,"1151709","Ribeira de Pena",311,0,57,0,0,0,367
"49",104,"1160104","Arouca",412,0,557,2,0,0,971
"50",113,"1160113","Oliveira de Azeméis",153,0,1110,25,0,0,1288
"51",109,"1160109","Santa Maria da Feira",151,0,282,16,0,0,449
"52",116,"1160116","São João da Madeira",0,0,0,0,0,0,0
"53",119,"1160119","Vale de Cambra",100,0,28,0,0,0,129
"54",1701,"1171701","Alijó",0,0,0,0,0,0,0
"55",1801,"1171801","Armamar",3,0,3,0,0,0,6
"56",403,"1170403","Carrazeda de Ansiães",0,0,1,0,0,0,1
"57",404,"1170404","Freixo de Espada à Cinta",0,0,0,0,0,0,0
"58",1805,"1171805","Lamego",16,0,2,0,0,0,18
"59",1704,"1171704","Mesão Frio",0,0,0,0,0,0,0
"60",1807,"1171807","Moimenta da Beira",46,0,223,3,0,0,271
"61",1812,"1171812","Penedono",9,0,45,3,0,0,57
