Muni_ID,ID,Muni,slurry,solid,storage_N,storage_nha
1601,1111601,Arcos de Valdevez,351,14299,14650,0.792816951
1602,1111602,Caminha,407,8758,9165,2.783920191
1603,1111603,Melgaço,215,4698,4913,0.310775725
1604,1111604,Monção,392,9241,9633,1.41635972
1605,1111605,Paredes de Coura,1621,12157,13778,3.488947297
1606,1111606,Ponte da Barca,469,12908,13377,3.49258112
1607,1111607,Ponte de Lima,6704,34453,41157,4.65471574
1608,1111608,Valença,1171,5056,6227,2.256864634
1609,1111609,Viana do Castelo,4960,24931,29891,4.226007146
1610,1111610,Vila Nova de Cerveira,956,2753,3709,2.701696788
301,1120301,Amares,5594,18075,23669,12.27656136
302,1120302,Barcelos,73456,107468,180924,16.47010071
303,1120303,Braga,7148,19871,27019,7.324218625
306,1120306,Esposende,9586,16991,26577,12.61986409
310,1120310,Terras de Bouro,206,7260,7466,1.10023199
313,1120313,Vila Verde,4198,19502,23700,4.64347828
307,1130307,Fafe,962,34303,35265,11.65800003
308,1130308,Guimarães,5727,28018,33745,7.85141409
309,1130309,Póvoa de Lanhoso,1955,6649,8604,4.23235288
1314,1131314,Santo Tirso,5192,8471,13663,6.284847798
1318,1131318,Trofa,10335,25627,35962,22.46250259
311,1130311,Vieira do Minho,571,6662,7233,1.22226733
312,1130312,Vila Nova de Famalicão,32365,37557,69922,13.12588171
314,1130314,Vizela,358,968,1326,3.134139525
107,1140107,Espinho,441,632,1073,15.33443935
1304,1141304,Gondomar,471,3713,4184,3.449020517
1306,1141306,Maia,8273,13243,21516,12.5167281
1308,1141308,Matosinhos,6974,8804,15778,13.75550131
1312,1141312,Porto,2,76,78,1.907489518
1313,1141313,Póvoa de Varzim,33114,36207,69321,20.84200929
1315,1141315,Valongo,1736,45118,46854,71.31581975
1316,1141316,Vila do Conde,63530,70472,134002,21.98924112
1317,1141317,Vila Nova de Gaia,555,2465,3020,3.203007464
1301,1151301,Amarante,1273,8234,9507,1.086819118
1302,1151302,Baião,507,5153,5660,1.166936814
304,1150304,Cabeceiras de Basto,695,11949,12644,2.258721508
106,1150106,Castelo de Paiva,375,3696,4071,3.024263784
305,1150305,Celorico de Basto,1332,8084,9416,2.914381441
1804,1151804,Cinfães,407,5217,5624,1.262303976
1303,1151303,Felgueiras,6112,10118,16230,5.569589753
1305,1151305,Lousada,1662,6311,7973,3.333342912
1307,1151307,Marco de Canaveses,447,4217,4664,1.450561471
1705,1151705,Mondim de Basto,275,3165,3440,0.643655879
1309,1151309,Paços de Ferreira,1935,4797,6732,6.542344991
1310,1151310,Paredes,1460,7086,8546,4.283887391
1311,1151311,Penafiel,2623,7280,9903,3.016358983
1813,1151813,Resende,504,2800,3304,0.969870698
1709,1151709,Ribeira de Pena,864,5277,6141,0.837207063
104,1160104,Arouca,6272,11746,18018,4.042720928
113,1160113,Oliveira de Azeméis,12582,17401,29983,18.70408021
109,1160109,Santa Maria da Feira,4507,6174,10681,8.613702173
116,1160116,São João da Madeira,0,69,69,0
119,1160119,Vale de Cambra,1417,7395,8812,4.707408379
1701,1171701,Alijó,173,2589,2762,0.320136335
1801,1171801,Armamar,124,890,1014,0.223546503
403,1170403,Carrazeda de Ansiães,353,2320,2673,0.393402167
404,1170404,Freixo de Espada à Cinta,64,1064,1128,0.156801644
1805,1171805,Lamego,226,2067,2293,0.424959376
1704,1171704,Mesão Frio,14,166,180,0.16760038
1807,1171807,Moimenta da Beira,4508,11440,15948,3.77282425
1812,1171812,Penedono,606,2797,3403,0.984373907
1708,1171708,Peso da Régua,41,889,930,0.221518713
1710,1171710,Sabrosa,619,20262,20881,4.108089255
1711,1171711,Santa Marta de Penaguião,18,652,670,0.187102317
1815,1171815,São João da Pesqueira,70,1044,1114,0.084988313
1818,1171818,Sernancelhe,1059,13963,15022,2.958868273
1819,1171819,Tabuaço,58,1060,1118,0.273287725
1820,1171820,Tarouca,903,8083,8986,4.772046293
409,1170409,Torre de Moncorvo,119,11560,11679,0.816018926
410,1170410,Vila Flor,125,1905,2030,0.21908853
914,1170914,Vila Nova de Foz Côa,16,814,830,0.065422331
1714,1171714,Vila Real,1546,18767,20313,1.920663612
401,1180401,Alfândega da Fé,188,2246,2434,0.206926087
1702,1181702,Boticas,834,15767,16601,1.198895726
402,1180402,Bragança,2191,14371,16562,0.459670123
1703,1181703,Chaves,9325,47155,56480,2.899400455
405,1180405,Macedo de Cavaleiros,1163,21183,22346,1.024920824
406,1180406,Miranda do Douro,2758,12000,14758,0.676555745
407,1180407,Mirandela,1826,24082,25908,1.043255879
408,1180408,Mogadouro,11022,22702,33724,1.02827366
1706,1181706,Montalegre,2394,18735,21129,0.383708109
1707,1181707,Murça,425,2223,2648,0.557158188
1712,1181712,Valpaços,1821,12040,13861,0.631138612
1713,1181713,Vila Pouca de Aguiar,4279,17976,22255,1.928818309
411,1180411,Vimioso,613,6610,7223,0.497917432
412,1180412,Vinhais,2362,10091,12453,0.711140318
101,1610101,Águeda,3711,22323,26034,13.6805315
102,1610102,Albergaria-a-Velha,4196,36852,41048,19.5188157
103,1610103,Anadia,2698,16276,18974,5.506191906
105,1610105,Aveiro,2589,4918,7507,3.097001782
108,1610108,Estarreja,9954,15036,24990,7.875838517
110,1610110,Ílhavo,687,13651,14338,17.44229252
111,1610111,Mealhada,2656,13765,16421,9.614040495
112,1610112,Murtosa,5681,8084,13765,9.578979326
114,1610114,Oliveira do Bairro,2510,4163,6673,3.750892751
115,1610115,Ovar,7234,23615,30849,18.43913501
117,1610117,Sever do Vouga,1118,30470,31588,48.74639047
118,1610118,Vagos,5071,10387,15458,6.155971136
602,1620602,Cantanhede,11479,21062,32541,5.634734471
603,1620603,Coimbra,2049,7673,9722,1.87252394
604,1620604,Condeixa-a-Nova,387,1663,2050,1.076910856
605,1620605,Figueira da Foz,8608,15035,23643,4.291775261
608,1620608,Mira,6611,9805,16416,15.32783275
610,1620610,Montemor-o-Velho,14150,16702,30852,3.652432402
613,1620613,Penacova,353,2265,2618,3.301556324
615,1620615,Soure,990,76751,77741,15.8719428
1004,1631004,Batalha,8339,8168,16507,16.70755286
1009,1631009,Leiria,122049,76386,198435,40.74647837
1010,1631010,Marinha Grande,56,419,475,3.085337258
1015,1631015,Pombal,15176,35909,51085,12.4353971
1016,1631016,Porto de Mós,59354,8618,67972,20.2902937
1002,1641002,Alvaiázere,295,6519,6814,4.75504186
1003,1641003,Ansião,2008,11439,13447,5.626159022
601,1640601,Arganil,224,3579,3803,2.724559269
1007,1641007,Castanheira de Pêra,31,247,278,3.089725377
1008,1641008,Figueiró dos Vinhos,147,905,1052,2.754307673
606,1640606,Góis,2070,350,2420,14.23773447
607,1640607,Lousã,181,5158,5339,13.0230912
609,1640609,Miranda do Corvo,198,1085,1283,1.857431937
611,1640611,Oliveira do Hospital,185,69639,69824,23.48603056
612,1640612,Pampilhosa da Serra,45,994,1039,2.349958056
1013,1641013,Pedrógão Grande,96,725,821,1.682488909
614,1640614,Penela,216,1363,1579,1.395982044
616,1640616,Tábua,536,2964,3500,1.639437981
617,1640617,Vila Nova de Poiares,108,578,686,2.629373084
901,1650901,Aguiar da Beira,3428,26890,30318,10.1093075
1802,1651802,Carregal do Sal,1002,9937,10939,7.763432987
1803,1651803,Castro Daire,1204,19904,21108,6.844251472
1806,1651806,Mangualde,558,8455,9013,2.399008474
1808,1651808,Mortágua,822,25853,26675,31.19921397
1809,1651809,Nelas,288,12059,12347,4.458842992
1810,1651810,Oliveira de Frades,1757,75957,77714,52.19187853
1811,1651811,Penalva do Castelo,247,4031,4278,1.658164406
1814,1651814,Santa Comba Dão,3832,20986,24818,20.14416403
1816,1651816,São Pedro do Sul,1821,54472,56293,14.86866057
1817,1651817,Sátão,1478,32106,33584,12.16363545
1821,1651821,Tondela,1757,64045,65802,15.70069274
1822,1651822,Vila Nova de Paiva,872,26166,27038,16.87795513
1823,1651823,Viseu,1209,23520,24729,4.243857579
1824,1651824,Vouzela,1523,48201,49724,24.6400586
1413,1661413,Mação,624,2181,2805,1.733743951
506,1660506,Oleiros,262,8035,8297,6.954882549
508,1660508,Proença-a-Nova,439,3751,4190,1.021841656
509,1660509,Sertã,5899,6536,12435,5.048623546
510,1660510,Vila de Rei,457,1353,1810,5.323021195
905,1670905,Fornos de Algodres,244,3863,4107,1.449776479
906,1670906,Gouveia,245,6758,7003,1.053383512
912,1670912,Seia,184,4755,4939,0.908971472
902,1680902,Almeida,5478,6332,11810,0.596320637
903,1680903,Celorico da Beira,490,3148,3638,0.436899193
904,1680904,Figueira de Castelo Rodrigo,793,4850,5643,0.236474379
907,1680907,Guarda,2596,11554,14150,0.735126802
908,1680908,Manteigas,51,417,468,1.625305373
909,1680909,Mêda,127,4433,4560,0.492782683
910,1680910,Pinhel,1434,9650,11084,0.586726099
911,1680911,Sabugal,865,7754,8619,0.431066179
913,1680913,Trancoso,1532,6842,8374,0.752725608
502,1690502,Castelo Branco,2392,11676,14068,0.333302263
505,1690505,Idanha-a-Nova,3944,20374,24318,0.303384811
507,1690507,Penamacor,1219,3869,5088,0.42098673
511,1690511,Vila Velha de Ródão,403,2141,2544,0.450628558
501,16A0501,Belmonte,539,2290,2829,0.572031495
503,16A0503,Covilhã,2747,7266,10013,0.927847639
504,16A0504,Fundão,5274,10606,15880,0.616148856
1001,16B1001,Alcobaça,82318,15229,97547,13.31335054
1101,16B1101,Alenquer,1582,29696,31278,2.860363919
