Muni_ID,ID,Muni,tot_perma_past
1601,1111601,Arcos de Valdevez,15948
1602,1111602,Caminha,2794
1603,1111603,Melgaço,14977
1604,1111604,Monção,4281
1605,1111605,Paredes de Coura,2585
1606,1111606,Ponte da Barca,2812
1607,1111607,Ponte de Lima,3357
1608,1111608,Valença,1569
1609,1111609,Viana do Castelo,3948
1610,1111610,Vila Nova de Cerveira,840
301,1120301,Amares,160
302,1120302,Barcelos,99
303,1120303,Braga,193
306,1120306,Esposende,11
310,1120310,Terras de Bouro,5800
313,1120313,Vila Verde,893
307,1130307,Fafe,542
308,1130308,Guimarães,297
309,1130309,Póvoa de Lanhoso,334
1314,1131314,Santo Tirso,81
1318,1131318,Trofa,17
311,1130311,Vieira do Minho,4937
312,1130312,Vila Nova de Famalicão,96
314,1130314,Vizela,21
107,1140107,Espinho,1
1304,1141304,Gondomar,65
1306,1141306,Maia,39
1308,1141308,Matosinhos,29
1312,1141312,Porto,5
1313,1141313,Póvoa de Varzim,47
1315,1141315,Valongo,17
1316,1141316,Vila do Conde,29
1317,1141317,Vila Nova de Gaia,86
1301,1151301,Amarante,4329
1302,1151302,Baião,2001
304,1150304,Cabeceiras de Basto,3598
106,1150106,Castelo de Paiva,74
305,1150305,Celorico de Basto,181
1804,1151804,Cinfães,2845
1303,1151303,Felgueiras,57
1305,1151305,Lousada,62
1307,1151307,Marco de Canaveses,560
1705,1151705,Mondim de Basto,4206
1309,1151309,Paços de Ferreira,38
1310,1151310,Paredes,59
1311,1151311,Penafiel,170
1813,1151813,Resende,994
1709,1151709,Ribeira de Pena,6106
104,1160104,Arouca,2602
113,1160113,Oliveira de Azeméis,45
109,1160109,Santa Maria da Feira,33
116,1160116,São João da Madeira,0
119,1160119,Vale de Cambra,1113
1701,1171701,Alijó,739
1801,1171801,Armamar,49
403,1170403,Carrazeda de Ansiães,580
404,1170404,Freixo de Espada à Cinta,1309
1805,1171805,Lamego,1227
1704,1171704,Mesão Frio,3
1807,1171807,Moimenta da Beira,866
1812,1171812,Penedono,843
1708,1171708,Peso da Régua,37
1710,1171710,Sabrosa,1250
1711,1171711,Santa Marta de Penaguião,460
1815,1171815,São João da Pesqueira,730
1818,1171818,Sernancelhe,1742
1819,1171819,Tabuaço,138
1820,1171820,Tarouca,226
409,1170409,Torre de Moncorvo,2580
410,1170410,Vila Flor,1007
914,1170914,Vila Nova de Foz Côa,999
1714,1171714,Vila Real,5695
401,1180401,Alfândega da Fé,1346
1702,1181702,Boticas,11436
402,1180402,Bragança,9426
1703,1181703,Chaves,4819
405,1180405,Macedo de Cavaleiros,3614
406,1180406,Miranda do Douro,6811
407,1180407,Mirandela,1784
408,1180408,Mogadouro,5006
1706,1181706,Montalegre,50220
1707,1181707,Murça,550
1712,1181712,Valpaços,2410
1713,1181713,Vila Pouca de Aguiar,8329
411,1180411,Vimioso,3781
412,1180412,Vinhais,4952
101,1610101,Águeda,112
102,1610102,Albergaria-a-Velha,235
103,1610103,Anadia,106
105,1610105,Aveiro,230
108,1610108,Estarreja,551
110,1610110,Ílhavo,12
111,1610111,Mealhada,50
112,1610112,Murtosa,131
114,1610114,Oliveira do Bairro,99
115,1610115,Ovar,39
117,1610117,Sever do Vouga,130
118,1610118,Vagos,12
602,1620602,Cantanhede,107
603,1620603,Coimbra,193
604,1620604,Condeixa-a-Nova,303
605,1620605,Figueira da Foz,285
608,1620608,Mira,23
610,1620610,Montemor-o-Velho,669
613,1620613,Penacova,13
615,1620615,Soure,644
1004,1631004,Batalha,45
1009,1631009,Leiria,268
1010,1631010,Marinha Grande,23
1015,1631015,Pombal,259
1016,1631016,Porto de Mós,1926
1002,1641002,Alvaiázere,197
1003,1641003,Ansião,237
601,1640601,Arganil,427
1007,1641007,Castanheira de Pêra,21
1008,1641008,Figueiró dos Vinhos,31
606,1640606,Góis,31
607,1640607,Lousã,8
609,1640609,Miranda do Corvo,10
611,1640611,Oliveira do Hospital,543
612,1640612,Pampilhosa da Serra,64
1013,1641013,Pedrógão Grande,76
614,1640614,Penela,159
616,1640616,Tábua,221
617,1640617,Vila Nova de Poiares,20
901,1650901,Aguiar da Beira,905
1802,1651802,Carregal do Sal,119
1803,1651803,Castro Daire,1620
1806,1651806,Mangualde,468
1808,1651808,Mortágua,81
1809,1651809,Nelas,246
1810,1651810,Oliveira de Frades,279
1811,1651811,Penalva do Castelo,363
1814,1651814,Santa Comba Dão,230
1816,1651816,São Pedro do Sul,1475
1817,1651817,Sátão,633
1821,1651821,Tondela,678
1822,1651822,Vila Nova de Paiva,744
1823,1651823,Viseu,719
1824,1651824,Vouzela,706
1413,1661413,Mação,106
506,1660506,Oleiros,116
508,1660508,Proença-a-Nova,837
509,1660509,Sertã,339
510,1660510,Vila de Rei,23
905,1670905,Fornos de Algodres,587
906,1670906,Gouveia,2718
912,1670912,Seia,1057
902,1680902,Almeida,13017
903,1680903,Celorico da Beira,3797
904,1680904,Figueira de Castelo Rodrigo,9836
907,1680907,Guarda,12237
908,1680908,Manteigas,101
909,1680909,Meda,1988
910,1680910,Pinhel,7731
911,1680911,Sabugal,14377
913,1680913,Trancoso,4421
502,1690502,Castelo Branco,21700
505,1690505,Idanha-a-Nova,51518
507,1690507,Penamacor,5345
511,1690511,Vila Velha de Ródão,1773
501,16A0501,Belmonte,1228
503,16A0503,Covilhã,2621
504,16A0504,Fundão,7055
1001,16B1001,Alcobaça,1053
1101,16B1101,Alenquer,706
1102,16B1102,Arruda dos Vinhos,328
1005,16B1005,Bombarral,125
1104,16B1104,Cadaval,90
1006,16B1006,Caldas da Rainha,214
1108,16B1108,Lourinhã,210
1011,16B1011,Nazaré,63
1012,16B1012,Óbidos,137
1014,16B1014,Peniche,85
1112,16B1112,Sobral de Monte Agraço,236
1113,16B1113,Torres Vedras,392
1401,16C1401,Abrantes,5818
1402,16C1402,Alcanena,1501
1408,16C1408,Constância,157
1410,16C1410,Entroncamento,64
1411,16C1411,Ferreira do Zêzere,297
1421,16C1421,Ourém,221
1417,16C1417,Sardoal,136
1418,16C1418,Tomar,1006
1419,16C1419,Torres Novas,411
1420,16C1420,Vila Nova da Barquinha,73
1115,1711115,Amadora,49
1105,1711105,Cascais,46
1106,1711106,Lisboa,7
1107,1711107,Loures,874
1109,1711109,Mafra,1018
1116,1711116,Odivelas,325
1110,1711110,Oeiras,11
1111,1711111,Sintra,1222
1114,1711114,Vila Franca de Xira,3078
1502,1721502,Alcochete,1768
1503,1721503,Almada,67
1504,1721504,Barreiro,81
1506,1721506,Moita,347
1507,1721507,Montijo,8456
1508,1721508,Palmela,13988
1510,1721510,Seixal,526
1511,1721511,Sesimbra,980
1512,1721512,Setúbal,1212
1501,1811501,Alcácer do Sal,57667
1505,1811505,Grândola,20687
211,1810211,Odemira,37333
1509,1811509,Santiago do Cacém,29935
1513,1811513,Sines,4118
1201,1821201,Alter do Chão,24759
1202,1821202,Arronches,17834
1203,1821203,Avis,29289
