Muni_ID,ID,Muni,graz09_N,graz09_Nha
1601,1111601,Arcos de Valdevez,33528,1.814477219
1602,1111602,Caminha,1864,0.566142415
1603,1111603,Melgaço,7126,0.450718518
1604,1111604,Monção,12062,1.773605249
1605,1111605,Paredes de Coura,10188,2.579796124
1606,1111606,Ponte da Barca,8241,2.151789032
1607,1111607,Ponte de Lima,14357,1.623740083
1608,1111608,Valença,4000,1.449915106
1609,1111609,Viana do Castelo,10188,1.44040895
1610,1111610,Vila Nova de Cerveira,1995,1.452849837
301,1120301,Amares,4694,2.434735476
302,1120302,Barcelos,37712,3.433028549
303,1120303,Braga,13345,3.617557061
306,1120306,Esposende,4438,2.107308777
310,1120310,Terras de Bouro,6563,0.967200193
313,1120313,Vila Verde,14984,2.935827615
307,1130307,Fafe,8986,2.9707202
308,1130308,Guimarães,10692,2.48772806
309,1130309,Póvoa de Lanhoso,6472,3.183360991
1314,1131314,Santo Tirso,3931,1.80816508
1318,1131318,Trofa,4797,2.99595424
311,1130311,Vieira do Minho,12428,2.099989437
312,1130312,Vila Nova de Famalicão,14685,2.756791525
314,1130314,Vizela,531,1.254625195
107,1140107,Espinho,211,3.008915674
1304,1141304,Gondomar,1715,1.413635814
1306,1141306,Maia,4930,2.868048135
1308,1141308,Matosinhos,3254,2.836738737
1312,1141312,Porto,71,1.729108641
1313,1141313,Póvoa de Varzim,10243,3.079738271
1315,1141315,Valongo,1590,2.4194164
1316,1141316,Vila do Conde,21282,3.492270912
1317,1141317,Vila Nova de Gaia,1431,1.517284108
1301,1151301,Amarante,4727,0.540363161
1302,1151302,Baião,3890,0.8021148
304,1150304,Cabeceiras de Basto,11753,2.099448889
106,1150106,Castelo de Paiva,2426,1.802470979
305,1150305,Celorico de Basto,6927,2.143791021
1804,1151804,Cinfães,9759,2.19050471
1303,1151303,Felgueiras,4425,1.518425997
1305,1151305,Lousada,3457,1.445428708
1307,1151307,Marco de Canaveses,3715,1.155504353
1705,1151705,Mondim de Basto,5015,0.938375789
1309,1151309,Paços de Ferreira,2515,2.444176595
