Muni_ID,ID,Muni,slurry,solid,manure_N,manure_nha
1601,1111601,Arcos de Valdevez,1416,5675,7091,0.383753653
1602,1111602,Caminha,1817,2553,4370,1.32746051
1603,1111603,Melgaço,565,1552,2117,0.133902593
1604,1111604,Monção,1165,3872,5036,0.740479341
1605,1111605,Paredes de Coura,8192,6202,14395,3.64522664
1606,1111606,Ponte da Barca,2147,2343,4489,1.172062663
1607,1111607,Ponte de Lima,33840,22877,56716,6.414385886
1608,1111608,Valença,4233,4916,9149,3.316056542
1609,1111609,Viana do Castelo,25170,33161,58331,8.246995617
1610,1111610,Vila Nova de Cerveira,4868,3064,7931,5.776402039
301,1120301,Amares,16026,37191,53217,27.60217842
302,1120302,Barcelos,396240,213210,609450,55.48020027
303,1120303,Braga,37408,22686,60094,16.2900515
306,1120306,Esposende,51523,28176,79700,37.84425451
310,1120310,Terras de Bouro,569,945,1513,0.222959033
313,1120313,Vila Verde,19910,14457,34367,6.733346395
307,1130307,Fafe,3684,3727,7410,2.449586777
308,1130308,Guimarães,29224,44158,73382,17.07352257
309,1130309,Póvoa de Lanhoso,8118,5445,13562,6.670929661
1314,1131314,Santo Tirso,25971,14558,40529,18.6425943
1318,1131318,Trofa,55804,50409,106213,66.34166146
311,1130311,Vieira do Minho,2223,2588,4811,0.812943562
312,1130312,Vila Nova de Famalicão,156530,77553,234083,43.94274451
314,1130314,Vizela,1833,1168,3001,7.094562648
107,1140107,Espinho,2383,1281,3664,52.34285714
1304,1141304,Gondomar,2433,2775,5207,4.292662819
1306,1141306,Maia,45007,27236,72244,42.02675974
1308,1141308,Matosinhos,37946,19992,57938,50.51264167
1312,1141312,Porto,14,74,88,2.146341463
1313,1141313,Póvoa de Varzim,170417,86419,256837,77.22098617
1315,1141315,Valongo,8789,9735,18523,28.19330289
1316,1141316,Vila do Conde,340306,175567,515874,84.65277322
1317,1141317,Vila Nova de Gaia,2515,2018,4533,4.80699894
1301,1151301,Amarante,5038,4773,9811,1.121513489
1302,1151302,Baião,1372,2050,3422,0.70556701
304,1150304,Cabeceiras de Basto,2112,6424,8536,1.524830297
106,1150106,Castelo de Paiva,1272,1782,3054,2.268945022
305,1150305,Celorico de Basto,5685,7624,13309,4.119158155
1804,1151804,Cinfães,1203,2498,3701,0.830751964
1303,1151303,Felgueiras,20834,12574,33408,11.4646534
1305,1151305,Lousada,8127,6986,15113,6.318143813
1307,1151307,Marco de Canaveses,1496,2386,3882,1.207465008
1705,1151705,Mondim de Basto,817,1451,2269,0.424588323
1309,1151309,Paços de Ferreira,10147,6756,16904,16.42759961
1310,1151310,Paredes,6755,5616,12371,6.201002506
1311,1151311,Penafiel,12217,8093,20310,6.186414864
1813,1151813,Resende,1904,1557,3460,1.015556208
1709,1151709,Ribeira de Pena,4224,3735,7959,1.085071575
104,1160104,Arouca,31854,19824,51678,11.5947947
113,1160113,Oliveira de Azeméis,61680,37184,98864,61.67436057
109,1160109,Santa Maria da Feira,18416,8601,27016,21.78709677
116,1160116,São João da Madeira,0,0,0,0
119,1160119,Vale de Cambra,6522,10229,16752,8.948717949
1701,1171701,Alijó,562,1160,1723,0.199698656
1801,1171801,Armamar,300,344,644,0.141912737
403,1170403,Carrazeda de Ansiães,989,1245,2234,0.328771155
404,1170404,Freixo de Espada à Cinta,187,769,956,0.132943958
1805,1171805,Lamego,556,920,1476,0.273586654
1704,1171704,Mesão Frio,12,31,43,0.040037244
1807,1171807,Moimenta da Beira,18795,16049,34844,8.243198486
1812,1171812,Penedono,2815,4038,6852,1.982065375
1708,1171708,Peso da Régua,80,275,355,0.084584227
1710,1171710,Sabrosa,2739,2238,4977,0.979146174
1711,1171711,Santa Marta de Penaguião,56,262,318,0.088777219
1815,1171815,São João da Pesqueira,189,623,813,0.06203739
1818,1171818,Sernancelhe,4982,10747,15728,3.097892456
1819,1171819,Tabuaço,147,466,612,0.149633252
1820,1171820,Tarouca,4290,2875,7165,3.805098247
409,1170409,Torre de Moncorvo,286,1641,1927,0.134642258
410,1170410,Vila Flor,367,1224,1591,0.171684472
914,1170914,Vila Nova de Foz Côa,60,696,755,0.059476918
1714,1171714,Vila Real,7508,7344,14851,1.404217095
401,1180401,Alfândega da Fé,722,1715,2438,0.207295298
1702,1181702,Boticas,3396,4199,7595,0.548494259
402,1180402,Bragança,7548,11411,18959,0.526185784
1703,1181703,Chaves,40011,22839,62850,3.226386037
405,1180405,Macedo de Cavaleiros,4557,7913,12470,0.571939641
406,1180406,Miranda do Douro,12911,14286,27196,1.246779443
407,1180407,Mirandela,5188,4553,9741,0.392244504
408,1180408,Mogadouro,57575,31938,89513,2.72930451
1706,1181706,Montalegre,10169,11211,21380,0.388261359
1707,1181707,Murça,1686,1382,3068,0.645622896
1712,1181712,Valpaços,7017,6030,13047,0.594071578
1713,1181713,Vila Pouca de Aguiar,21726,13596,35321,3.061275784
411,1180411,Vimioso,2692,5020,7711,0.5315365
412,1180412,Vinhais,7022,6194,13215,0.7546254
101,1610101,Águeda,15406,29158,44564,23.41776143
102,1610102,Albergaria-a-Velha,18022,65063,83086,39.50832145
103,1610103,Anadia,7941,18752,26693,7.746082414
105,1610105,Aveiro,11244,6879,18123,7.476485149
108,1610108,Estarreja,51229,30405,81633,25.72738733
110,1610110,Ílhavo,3360,2061,5420,6.593673966
111,1610111,Mealhada,8933,28723,37656,22.04683841
112,1610112,Murtosa,29759,16817,46576,32.41196938
114,1610114,Oliveira do Bairro,9825,5705,15529,8.72906127
115,1610115,Ovar,38464,45817,84282,50.37776449
117,1610117,Sever do Vouga,3978,37271,41249,63.6558642
118,1610118,Vagos,23203,18613,41817,16.65352449
602,1620602,Cantanhede,47067,24265,71332,12.35186147
603,1620603,Coimbra,6793,9783,16577,3.19279661
604,1620604,Condeixa-a-Nova,1444,1533,2978,1.56407563
605,1620605,Figueira da Foz,35074,32164,67238,12.2051189
608,1620608,Mira,22363,7409,29772,27.79831933
610,1620610,Montemor-o-Velho,61962,32320,94282,11.16159583
613,1620613,Penacova,881,1019,1899,2.394703657
615,1620615,Soure,3442,147326,150767,30.78133932
1004,1631004,Batalha,17232,10406,27638,27.97368421
