Muni_ID,ID,Muni,fert09_N,fert09_nha
1601,1111601,Arcos de Valdevez,8088,0.438
1602,1111602,Caminha,0,0.000
1603,1111603,Melgaço,194,0.012
1604,1111604,Monção,7542,1.109
1605,1111605,Paredes de Coura,2726,0.690
1606,1111606,Ponte da Barca,181,0.047
1607,1111607,Ponte de Lima,37976,4.295
1608,1111608,Valença,6947,2.518
1609,1111609,Viana do Castelo,22978,3.249
1610,1111610,Vila Nova de Cerveira,3623,2.639
301,1120301,Amares,385,0.200
302,1120302,Barcelos,118532,10.790
303,1120303,Braga,41012,11.117
306,1120306,Esposende,23433,11.127
310,1120310,Terras de Bouro,1468,0.216
313,1120313,Vila Verde,33388,6.542
307,1130307,Fafe,1527,0.505
308,1130308,Guimarães,36222,8.428
309,1130309,Póvoa de Lanhoso,14839,7.299
1314,1131314,Santo Tirso,14922,6.864
1318,1131318,Trofa,13833,8.640
311,1130311,Vieira do Minho,5705,0.964
312,1130312,Vila Nova de Famalicão,48369,9.080
314,1130314,Vizela,4841,11.445
107,1140107,Espinho,57,0.810
1304,1141304,Gondomar,7994,6.590
1306,1141306,Maia,17347,10.092
1308,1141308,Matosinhos,12675,11.051
1312,1141312,Porto,414,10.093
1313,1141313,Póvoa de Varzim,30779,9.254
1315,1141315,Valongo,268,0.408
1316,1141316,Vila do Conde,63595,10.436
1317,1141317,Vila Nova de Gaia,2278,2.416
1301,1151301,Amarante,34786,3.976
1302,1151302,Baião,12746,2.628
304,1150304,Cabeceiras de Basto,8817,1.575
106,1150106,Castelo de Paiva,10952,8.137
305,1150305,Celorico de Basto,24585,7.609
1804,1151804,Cinfães,15364,3.449
1303,1151303,Felgueiras,16181,5.553
1305,1151305,Lousada,24577,10.275
1307,1151307,Marco de Canaveses,17390,5.409
1705,1151705,Mondim de Basto,10160,1.901
1309,1151309,Paços de Ferreira,9419,9.154
1310,1151310,Paredes,17048,8.545
1311,1151311,Penafiel,24877,7.578
1813,1151813,Resende,8588,2.521
1709,1151709,Ribeira de Pena,12247,1.670
104,1160104,Arouca,17817,3.997
113,1160113,Oliveira de Azeméis,14046,8.762
109,1160109,Santa Maria da Feira,13997,11.288
