"agrarian_region_id","agrarian_region","2009"
"Entre Douro e Minho",1,10
"Trás-os-Montes",2,47.95
"Beira Litoral",3,44.41
"Beira Interior",4,37.06
"Ribatejo e Oeste",5,53.95
"Alentejo",6,55.69
"Algarve",7,38.95
