"agrarian_region_id","agrarian_region","2009"
"Entre Douro e Minho",1,10
"Trás-os-Montes",2,26.86
"Beira Litoral",3,44.17
"Beira Interior",4,42.37
"Ribatejo e Oeste",5,60.97
"Alentejo",6,64.51
"Algarve",7,46
