"agrarian_region_id","agrarian_region","2009"
"Entre Douro e Minho",1,36.37
"Trás-os-Montes",2,37.75
"Beira Litoral",3,53.98
"Beira Interior",4,38.68
"Ribatejo e Oeste",5,81.4
"Alentejo",6,61.54
"Algarve",7,42.31
