"wb_var","avg","sd","max","sum","year"
"irrig",432,1148,9300,1837032365,1999
"wb",2067,1836,15694,8787089461,1999
"prec",706,322,2683,2998983827,1999
"rf",83,166,3825,353664400,1999
"irrig",524,1237,9300,2236964601,2009
"wb",1044,1540,11643,4454027246,2009
"prec",434,217,1531,1850144140,2009
"rf",21,54,1082,89872545,2009
