Muni_ID,ID,Muni,fert09_nha,graz09_Nha,manure_nha,sludge09_nha
1601,1111601,Arcos de Valdevez,0.438,1.814477219,0.383753653,0
1602,1111602,Caminha,0,0.566142415,1.32746051,0.194138089
1603,1111603,Melgaço,0.012,0.450718518,0.133902593,0.009586992
1604,1111604,Monção,1.109,1.773605249,0.740479341,0.04649151
1605,1111605,Paredes de Coura,0.69,2.579796124,3.64522664,0.042688323
1606,1111606,Ponte da Barca,0.047,2.151789032,1.172062663,0.052697389
1607,1111607,Ponte de Lima,4.295,1.623740083,6.414385886,0.034930629
1608,1111608,Valença,2.518,1.449915106,3.316056542,0.105692778
1609,1111609,Viana do Castelo,3.249,1.44040895,8.246995617,0.222228472
1610,1111610,Vila Nova de Cerveira,2.639,1.452849837,5.776402039,0.394895976
301,1120301,Amares,0.2,2.434735476,27.60217842,0
302,1120302,Barcelos,10.79,3.433028549,55.48020027,0.250532159
303,1120303,Braga,11.117,3.617557061,16.2900515,0.454931019
306,1120306,Esposende,11.127,2.107308777,37.84425451,0.409016471
310,1120310,Terras de Bouro,0.216,0.967200193,0.222959033,0.00807456
313,1120313,Vila Verde,6.542,2.935827615,6.733346395,0.008032312
307,1130307,Fafe,0.505,2.9707202,2.449586777,0.109594441
308,1130308,Guimarães,8.428,2.48772806,17.07352257,0.694128829
309,1130309,Póvoa de Lanhoso,7.299,3.183360991,6.670929661,0.012215777
1314,1131314,Santo Tirso,6.864,1.80816508,18.6425943,2.826964559
1318,1131318,Trofa,8.64,2.99595424,66.34166146,0
311,1130311,Vieira do Minho,0.964,2.099989437,0.812943562,0.000799326
312,1130312,Vila Nova de Famalicão,9.08,2.756791525,43.94274451,1.446637637
314,1130314,Vizela,11.445,1.254625195,7.094562648,0
107,1140107,Espinho,0.81,3.008915674,52.34285714,10.75876362
1304,1141304,Gondomar,6.59,1.413635814,4.292662819,0.967281279
1306,1141306,Maia,10.092,2.868048135,42.02675974,1.442058514
1308,1141308,Matosinhos,11.051,2.836738737,50.51264167,1.092387465
1312,1141312,Porto,10.093,1.729108641,2.146341463,0
1313,1141313,Póvoa de Varzim,9.254,3.079738271,77.22098617,0
1315,1141315,Valongo,0.408,2.4194164,28.19330289,6.283621867
1316,1141316,Vila do Conde,10.436,3.492270912,84.65277322,0.002749317
1317,1141317,Vila Nova de Gaia,2.416,1.517284108,4.80699894,8.451756713
1301,1151301,Amarante,3.976,0.540363161,1.121513489,0.044309329
1302,1151302,Baião,2.628,0.8021148,0.70556701,0
304,1150304,Cabeceiras de Basto,1.575,2.099448889,1.524830297,0
106,1150106,Castelo de Paiva,8.137,1.802470979,2.268945022,0
305,1150305,Celorico de Basto,7.609,2.143791021,4.119158155,0.030501483
1804,1151804,Cinfães,3.449,2.19050471,0.830751964,0
1303,1151303,Felgueiras,5.553,1.518425997,11.4646534,0.071697536
1305,1151305,Lousada,10.275,1.445428708,6.318143813,0.040046356
1307,1151307,Marco de Canaveses,5.409,1.155504353,1.207465008,0.220703611
1705,1151705,Mondim de Basto,1.901,0.938375789,0.424588323,0
1309,1151309,Paços de Ferreira,9.154,2.444176595,16.42759961,0.66657924
1310,1151310,Paredes,8.545,1.70538625,6.201002506,0
1311,1151311,Penafiel,7.578,1.03913525,6.186414864,0.293457977
1813,1151813,Resende,2.521,0.672654203,1.015556208,0.020458659
1709,1151709,Ribeira de Pena,1.67,1.24344526,1.085071575,0.000237542
104,1160104,Arouca,3.997,2.198189469,11.5947947,0
113,1160113,Oliveira de Azeméis,8.762,3.097934077,61.67436057,0.114640488
109,1160109,Santa Maria da Feira,11.288,2.376964655,21.78709677,0.001112665
116,1160116,São João da Madeira,0,0,0,0
119,1160119,Vale de Cambra,2.733,1.657799563,8.948717949,0
1701,1171701,Alijó,1.249,0.260957552,0.199698656,0.006324215
1801,1171801,Armamar,1.691,0.073450191,0.141912737,0.012161341
403,1170403,Carrazeda de Ansiães,1.807,0.403473085,0.328771155,0.000696161
404,1170404,Freixo de Espada à Cinta,1.745,0.302087401,0.132943958,0
1805,1171805,Lamego,1.116,0.29864581,0.273586654,0.034889909
1704,1171704,Mesão Frio,0.036,0.00674922,0.040037244,0
1807,1171807,Moimenta da Beira,0.518,0.730101811,8.243198486,0.047207152
1812,1171812,Penedono,4.66,0.436494304,1.982065375,0
1708,1171708,Peso da Régua,1.092,0.063451145,0.084584227,0.105360759
1710,1171710,Sabrosa,0.022,0.21592654,0.979146174,0.005354249
1711,1171711,Santa Marta de Penaguião,1.137,0.051002031,0.088777219,0
1815,1171815,São João da Pesqueira,1.9,0.09340448,0.06203739,0.007442446
1818,1171818,Sernancelhe,1.633,0.45905448,3.097892456,0
1819,1171819,Tabuaço,2.303,0.195924179,0.149633252,0.009979362
1820,1171820,Tarouca,0.008,0.696692517,3.805098247,0.06866595
409,1170409,Torre de Moncorvo,1.218,0.371539046,0.134642258,0.026964991
410,1170410,Vila Flor,2.433,0.321840244,0.171684472,0
914,1170914,Vila Nova de Foz Côa,1.577,0.166393337,0.059476918,0
1714,1171714,Vila Real,0.136,0.949438498,1.404217095,0.087642669
401,1180401,Alfândega da Fé,2.463,0.340388962,0.207295298,0
1702,1181702,Boticas,0.492,0.930718541,0.548494259,0
402,1180402,Bragança,2.787,0.704519361,0.526185784,0.009942828
1703,1181703,Chaves,1.801,0.862269681,3.226386037,0.023818412
405,1180405,Macedo de Cavaleiros,2.401,0.672373756,0.571939641,0.01081192
406,1180406,Miranda do Douro,0.858,0.961106765,1.246779443,0
407,1180407,Mirandela,2.058,0.360507616,0.392244504,0.024349867
408,1180408,Mogadouro,1.555,0.52657,2.72930451,0
1706,1181706,Montalegre,0.384,0.7954944,0.388261359,0.000361944
1707,1181707,Murça,0.812,0.388708158,0.645622896,0.009684142
1712,1181712,Valpaços,3.646,0.458736391,0.594071578,0.003309122
1713,1181713,Vila Pouca de Aguiar,0.68,1.279118889,3.061275784,0
411,1180411,Vimioso,1.872,0.641957446,0.5315365,9.51061e-05
412,1180412,Vinhais,3.672,0.888454796,0.7546254,9.27426e-05
101,1610101,Águeda,2.246,2.669506491,23.41776143,0
102,1610102,Albergaria-a-Velha,0.058,3.444035757,39.50832145,0
103,1610103,Anadia,1.264,0.566229041,7.746082414,5.1134e-05
105,1610105,Aveiro,8.304,1.946341414,7.476485149,0.810200496
108,1610108,Estarreja,4.214,4.984455733,25.72738733,0
110,1610110,Ílhavo,0.709,1.45258373,6.593673966,1.80273183
111,1610111,Mealhada,0.233,1.127411394,22.04683841,0
112,1610112,Murtosa,4.878,5.958571968,32.41196938,0
114,1610114,Oliveira do Bairro,4.609,1.379524863,8.72906127,0.013516735
115,1610115,Ovar,0.26,6.296860859,50.37776449,0.015809988
117,1610117,Sever do Vouga,0.07,2.932101966,63.6558642,0
118,1610118,Vagos,5.326,2.56245748,16.65352449,0
602,1620602,Cantanhede,2.298,1.971756652,12.35186147,0
603,1620603,Coimbra,9.1,0.647585575,3.19279661,0.494383845
604,1620604,Condeixa-a-Nova,5.646,0.748368217,1.56407563,0.091925063
605,1620605,Figueira da Foz,5.701,1.730019779,12.2051189,0.185329648
608,1620608,Mira,1.288,3.090245692,27.79831933,0
610,1620610,Montemor-o-Velho,8.292,2.369440275,11.16159583,0.000466676
613,1620613,Penacova,4.759,1.419439055,2.394703657,0.075559367
615,1620615,Soure,0.367,0.983663898,30.78133932,0.011460647
1004,1631004,Batalha,0.497,1.337685023,27.97368421,0
1009,1631009,Leiria,0.713,3.102008772,86.74414784,0.488951106
1010,1631010,Marinha Grande,6.598,1.56452755,2.136363636,0
1015,1631015,Pombal,0.338,2.029838745,23.64216164,0.149053719
1016,1631016,Porto de Mós,0.092,3.492172202,46.9680597,0
1002,1641002,Alvaiázere,1.855,1.195427935,6.901605024,0
1003,1641003,Ansião,1.226,1.077224712,10.60083682,0.018802901
601,1640601,Arganil,2.922,0.934167676,4.764326648,0
1007,1641007,Castanheira de Pêra,2.741,1.403432529,1.844444444,0
1008,1641008,Figueiró dos Vinhos,3.801,0.665673541,1.85078534,0
606,1640606,Góis,0.067,2.052695668,30.89411765,0
607,1640607,Lousã,0.322,1.204939729,2.243902439,0.027882522
609,1640609,Miranda do Corvo,3.33,0.651132951,1.558610709,0
611,1640611,Oliveira do Hospital,0.01,1.13769639,1.388832829,0.032352871
612,1640612,Pampilhosa da Serra,3.033,0.459052028,1.088235294,0
1013,1641013,Pedrógão Grande,4.421,0.632734539,1.303278689,0
614,1640614,Penela,3.347,0.960515586,1.419098143,0
616,1640616,Tábua,3.387,1.117890711,1.4735363,0
617,1640617,Vila Nova de Poiares,4.185,0.776567916,2.260536398,0
901,1650901,Aguiar da Beira,0.962,1.560102906,17.77425809,0
1802,1651802,Carregal do Sal,0.054,1.001658028,11.95457771,0
1803,1651803,Castro Daire,0.977,1.528446864,10.0346952,0
1806,1651806,Mangualde,3.399,0.851807059,2.398456215,0
1808,1651808,Mortágua,0.099,2.329341817,18.64561404,0
1809,1651809,Nelas,0.721,0.609274308,7.032502709,0
1810,1651810,Oliveira de Frades,0.001,3.306858833,84.42108798,0
1811,1651811,Penalva do Castelo,3.54,0.517853568,2.756589147,0
1814,1651814,Santa Comba Dão,0.146,1.612349701,18.16233766,0.003474858
1816,1651816,São Pedro do Sul,0.131,2.222807655,24.71077655,0.063826022
1817,1651817,Sátão,0.062,1.224889075,17.22383194,0
1821,1651821,Tondela,0.137,1.479346846,29.95132427,0.008747485
1822,1651822,Vila Nova de Paiva,0,1.831020253,19.96816479,0
1823,1651823,Viseu,2.903,0.834110223,5.453406556,0.001913164
1824,1651824,Vouzela,0.025,2.347682541,32.66650149,0
1413,1661413,Mação,2.05,0.923976105,1.766378245,0
506,1660506,Oleiros,0,0.547699461,1.298407376,0
508,1660508,Proença-a-Nova,2.474,0.605591761,0.79,0
509,1660509,Sertã,0.908,0.961133388,7.172553796,0
510,1660510,Vila de Rei,0.4,0.64111045,8.244117647,0
905,1670905,Fornos de Algodres,3.123,0.6986434,2.54041652,0
906,1670906,Gouveia,0.861,0.658915868,1.441034898,0
912,1670912,Seia,1.878,0.91136541,0.813029076,0
902,1680902,Almeida,0.256,1.26252543,1.387376925,0.000497603
903,1680903,Celorico da Beira,1.256,0.849697811,0.585494717,0
904,1680904,Figueira de Castelo Rodrigo,1.372,0.667812309,0.371872774,1.65193e-05
907,1680907,Guarda,0.56,1.046530057,1.14879468,0.02976907
908,1680908,Manteigas,0.941,1.391119437,1.347222222,0
909,1680909,Mêda,2.325,0.48186314,0,0
910,1680910,Pinhel,0.882,0.961859161,0.965223375,0.000815445
911,1680911,Sabugal,0.353,1.533099381,0.494773693,0.00051259
913,1680913,Trancoso,2.193,0.818544936,1.423101124,0
502,1690502,Castelo Branco,0.979,0.747214165,0.425809661,0
505,1690505,Idanha-a-Nova,0.95,1.05144169,0.524864015,0
507,1690507,Penamacor,1.768,0.923516212,0.9089104,0
511,1690511,Vila Velha de Ródão,2.155,0.697435052,0.584056687,0
501,16A0501,Belmonte,2.112,0.809287563,0.996764408,0.000246166
503,16A0503,Covilhã,2.042,0.873994196,2.09710897,5.39506e-05
504,16A0504,Fundão,2.097,0.761033993,1.114266868,0.007204125
