Muni_ID,ID,Muni,fert99_nha,graz99_nha,manure_nha,sludge99_nha,housing99_nha,storage_nha,total_sum
1601,1111601,Arcos de Valdevez,0.987,1.962338831,1.342608696,0,2.591724138,1.137091454,8.020763119
1602,1111602,Caminha,0.004,0.973719376,11.10378619,0.061510234,16.23207127,6.688195991,35.063283061
1603,1111603,Melgaço,0.327,1.574809403,0.809879288,0.005201669,2.389930114,0.918996188,6.025816662
1604,1111604,Monção,1.414,2.226961484,2.157346648,0.009745891,4.709415121,1.808844508,12.326313652
1605,1111605,Paredes de Coura,2.503,1.609013956,6.041180508,0.008333138,6.486158774,2.480668039,19.128354415
1606,1111606,Ponte da Barca,0.454,0.878060089,0.528931751,0.004043907,2.725148368,1.147718843,5.737902958
1607,1111607,Ponte de Lima,2.545,1.29127842,10.09783824,0.006218267,10.82892285,4.182631383,28.95188916
1608,1111608,Valença,2.918,1.992337165,7.961685824,0.030175861,14.01819923,3.954022989,30.874421069
1609,1111609,Viana do Castelo,1.578,1.27580872,15.29029536,0.047766883,15.49451477,6.010267229,39.696652962
1610,1111610,Vila Nova de Cerveira,2.979,2.176531672,15.98961578,0.121652239,15.08307373,5.884735202,42.234608623
301,1120301,Amares,1.032,2.684680451,20.03524436,0,37.41541353,11.03618421,72.203522551
302,1120302,Barcelos,0.102,2.453453208,59.38724969,0.048601841,45.26236208,18.07813649,125.331803309
303,1120303,Braga,3.497,2.618019802,16.22693069,0.071805213,16.8970297,6.816831683,46.127617088
306,1120306,Esposende,1.523,1.781464531,41.3440122,0.070983862,36.57513349,14.59534706,95.889941143
310,1120310,Terras de Bouro,0.7,1.041115312,0.381734405,0.001398783,1.367438563,0.590028355,4.081715418
313,1120313,Vila Verde,4.105,3.554855196,6.972572402,0.001509059,9.178875639,3.587223169,27.400035465
307,1130307,Fafe,5.056,3.190292923,3.248877486,0.0153158,10.72952747,4.435963224,26.675976903
308,1130308,Guimarães,3.115,2.237695953,23.14290922,0.117501616,27.88771418,9.929274517,66.430095486
309,1130309,Póvoa de Lanhoso,4.788,3.133333333,9.214336918,0.001923302,10.10501792,3.782078853,31.024690326
1314,1131314,Santo Tirso,1.891,1.659022556,22.26503759,0.499219357,19.61954887,7.57443609,53.508264463
