Muni_ID,ID,Muni,fert09_nha,graz09_Nha,manure_nha,sludge09_nha,housing09_nha,storage_nha,total_sum
1601,1111601,Arcos de Valdevez,0.438,1.814477219,0.383753653,0,1.62495625,0.792816951,5.054004073
1602,1111602,Caminha,0,0.566142415,1.32746051,0.194138089,6.508006843,2.783920191,11.379668048
1603,1111603,Melgaço,0.012,0.450718518,0.133902593,0.009586992,0.629027438,0.310775725,1.546011266
1604,1111604,Monção,1.109,1.773605249,0.740479341,0.04649151,3.131028407,1.41635972,8.216964227
1605,1111605,Paredes de Coura,0.69,2.579796124,3.64522664,0.042688323,8.235820858,3.488947297,18.682479242
1606,1111606,Ponte da Barca,0.047,2.151789032,1.172062663,0.052697389,7.859360356,3.49258112,14.77549056
1607,1111607,Ponte de Lima,4.295,1.623740083,6.414385886,0.034930629,11.50045809,4.65471574,28.523230428
1608,1111608,Valença,2.518,1.449915106,3.316056542,0.105692778,5.938529443,2.256864634,15.585058503
1609,1111609,Viana do Castelo,3.249,1.44040895,8.246995617,0.222228472,10.2502819,4.226007146,27.634922085
1610,1111610,Vila Nova de Cerveira,2.639,1.452849837,5.776402039,0.394895976,6.608946108,2.701696788,19.573790748
301,1120301,Amares,0.2,2.434735476,27.60217842,0,47.50389373,12.27656136,90.017368986
302,1120302,Barcelos,10.79,3.433028549,55.48020027,0.250532159,44.81098271,16.47010071,131.234844398
303,1120303,Braga,11.117,3.617557061,16.2900515,0.454931019,18.88683565,7.324218625,57.690593855
306,1120306,Esposende,11.127,2.107308777,37.84425451,0.409016471,33.97131349,12.61986409,98.078757338
310,1120310,Terras de Bouro,0.216,0.967200193,0.222959033,0.00807456,2.389196568,1.10023199,4.903662344
313,1120313,Vila Verde,6.542,2.935827615,6.733346395,0.008032312,11.53154043,4.64347828,32.394225032
307,1130307,Fafe,0.505,2.9707202,2.449586777,0.109594441,27.26464848,11.65800003,44.957549928
308,1130308,Guimarães,8.428,2.48772806,17.07352257,0.694128829,23.56804066,7.85141409,60.102834209
309,1130309,Póvoa de Lanhoso,7.299,3.183360991,6.670929661,0.012215777,10.58028478,4.23235288,31.978144089
1314,1131314,Santo Tirso,6.864,1.80816508,18.6425943,2.826964559,16.8610755,6.284847798,53.287647237
1318,1131318,Trofa,8.64,2.99595424,66.34166146,0,58.06354939,22.46250259,158.50366768
311,1130311,Vieira do Minho,0.964,2.099989437,0.812943562,0.000799326,2.578561501,1.22226733,7.678561156
312,1130312,Vila Nova de Famalicão,9.08,2.756791525,43.94274451,1.446637637,35.56115167,13.12588171,105.913207052
314,1130314,Vizela,11.445,1.254625195,7.094562648,0,8.281330733,3.134139525,31.209658101
107,1140107,Espinho,0.81,3.008915674,52.34285714,10.75876362,41.26170737,15.33443935,123.516683154
1304,1141304,Gondomar,6.59,1.413635814,4.292662819,0.967281279,8.361073404,3.449020517,25.073673833
1306,1141306,Maia,10.092,2.868048135,42.02675974,1.442058514,33.46334367,12.5167281,102.408938159
1308,1141308,Matosinhos,11.051,2.836738737,50.51264167,1.092387465,37.97843577,13.75550131,117.226704952
1312,1141312,Porto,10.093,1.729108641,2.146341463,0,4.863866997,1.907489518,20.739806619
1313,1141313,Póvoa de Varzim,9.254,3.079738271,77.22098617,0,58.23430839,20.84200929,168.631042121
1315,1141315,Valongo,0.408,2.4194164,28.19330289,6.283621867,173.4796075,71.31581975,282.099768407
1316,1141316,Vila do Conde,10.436,3.492270912,84.65277322,0.002749317,61.65048107,21.98924112,182.223515639
1317,1141317,Vila Nova de Gaia,2.416,1.517284108,4.80699894,8.451756713,7.76705575,3.203007464,28.162102975
1301,1151301,Amarante,3.976,0.540363161,1.121513489,0.044309329,2.587959852,1.086819118,9.356964949
1302,1151302,Baião,2.628,0.8021148,0.70556701,0,2.755686464,1.166936814,8.058305088
304,1150304,Cabeceiras de Basto,1.575,2.099448889,1.524830297,0,5.23877882,2.258721508,12.696779514
106,1150106,Castelo de Paiva,8.137,1.802470979,2.268945022,0,7.136289011,3.024263784,22.368968796
