"Muni_ID","ID","Muni","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","bean","chickpea","other_pulses","other_industry","sunflower","horticulture_extensive","horticulture_intensive","potato","oat","maize","new_lu_kc"
1601,"1111601","Arcos de Valdevez",0.04,0,0,0,0,0.046536,0,0,0,0,0,0.0088,0.07616,0,0.64,0.811496
1602,"1111602","Caminha",0.024,0.007666666665,0,0,0,0.015512,0,0,0,0,0,0,0.03808,0,0.72,0.805258666665
1603,"1111603","Melgaço",0.008,0.06133333332,0,0,0,0.031024,0,0,0,0,0,0,0.08568,0,0.616,0.80203733332
1604,"1111604","Monção",0.048,0.01533333333,0,0,0,0.031024,0,0,0,0,0,0,0.0476,0,0.656,0.79795733333
1605,"1111605","Paredes de Coura",0.328,0,0.007,0,0,0.015512,0,0,0,0,0,0,0.08568,0,0.368,0.804192
1606,"1111606","Ponte da Barca",0.04,0,0,0,0,0.054292,0,0,0,0,0,0.0264,0.10472,0,0.592,0.817412
1607,"1111607","Ponte de Lima",0.248,0,0,0,0,0.015512,0,0,0,0,0,0.0088,0.00952,0,0.52,0.801832
1608,"1111608","Valença",0.12,0,0,0,0,0.007756,0,0,0,0,0,0.0088,0.02856,0,0.632,0.797116
1609,"1111609","Viana do Castelo",0.296,0.007666666665,0,0,0,0,0,0,0,0,0,0.0176,0.00952,0,0.464,0.794786666665
1610,"1111610","Vila Nova de Cerveira",0.352,0,0,0,0,0.015512,0,0,0,0,0,0,0.01904,0,0.416,0.802552
301,"1120301","Amares",0.24,0,0,0,0,0.007756,0,0,0,0,0.0264,0.0176,0,0,0.512,0.803756
302,"1120302","Barcelos",0.696,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0.088,0.7928
303,"1120303","Braga",0.384,0.007666666665,0.007,0,0,0,0,0,0,0,0.0088,0.0088,0.01904,0,0.368,0.803306666665
306,"1120306","Esposende",0.48,0,0,0,0,0,0,0,0,0,0.0352,0.2024,0.00952,0,0.096,0.82312
310,"1120310","Terras de Bouro",0.024,0,0,0,0,0.046536,0,0,0,0,0,0.0088,0.01904,0,0.712,0.810376
313,"1120313","Vila Verde",0.264,0.01533333333,0,0,0,0.015512,0,0,0,0,0,0.0088,0.02856,0,0.472,0.80420533333
307,"1130307","Fafe",0.136,0.022999999995,0,0,0,0.031024,0,0,0,0,0,0.0088,0.05712,0,0.552,0.807943999995
308,"1130308","Guimarães",0.352,0,0,0,0,0,0,0,0,0,0.0088,0.0528,0.01904,0,0.368,0.80064
309,"1130309","Póvoa de Lanhoso",0.28,0.01533333333,0.007,0,0,0.015512,0,0,0,0,0,0,0.00952,0,0.464,0.79136533333
1314,"1131314","Santo Tirso",0.368,0.007666666665,0,0,0,0.007756,0,0,0,0,0,0.044,0.06664,0,0.328,0.822062666665
1318,"1131318","Trofa",0.648,0,0,0,0,0,0,0,0,0,0,0.0264,0.01904,0,0.096,0.78944
311,"1130311","Vieira do Minho",0.176,0.01533333333,0,0,0,0.046536,0,0,0,0,0,0,0.0476,0,0.512,0.79746933333
312,"1130312","Vila Nova de Famalicão",0.624,0,0,0,0,0,0,0,0,0,0.0088,0.0176,0.00952,0,0.152,0.81192
314,"1130314","Vizela",0.224,0,0.028,0,0,0,0,0,0,0,0.0088,0.0264,0,0,0.504,0.7912
107,"1140107","Espinho",0.016,0.375666666585,0,0,0,0.015512,0,0,0,0,0,0.044,0.0476,0,0.296,0.794778666585
1304,"1141304","Gondomar",0.136,0.007666666665,0.007,0,0,0.007756,0,0,0,0,0.0088,0.1936,0.13328,0,0.344,0.838102666665
1306,"1141306","Maia",0.584,0,0,0,0,0,0,0,0,0,0,0.044,0.06664,0,0.112,0.80664
1308,"1141308","Matosinhos",0.672,0,0,0,0,0,0,0,0,0,0,0.044,0.02856,0,0.064,0.80856
1312,"1141312","Porto",0.472,0,0,0,0,0,0,0,0,0,0,0.1232,0,0,0.216,0.8112
1313,"1141313","Póvoa de Varzim",0.592,0,0,0,0,0,0,0,0,0,0.044,0.1584,0.00952,0,0.024,0.82792
1315,"1141315","Valongo",0.208,0.007666666665,0,0,0,0,0,0,0,0,0,0.0352,0.10472,0,0.464,0.819586666665
1316,"1141316","Vila do Conde",0.76,0,0,0,0,0,0,0,0,0,0,0.0088,0.00952,0,0.024,0.80232
1317,"1141317","Vila Nova de Gaia",0.128,0,0.007,0,0,0.015512,0,0,0,0,0,0.1936,0.03808,0,0.44,0.822192
1301,"1151301","Amarante",0.12,0,0.014,0,0,0.054292,0,0,0,0,0.0088,0.0088,0.01904,0,0.584,0.808932
1302,"1151302","Baião",0.056,0.007666666665,0.021,0,0,0.108584,0,0,0,0,0.0088,0.0088,0.01904,0,0.576,0.805890666665
304,"1150304","Cabeceiras de Basto",0.192,0.007666666665,0,0,0,0.015512,0,0,0,0,0,0,0.03808,0,0.552,0.805258666665
106,"1150106","Castelo de Paiva",0.2,0,0.007,0,0,0.054292,0,0,0,0,0,0,0.00952,0.014,0.496,0.780812
