"Muni_ID","ID","Muni","forage_maize","forage_mixture","forage_oat","forage_roots","forage_sorghum","bean","chickpea","other_pulses","other_industry","sunflower","horticulture_extensive","horticulture_intensive","potato","oat","maize","new_lu_kc"
1601,"1111601","Arcos de Valdevez",0.04,0,0,0,0,0.046536,0,0,0,0,0,0,0.07616,0,0.64,0.802696
1602,"1111602","Caminha",0.024,0.007666666665,0,0,0,0.015512,0,0,0,0,0,0,0.03808,0,0.72,0.805258666665
1603,"1111603","Melgaço",0.008,0.06133333332,0,0,0,0.031024,0,0,0,0,0,0,0.08568,0,0.616,0.80203733332
1604,"1111604","Monção",0.056,0.022999999995,0,0,0,0.03878,0,0,0,0,0,0,0.05712,0,0.64,0.814899999995
1605,"1111605","Paredes de Coura",0.304,0,0.007,0,0,0.015512,0,0,0,0,0,0,0.0952,0,0.392,0.813712
1606,"1111606","Ponte da Barca",0.048,0,0,0,0,0.069804,0,0,0,0,0,0,0.0952,0,0.6,0.813004
1607,"1111607","Ponte de Lima",0.168,0,0,0,0,0.023268,0,0,0,0,0,0.0088,0.00952,0,0.584,0.793588
1608,"1111608","Valença",0.12,0,0,0,0,0.007756,0,0,0,0,0,0,0.02856,0,0.632,0.788316
1609,"1111609","Viana do Castelo",0.184,0.007666666665,0,0,0,0,0,0,0,0,0,0.0088,0.00952,0,0.592,0.801986666665
1610,"1111610","Vila Nova de Cerveira",0.224,0.007666666665,0,0,0,0.023268,0,0,0,0,0,0,0.02856,0,0.528,0.811494666665
301,"1120301","Amares",0.152,0.007666666665,0,0,0,0.007756,0,0,0,0,0.0088,0.0264,0.00952,0,0.6,0.812142666665
302,"1120302","Barcelos",0.336,0,0,0,0,0.007756,0,0,0,0,0.0176,0.0352,0.01904,0,0.4,0.815596
303,"1120303","Braga",0.128,0.007666666665,0.007,0,0,0,0,0,0,0,0.0176,0.0176,0.02856,0,0.608,0.814426666665
306,"1120306","Esposende",0.152,0,0,0,0,0,0,0,0,0,0.0616,0.3784,0.01904,0,0.232,0.84304
310,"1120310","Terras de Bouro",0.024,0,0,0,0,0.046536,0,0,0,0,0,0,0.01904,0,0.72,0.809576
313,"1120313","Vila Verde",0.144,0.01533333333,0.007,0,0,0.023268,0,0,0,0,0,0.0088,0.03808,0,0.584,0.82048133333
