"Muni_ID","ID","Muni","Ninputs","Noutputs","GNB"
1601,"1111601","Arcos de Valdevez",125.47,97.21,28.26
1602,"1111602","Caminha",141.47,106.09,35.38
1603,"1111603","Melgaço",123.68,100.95,22.73
1604,"1111604","Monção",136.58,101.36,35.22
1605,"1111605","Paredes de Coura",144.07,83.42,60.65
1606,"1111606","Ponte da Barca",124.8,92.68,32.11
1607,"1111607","Ponte de Lima",155.72,102.27,53.46
1608,"1111608","Valença",138.73,100.91,37.82
1609,"1111609","Viana do Castelo",211.03,96.19,114.84
1610,"1111610","Vila Nova de Cerveira",180.02,100.39,79.63
301,"1120301","Amares",150.36,106.85,43.51
302,"1120302","Barcelos",191.19,182.25,8.94
303,"1120303","Braga",216.16,114.24,101.93
306,"1120306","Esposende",249.52,131.38,118.13
310,"1120310","Terras de Bouro",129.1,103.63,25.47
313,"1120313","Vila Verde",155.82,102.57,53.25
307,"1130307","Fafe",160.89,96.65,64.24
308,"1130308","Guimarães",196.88,102.41,94.46
309,"1130309","Póvoa de Lanhoso",171.24,106.95,64.29
1314,"1131314","Santo Tirso",179.27,104.22,75.05
1318,"1131318","Trofa",189,109.87,79.13
311,"1130311","Vieira do Minho",133.49,87.33,46.15
312,"1130312","Vila Nova de Famalicão",165.08,143.68,21.4
314,"1130314","Vizela",330.27,101.82,228.44
107,"1140107","Espinho",241.74,121.94,119.8
1304,"1141304","Gondomar",218.61,76.65,141.96
1306,"1141306","Maia",131.43,79.12,52.31
1308,"1141308","Matosinhos",160.28,83.37,76.91
1312,"1141312","Porto",379.45,64.63,314.82
1313,"1141313","Póvoa de Varzim",342.98,100.88,242.1
1315,"1141315","Valongo",132.17,91.74,40.43
1316,"1141316","Vila do Conde",225.71,91.09,134.62
1317,"1141317","Vila Nova de Gaia",259.69,95.78,163.91
1301,"1151301","Amarante",266.05,93.7,172.34
1302,"1151302","Baião",157.76,92.17,65.58
304,"1150304","Cabeceiras de Basto",145.38,93.94,51.45
106,"1150106","Castelo de Paiva",220.55,96.45,124.1
305,"1150305","Celorico de Basto",246.87,100.69,146.19
1804,"1151804","Cinfães",252.65,95.36,157.29
1303,"1151303","Felgueiras",143.72,111.32,32.4
1305,"1151305","Lousada",296.24,102.22,194.02
1307,"1151307","Marco de Canaveses",266.69,99.04,167.65
