"Muni_ID","ID","Muni","Ninputs","Noutputs","GNB"
1601,"1111601","Arcos de Valdevez",91092.59,70577.99,20514.6
1602,"1111602","Caminha",20371.32,15276.5,5094.82
1603,"1111603","Melgaço",17068.1,13931.1,3137
1604,"1111604","Monção",85362.89,63349.63,22013.26
1605,"1111605","Paredes de Coura",68145.19,39457.66,28687.53
1606,"1111606","Ponte da Barca",45301.49,33643.89,11657.6
1607,"1111607","Ponte de Lima",258812.43,169969.17,88843.26
1608,"1111608","Valença",51051.74,37135.06,13916.68
1609,"1111609","Viana do Castelo",122398.23,55792.44,66605.79
1610,"1111610","Vila Nova de Cerveira",26823.63,14958.57,11865.06
301,"1120301","Amares",67512.88,47977.2,19535.68
302,"1120302","Barcelos",247013.9,235467.76,11546.14
303,"1120303","Braga",260692.93,137768.61,122924.32
306,"1120306","Esposende",20959.29,11036.3,9922.99
310,"1120310","Terras de Bouro",33177.94,26632.75,6545.19
313,"1120313","Vila Verde",210985.82,138878.87,72106.95
307,"1130307","Fafe",161856.22,97229.32,64626.9
308,"1130308","Guimarães",267753.98,139281.63,128472.35
309,"1130309","Póvoa de Lanhoso",107540.34,67164.63,40375.71
1314,"1131314","Santo Tirso",90710.25,52735.2,37975.05
1318,"1131318","Trofa",9827.98,5713.12,4114.86
311,"1130311","Vieira do Minho",49523.28,32399.91,17123.37
312,"1130312","Vila Nova de Famalicão",64712.94,56323.07,8389.87
314,"1130314","Vizela",60108.33,18531.75,41576.58
107,"1140107","Espinho",5076.54,2560.64,2515.9
1304,"1141304","Gondomar",103183.28,36178.55,67004.73
1306,"1141306","Maia",17743.26,10681.36,7061.9
1308,"1141308","Matosinhos",8975.9,4668.78,4307.12
1312,"1141312","Porto",2276.68,387.77,1888.91
1313,"1141313","Póvoa de Varzim",6516.59,1916.66,4599.93
1315,"1141315","Valongo",31457.11,21835.02,9622.09
1316,"1141316","Vila do Conde",2031.37,819.81,1211.56
1317,"1141317","Vila Nova de Gaia",67520.21,24904,42616.21
1301,"1151301","Amarante",378849.81,133434.12,245415.69
1302,"1151302","Baião",96390.67,56318.47,40072.2
304,"1150304","Cabeceiras de Basto",91155.01,58897.33,32257.68
106,"1150106","Castelo de Paiva",78736.71,34431.81,44304.9
305,"1150305","Celorico de Basto",255759.22,104309.75,151449.47
1804,"1151804","Cinfães",211721.32,79909.89,131811.43
1303,"1151303","Felgueiras",161399.72,125013.87,36385.85
1305,"1151305","Lousada",276984.87,95577.47,181407.4
1307,"1151307","Marco de Canaveses",213886.9,79428.04,134458.86
1705,"1151705","Mondim de Basto",106623.53,38520.73,68102.8
1309,"1151309","Paços de Ferreira",67470.84,34044.3,33426.54
1310,"1151310","Paredes",175192.78,79810.25,95382.53
1311,"1151311","Penafiel",383605.22,138384.02,245221.2
1813,"1151813","Resende",41738.54,27324.98,14413.56
1709,"1151709","Ribeira de Pena",133216.52,43534.92,89681.6
104,"1160104","Arouca",136432.92,78169.89,58263.03
113,"1160113","Oliveira de Azeméis",43797.87,44490.4,-692.53
109,"1160109","Santa Maria da Feira",58580.85,47213.62,11367.23
116,"1160116","São João da Madeira",0,0,0
119,"1160119","Vale de Cambra",53630.53,40136.94,13493.59
1701,"1171701","Alijó",3524.02,1470.04,2053.98
1801,"1171801","Armamar",1597.93,1151.52,446.41
403,"1170403","Carrazeda de Ansiães",5888.83,2809.14,3079.69
404,"1170404","Freixo de Espada à Cinta",461.11,209.7,251.41
1805,"1171805","Lamego",8151.43,3062.54,5088.89
1704,"1171704","Mesão Frio",0,0,0
1807,"1171807","Moimenta da Beira",18154.86,10326.51,7828.35
1812,"1171812","Penedono",3909.58,2057.36,1852.22
1708,"1171708","Peso da Régua",392.94,46.76,346.18
1710,"1171710","Sabrosa",7424.17,3530.71,3893.46
1711,"1171711","Santa Marta de Penaguião",229.62,110.32,119.3
1815,"1171815","São João da Pesqueira",1360.3,634.8,725.5
1818,"1171818","Sernancelhe",11860.25,4914.01,6946.24
1819,"1171819","Tabuaço",8522.48,3763.16,4759.32
1820,"1171820","Tarouca",7314.7,5397.52,1917.18
409,"1170409","Torre de Moncorvo",1308.12,281.99,1026.13
410,"1170410","Vila Flor",9095.53,359.47,8736.06
914,"1170914","Vila Nova de Foz Côa",1631.54,776.57,854.97
1714,"1171714","Vila Real",63678.05,32137.59,31540.46
401,"1180401","Alfândega da Fé",364.51,26.19,338.32
1702,"1181702","Boticas",48515.34,21904.25,26611.09
402,"1180402","Bragança",17286.35,6666.37,10619.98
