"Muni_ID","ID","Muni","Ewes","Other_ovine"
1601,"1111601","Arcos de Valdevez",10333,3378
1602,"1111602","Caminha",1784,1471
1603,"1111603","Melgaço",5784,2177
1604,"1111604","Monção",13773,4054
1605,"1111605","Paredes de Coura",8897,1882
1606,"1111606","Ponte da Barca",1727,352
1607,"1111607","Ponte de Lima",8646,2803
1608,"1111608","Valença",4200,1375
1609,"1111609","Viana do Castelo",3394,1062
1610,"1111610","Vila Nova de Cerveira",1999,867
301,"1120301","Amares",1929,404
302,"1120302","Barcelos",2861,1070
303,"1120303","Braga",2544,433
306,"1120306","Esposende",463,204
310,"1120310","Terras de Bouro",720,153
313,"1120313","Vila Verde",8123,1548
307,"1130307","Fafe",4530,978
308,"1130308","Guimarães",1441,193
309,"1130309","Póvoa de Lanhoso",2342,455
1314,"1131314","Santo Tirso",1947,749
1318,"1131318","Trofa",502,183
311,"1130311","Vieira do Minho",4430,967
312,"1130312","Vila Nova de Famalicão",1024,351
314,"1130314","Vizela",118,24
107,"1140107","Espinho",32,3
1304,"1141304","Gondomar",1711,477
1306,"1141306","Maia",687,240
1308,"1141308","Matosinhos",403,212
1312,"1141312","Porto",35,11
1313,"1141313","Póvoa de Varzim",291,36
1315,"1141315","Valongo",679,95
1316,"1141316","Vila do Conde",890,259
1317,"1141317","Vila Nova de Gaia",1123,288
1301,"1151301","Amarante",4590,1512
1302,"1151302","Baião",5260,3016
304,"1150304","Cabeceiras de Basto",5143,765
106,"1150106","Castelo de Paiva",3228,1638
305,"1150305","Celorico de Basto",3719,743
1804,"1151804","Cinfães",7622,3629
1303,"1151303","Felgueiras",559,144
1305,"1151305","Lousada",1155,242
1307,"1151307","Marco de Canaveses",4990,1951
1705,"1151705","Mondim de Basto",577,164
1309,"1151309","Paços de Ferreira",1544,957
1310,"1151310","Paredes",2391,536
1311,"1151311","Penafiel",2918,365
1813,"1151813","Resende",2022,874
1709,"1151709","Ribeira de Pena",975,242
104,"1160104","Arouca",3569,1485
113,"1160113","Oliveira de Azeméis",613,321
109,"1160109","Santa Maria da Feira",1506,613
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",1408,559
1701,"1171701","Alijó",2266,179
1801,"1171801","Armamar",739,70
403,"1170403","Carrazeda de Ansiães",6306,341
404,"1170404","Freixo de Espada à Cinta",7298,487
1805,"1171805","Lamego",3019,551
1704,"1171704","Mesão Frio",27,6
1807,"1171807","Moimenta da Beira",3735,574
1812,"1171812","Penedono",3626,479
1708,"1171708","Peso da Régua",787,63
1710,"1171710","Sabrosa",1242,130
1711,"1171711","Santa Marta de Penaguião",611,95
1815,"1171815","São João da Pesqueira",2804,288
1818,"1171818","Sernancelhe",3876,465
1819,"1171819","Tabuaço",1681,186
1820,"1171820","Tarouca",809,166
409,"1170409","Torre de Moncorvo",18674,1528
410,"1170410","Vila Flor",7595,997
