"Muni_ID","ID","Muni","Dairy_cows","Non_dairy","Male_calf<1","Female_calf<1","Male_calf_1-2","Female_calf_1-2","Heifer_beef_+2","Heifer_rep_+2","Male_calf_+2"
1601,"1111601","Arcos de Valdevez",393,0,4140,7087,2045,10241,93,2022,5026
1602,"1111602","Caminha",6445,0,592,327,1031,1521,232,232,302
1603,"1111603","Melgaço",0,0,834,570,254,1098,0,139,330
1604,"1111604","Monção",865,0,1246,803,490,1065,209,1046,467
1605,"1111605","Paredes de Coura",33954,0,1215,3570,879,4394,1069,3369,769
1606,"1111606","Ponte da Barca",7860,0,254,1447,220,1589,418,1789,439
1607,"1111607","Ponte de Lima",141946,0,5714,8070,6963,17238,1185,4601,1895
1608,"1111608","Valença",11947,0,201,1056,1268,760,46,976,467
1609,"1111609","Viana do Castelo",104691,0,3169,6855,12422,11593,976,3230,3872
1610,"1111610","Vila Nova de Cerveira",21693,0,1077,993,794,2079,139,93,82
301,"1120301","Amares",20121,0,2926,1035,34,1690,93,93,302
302,"1120302","Barcelos",1785406,0,36250,81712,46120,134879,3718,35437,8953
303,"1120303","Braga",163167,0,9728,8746,9380,18421,813,3184,3158
306,"1120306","Esposende",230053,0,2873,9813,9582,16613,279,1975,1867
310,"1120310","Terras de Bouro",0,0,1785,930,68,1352,23,697,384
313,"1120313","Vila Verde",81269,0,4510,4679,2383,7453,1278,4345,906
307,"1130307","Fafe",10218,0,7605,1595,456,1014,23,256,330
308,"1130308","Guimarães",127406,0,8566,6676,4884,12084,790,1441,3241
309,"1130309","Póvoa de Lanhoso",29002,0,3697,1764,270,2383,93,209,412
1314,"1131314","Santo Tirso",108149,0,275,6000,6185,7182,232,1696,934
1318,"1131318","Trofa",249702,0,5461,11640,5983,16866,1069,7506,851
311,"1130311","Vieira do Minho",5738,0,5176,1637,237,3414,0,418,1071
312,"1130312","Vila Nova de Famalicão",639543,0,12791,26047,12269,48740,488,18753,6344
314,"1130314","Vizela",7860,0,401,422,203,372,0,0,220
107,"1140107","Espinho",10532,0,11,592,0,2011,0,0,0
1304,"1141304","Gondomar",8960,0,1806,518,9396,727,139,581,165
1306,"1141306","Maia",201208,0,1690,10056,9836,13638,70,10387,1263
1308,"1141308","Matosinhos",169691,0,3422,8429,6388,10850,93,2998,604
1312,"1141312","Porto",0,0,317,0,287,0,0,0,0
1313,"1141313","Póvoa de Varzim",750207,0,6264,31994,7571,52914,395,17707,906
1315,"1141315","Valongo",42207,0,961,2091,6912,1656,0,1255,302
1316,"1141316","Vila do Conde",1555511,0,9073,70410,12810,114481,442,26677,1373
1317,"1141317","Vila Nova de Gaia",8960,0,1965,317,1876,828,232,139,906
1301,"1151301","Amarante",14305,0,2060,1584,6422,2282,325,999,961
1302,"1151302","Baião",157,0,2387,327,659,676,93,1046,275
304,"1150304","Cabeceiras de Basto",1965,0,10013,687,203,2620,23,418,1620
106,"1150106","Castelo de Paiva",1965,0,2862,222,1555,1521,46,558,577
305,"1150305","Celorico de Basto",18234,0,5355,1669,2687,2974,70,2626,412
1804,"1151804","Cinfães",157,0,3898,2282,456,1656,70,2486,741
1303,"1151303","Felgueiras",47080,0,8207,2186,4580,5628,395,2788,1730
1305,"1151305","Lousada",31989,0,7098,1722,11154,3600,163,1348,2472
1307,"1151307","Marco de Canaveses",2437,0,1732,507,2129,490,349,1371,632
1705,"1151705","Mondim de Basto",79,0,3486,1014,1369,1639,0,1139,604
1309,"1151309","Paços de Ferreira",44407,0,264,2556,3397,3921,116,604,494
1310,"1151310","Paredes",24758,0,2123,1796,12455,2788,604,511,2389
1311,"1151311","Penafiel",47394,0,1944,1891,6168,3617,279,1998,6371
1813,"1151813","Resende",5816,0,444,687,101,879,0,488,302
1709,"1151709","Ribeira de Pena",16112,0,8249,1922,642,4039,0,2928,851
104,"1160104","Arouca",136523,0,4088,7911,5273,11948,349,4903,1346
113,"1160113","Oliveira de Azeméis",256304,0,2715,11027,9481,17644,511,4322,1456
109,"1160109","Santa Maria da Feira",59655,0,1606,4426,5357,5645,1325,1534,769
116,"1160116","São João da Madeira",0,0,0,0,0,0,0,0,0
119,"1160119","Vale de Cambra",25230,0,3908,961,693,1639,256,488,357
1701,"1171701","Alijó",629,0,454,412,118,422,0,4903,275
1801,"1171801","Armamar",0,0,74,0,0,0,46,0,27
403,"1170403","Carrazeda de Ansiães",1100,0,803,95,203,507,23,976,82
404,"1170404","Freixo de Espada à Cinta",79,0,708,0,17,237,0,534,0
1805,"1171805","Lamego",0,0,444,158,118,439,232,232,165
1704,"1171704","Mesão Frio",0,0,0,0,0,0,0,0,0
1807,"1171807","Moimenta da Beira",74195,0,1120,2862,1352,5509,627,7854,659
1812,"1171812","Penedono",11161,0,201,465,220,372,0,209,110
1708,"1171708","Peso da Régua",79,0,63,0,17,0,0,0,0
1710,"1171710","Sabrosa",11554,0,338,243,34,1487,46,1836,137
1711,"1171711","Santa Marta de Penaguião",236,0,63,0,0,0,0,0,0
1815,"1171815","São João da Pesqueira",79,0,11,32,51,0,0,1046,27
1818,"1171818","Sernancelhe",19806,0,549,697,220,1589,442,1882,110
1819,"1171819","Tabuaço",0,0,264,11,17,51,0,627,27
1820,"1171820","Tarouca",17449,0,264,792,287,980,23,1092,220
409,"1170409","Torre de Moncorvo",0,0,84,0,0,51,0,23,0
410,"1170410","Vila Flor",236,0,866,21,862,321,790,139,55
914,"1170914","Vila Nova de Foz Côa",157,0,0,0,101,135,23,0,0
1714,"1171714","Vila Real",29788,0,8978,3475,1555,8551,2603,9249,1922
401,"1180401","Alfândega da Fé",1808,0,475,338,101,946,1162,2231,412
1702,"1181702","Boticas",8331,0,11059,665,389,1048,23,10480,2142
402,"1180402","Bragança",15248,0,10932,2450,946,5830,953,17614,3543
1703,"1181703","Chaves",143675,0,8313,6095,1369,13334,581,7831,1291
405,"1180405","Macedo de Cavaleiros",10375,0,9443,1542,760,8636,4438,10852,2911
406,"1180406","Miranda do Douro",49909,0,13045,2556,254,7520,23,7273,1758
407,"1180407","Mirandela",6209,0,1669,592,406,2805,349,418,275
408,"1180408","Mogadouro",256462,0,6876,10298,997,15193,1348,5554,1510
1706,"1181706","Montalegre",26566,0,33314,2884,1149,11492,999,25887,7195
1707,"1181707","Murça",5738,0,834,148,203,355,0,744,82
1712,"1181712","Valpaços",20357,0,3422,1194,930,2011,209,3764,357
1713,"1181713","Vila Pouca de Aguiar",96124,0,10573,4489,794,9734,325,4299,1428
411,"1180411","Vimioso",8724,0,6190,750,203,2822,256,19822,1675
412,"1180412","Vinhais",8253,0,10710,687,254,3464,186,8946,1456
101,"1610101","Águeda",63340,0,1986,2947,1707,6473,325,2347,549
102,"1610102","Albergaria-a-Velha",78633,0,5408,4859,5391,8264,418,7273,577
103,"1610103","Anadia",18925,0,940,422,811,355,46,1929,192
105,"1610105","Aveiro",50277,0,2007,3031,3481,5864,116,2138,549
108,"1610108","Estarreja",257564,0,2905,13446,10495,25722,1510,8551,3707
110,"1610110","Ílhavo",15930,0,1774,1077,1707,1369,23,488,412
111,"1610111","Mealhada",28866,0,549,1341,372,3363,2231,186,220
112,"1610112","Murtosa",152550,0,6232,8799,2028,11154,23,8691,384
114,"1610114","Oliveira do Bairro",38679,0,21,2239,1470,3431,93,349,1236
115,"1610115","Ovar",200214,0,1077,10584,12033,15869,93,3579,1867
117,"1610117","Sever do Vouga",13190,0,1722,570,507,507,23,534,110
118,"1610118","Vagos",107435,0,6211,5830,4749,10816,697,2277,439
602,"1620602","Cantanhede",197347,0,4151,11777,7960,17745,790,5763,1126
603,"1620603","Coimbra",20264,0,708,803,777,1470,1743,1510,549
604,"1620604","Condeixa-a-Nova",5034,0,264,169,524,304,70,302,165
605,"1620605","Figueira da Foz",142036,0,2482,7996,4952,11729,534,6390,989
608,"1620608","Mira",65506,0,1014,3549,727,6354,46,1696,55
610,"1620610","Montemor-o-Velho",284263,0,13034,16425,5121,23829,3927,10829,3021
613,"1620613","Penacova",0,0,687,11,490,118,0,23,82
615,"1620615","Soure",10004,0,380,1172,592,3650,70,2626,165
1004,"1631004","Batalha",1720,0,634,222,1707,710,139,325,27
1009,"1631009","Leiria",74555,0,3359,6559,7926,9430,534,10503,2527
1010,"1631010","Marinha Grande",0,0,190,42,220,84,0,93,55
1015,"1631015","Pombal",32434,0,5271,1827,6405,3836,860,1510,1263
1016,"1631016","Porto de Mós",68820,0,380,6570,3194,7977,139,3021,1840
1002,"1641002","Alvaiázere",191,0,729,11,422,220,93,442,110
1003,"1641003","Ansião",64,0,845,21,2011,406,46,837,220
