"Muni_ID","ID","Muni","Rabbits","Other_rabbits"
1601,"1111601","Arcos de Valdevez",22797,52137
1602,"1111602","Caminha",51012,45207
1603,"1111603","Melgaço",9540,16281
1604,"1111604","Monção",25722,42255
1605,"1111605","Paredes de Coura",20205,89091
1606,"1111606","Ponte da Barca",19350,120798
1607,"1111607","Ponte de Lima",53721,259191
1608,"1111608","Valença",9180,17055
1609,"1111609","Viana do Castelo",19431,56808
1610,"1111610","Vila Nova de Cerveira",3078,7911
301,"1120301","Amares",10404,33696
302,"1120302","Barcelos",58383,235143
303,"1120303","Braga",30699,95130
306,"1120306","Esposende",15516,60327
310,"1120310","Terras de Bouro",9108,65277
313,"1120313","Vila Verde",31032,129564
307,"1130307","Fafe",52515,381915
308,"1130308","Guimarães",25380,72900
309,"1130309","Póvoa de Lanhoso",12105,38556
1314,"1131314","Santo Tirso",6705,22734
1318,"1131318","Trofa",4725,17469
311,"1130311","Vieira do Minho",10215,29718
312,"1130312","Vila Nova de Famalicão",16893,65727
314,"1130314","Vizela",2439,3573
107,"1140107","Espinho",216,1224
1304,"1141304","Gondomar",6660,19269
1306,"1141306","Maia",4095,14013
1308,"1141308","Matosinhos",2979,9297
1312,"1141312","Porto",171,99
1313,"1141313","Póvoa de Varzim",11106,31302
1315,"1141315","Valongo",39312,514143
1316,"1141316","Vila do Conde",14301,27792
1317,"1141317","Vila Nova de Gaia",4869,10827
1301,"1151301","Amarante",17550,49410
1302,"1151302","Baião",12546,35325
304,"1150304","Cabeceiras de Basto",23508,76275
106,"1150106","Castelo de Paiva",8442,23598
305,"1150305","Celorico de Basto",15201,32868
1804,"1151804","Cinfães",11439,29088
1303,"1151303","Felgueiras",17235,39546
1305,"1151305","Lousada",6066,20646
1307,"1151307","Marco de Canaveses",9504,20970
1705,"1151705","Mondim de Basto",6237,18927
1309,"1151309","Paços de Ferreira",4500,17028
1310,"1151310","Paredes",14373,32652
1311,"1151311","Penafiel",8739,31815
1813,"1151813","Resende",7668,17082
1709,"1151709","Ribeira de Pena",8730,29844
104,"1160104","Arouca",8478,25524
113,"1160113","Oliveira de Azeméis",5715,18900
109,"1160109","Santa Maria da Feira",6408,21690
116,"1160116","São João da Madeira",198,738
119,"1160119","Vale de Cambra",6183,17919
1701,"1171701","Alijó",2952,12276
1801,"1171801","Armamar",3258,5499
403,"1170403","Carrazeda de Ansiães",2853,8955
404,"1170404","Freixo de Espada à Cinta",2187,1620
1805,"1171805","Lamego",4806,10908
1704,"1171704","Mesão Frio",108,1638
1807,"1171807","Moimenta da Beira",21123,15768
1812,"1171812","Penedono",1692,5022
1708,"1171708","Peso da Régua",1926,6615
1710,"1171710","Sabrosa",26406,230580
1711,"1171711","Santa Marta de Penaguião",1188,4995
