agrarian_region_id,agrarian_region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Entre Douro e Minho,1,824,824,813,813,804,854,646,646,0,0,661,676,724,689,680,497,569,507,500,500,500,444,500,625,778,980,896,764,442,470,267,473,515
Trás-os-Montes,2,927,779,536,579,613,609,513,543,528,562,756,757,687,574,779,751,811,576,714,842,657,728,888,615,963,930,1255,1133,751,833,459,832,901
Beira Litoral,3,871,922,905,898,909,922,809,1220,1196,1139,1160,1160,1179,892,1058,1062,1071,1010,1010,1007,730,735,906,902,1221,1482,1931,1697,1215,1300,1088,1230,1331
Beira Interior,4,1063,980,1062,1004,1139,1171,839,1391,1307,1079,1191,1114,1017,216,759,848,1074,541,804,826,459,541,708,675,760,900,726,1036,699,779,484,685,741
Ribatejo e Oeste,5,3910,2865,3220,2432,2602,2315,1364,1446,1161,1699,2298,3068,3203,2488,1929,1736,1969,1579,1777,1856,1600,1260,1800,1211,1973,2045,2054,1953,1220,867,649,1230,1333
Alentejo,6,2902,2384,2228,2101,2226,1741,1144,1247,1557,1817,2369,1823,2348,596,1784,1095,2009,1035,1764,1108,870,870,1566,1066,1861,1638,856,2026,1230,1351,878,1178,1277
Algarve,7,1202,1195,1174,1151,1173,1201,648,1272,1211,1200,1209,1248,1115,262,683,629,900,961,915,915,218,200,458,246,430,400,269,622,588,647,438,482,523
