Muni_ID,ID,Muni
1601,1111601,Arcos de Valdevez
1602,1111602,Caminha
1603,1111603,Melgaço
1604,1111604,Monção
1605,1111605,Paredes de Coura
1606,1111606,Ponte da Barca
1607,1111607,Ponte de Lima
1608,1111608,Valença
1609,1111609,Viana do Castelo
1610,1111610,Vila Nova de Cerveira
301,1120301,Amares
302,1120302,Barcelos
303,1120303,Braga
306,1120306,Esposende
310,1120310,Terras de Bouro
313,1120313,Vila Verde
307,1130307,Fafe
308,1130308,Guimarães
309,1130309,Póvoa de Lanhoso
1314,1131314,Santo Tirso
1318,1131318,Trofa
311,1130311,Vieira do Minho
312,1130312,Vila Nova de Famalicão
314,1130314,Vizela
107,1140107,Espinho
1304,1141304,Gondomar
1306,1141306,Maia
1308,1141308,Matosinhos
1312,1141312,Porto
1313,1141313,Póvoa de Varzim
1315,1141315,Valongo
1316,1141316,Vila do Conde
1317,1141317,Vila Nova de Gaia
1301,1151301,Amarante
1302,1151302,Baião
304,1150304,Cabeceiras de Basto
106,1150106,Castelo de Paiva
305,1150305,Celorico de Basto
1804,1151804,Cinfães
1303,1151303,Felgueiras
1305,1151305,Lousada
1307,1151307,Marco de Canaveses
1705,1151705,Mondim de Basto
1309,1151309,Paços de Ferreira
1310,1151310,Paredes
1311,1151311,Penafiel
1813,1151813,Resende
1709,1151709,Ribeira de Pena
104,1160104,Arouca
113,1160113,Oliveira de Azeméis
109,1160109,Santa Maria da Feira
116,1160116,São João da Madeira
119,1160119,Vale de Cambra
1701,1171701,Alijó
1801,1171801,Armamar
403,1170403,Carrazeda de Ansiães
404,1170404,Freixo de Espada à Cinta
1805,1171805,Lamego
1704,1171704,Mesão Frio
1807,1171807,Moimenta da Beira
1812,1171812,Penedono
1708,1171708,Peso da Régua
1710,1171710,Sabrosa
1711,1171711,Santa Marta de Penaguião
1815,1171815,São João da Pesqueira
1818,1171818,Sernancelhe
1819,1171819,Tabuaço
1820,1171820,Tarouca
409,1170409,Torre de Moncorvo
410,1170410,Vila Flor
914,1170914,Vila Nova de Foz Côa
1714,1171714,Vila Real
401,1180401,Alfândega da Fé
1702,1181702,Boticas
402,1180402,Bragança
1703,1181703,Chaves
405,1180405,Macedo de Cavaleiros
406,1180406,Miranda do Douro
407,1180407,Mirandela
408,1180408,Mogadouro
1706,1181706,Montalegre
1707,1181707,Murça
1712,1181712,Valpaços
1713,1181713,Vila Pouca de Aguiar
411,1180411,Vimioso
412,1180412,Vinhais
101,1610101,Águeda
102,1610102,Albergaria-a-Velha
103,1610103,Anadia
105,1610105,Aveiro
108,1610108,Estarreja
110,1610110,Ílhavo
111,1610111,Mealhada
112,1610112,Murtosa
114,1610114,Oliveira do Bairro
115,1610115,Ovar
117,1610117,Sever do Vouga
118,1610118,Vagos
602,1620602,Cantanhede
603,1620603,Coimbra
604,1620604,Condeixa-a-Nova
605,1620605,Figueira da Foz
608,1620608,Mira
610,1620610,Montemor-o-Velho
613,1620613,Penacova
615,1620615,Soure
1004,1631004,Batalha
1009,1631009,Leiria
1010,1631010,Marinha Grande
1015,1631015,Pombal
1016,1631016,Porto de Mós
1002,1641002,Alvaiázere
1003,1641003,Ansião
601,1640601,Arganil
1007,1641007,Castanheira de Pêra
1008,1641008,Figueiró dos Vinhos
606,1640606,Góis
607,1640607,Lousã
609,1640609,Miranda do Corvo
611,1640611,Oliveira do Hospital
612,1640612,Pampilhosa da Serra
1013,1641013,Pedrógão Grande
614,1640614,Penela
616,1640616,Tábua
617,1640617,Vila Nova de Poiares
901,1650901,Aguiar da Beira
1802,1651802,Carregal do Sal
1803,1651803,Castro Daire
1806,1651806,Mangualde
1808,1651808,Mortágua
1809,1651809,Nelas
1810,1651810,Oliveira de Frades
1811,1651811,Penalva do Castelo
1814,1651814,Santa Comba Dão
1816,1651816,São Pedro do Sul
1817,1651817,Sátão
1821,1651821,Tondela
1822,1651822,Vila Nova de Paiva
1823,1651823,Viseu
1824,1651824,Vouzela
1413,1661413,Mação
506,1660506,Oleiros
508,1660508,Proença-a-Nova
509,1660509,Sertã
510,1660510,Vila de Rei
905,1670905,Fornos de Algodres
906,1670906,Gouveia
912,1670912,Seia
902,1680902,Almeida
903,1680903,Celorico da Beira
904,1680904,Figueira de Castelo Rodrigo
907,1680907,Guarda
908,1680908,Manteigas
909,1680909,Mêda
910,1680910,Pinhel
911,1680911,Sabugal
913,1680913,Trancoso
502,1690502,Castelo Branco
505,1690505,Idanha-a-Nova
507,1690507,Penamacor
511,1690511,Vila Velha de Ródão
501,16A0501,Belmonte
503,16A0503,Covilhã
504,16A0504,Fundão
1001,16B1001,Alcobaça
1101,16B1101,Alenquer
1102,16B1102,Arruda dos Vinhos
1005,16B1005,Bombarral
1104,16B1104,Cadaval
1006,16B1006,Caldas da Rainha
1108,16B1108,Lourinhã
1011,16B1011,Nazaré
1012,16B1012,Óbidos
1014,16B1014,Peniche
1112,16B1112,Sobral de Monte Agraço
1113,16B1113,Torres Vedras
1401,16C1401,Abrantes
1402,16C1402,Alcanena
1408,16C1408,Constância
1410,16C1410,Entroncamento
1411,16C1411,Ferreira do Zêzere
1421,16C1421,Ourém
1417,16C1417,Sardoal
1418,16C1418,Tomar
1419,16C1419,Torres Novas
1420,16C1420,Vila Nova da Barquinha
1115,1711115,Amadora
1105,1711105,Cascais
1106,1711106,Lisboa
1107,1711107,Loures
1109,1711109,Mafra
1116,1711116,Odivelas
1110,1711110,Oeiras
1111,1711111,Sintra
1114,1711114,Vila Franca de Xira
1502,1721502,Alcochete
1503,1721503,Almada
1504,1721504,Barreiro
1506,1721506,Moita
1507,1721507,Montijo
1508,1721508,Palmela
1510,1721510,Seixal
1511,1721511,Sesimbra
1512,1721512,Setúbal
1501,1811501,Alcácer do Sal
1505,1811505,Grândola
211,1810211,Odemira
1509,1811509,Santiago do Cacém
1513,1811513,Sines
1201,1821201,Alter do Chão
1202,1821202,Arronches
