GW_ID,GW_name,HU,GW_type
1,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO MINHO,Massif,Ind
2,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO LEÇA,Massif,Ind
3,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO DOURO,Massif,Ind
4,ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO DOURO,Western,Ind
5,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO LIMA,Massif,Ind
6,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO VOUGA,Massif,Ind
7,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO MONDEGO,Massif,Ind
8,CALDAS DA RAINHA - NAZARÉ,Western,Aq
9,LEIROSA - MONTE REAL,Western,Aq
10,LUSO,Massif,Aq
11,ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO SADO,Western,Ind
12,BACIA DO TEJO-SADO INDIFERENCIADO DA BACIA DO SADO,Tagus-Sado,Ind
13,BACIA DE ALVALADE,Tagus-Sado,Aq
14,ZONA SUL PORTUGUESA DAS BACIAS DAS RIBEIRAS DO BARLAVENTO,Massif,Ind
15,VIEIRA DE LEIRIA - MARINHA GRANDE,Western,Aq
16,ZONA SUL PORTUGUESA DA BACIA DO ARADE,Massif,Ind
17,VISO - QUERIDAS,Western,Aq
18,CONDEIXA - ALFARELOS,Western,Aq
19,VERRIDE,Western,Aq
20,LOURIÇAL,Western,Aq
21,CRETÁCICO DE AVEIRO,Western,Aq
22,ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO VOUGA,Western,Ind
23,ALUVIÕES DO MONDEGO,Western,Aq
24,CÁRSICO DA BAIRRADA,Western,Aq
25,TENTÚGAL,Western,Aq
26,FIGUEIRA DA FOZ - GESTEIRA,Western,Aq
27,QUATERNÁRIO DE AVEIRO,Western,Aq
28,ESCUSA,Massif,Aq
29,MACIÇO CALCÁRIO ESTREMENHO,Western,Aq
30,MONFORTE - ALTER DO CHÃO,Massif,Aq
31,PAÇO,Western,Aq
32,ESTREMOZ - CANO,Massif,Aq
33,ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO TEJO,Western,Ind
34,ORLA OCIDENTAL INDIFERENCIADO DAS BACIAS DAS RIBEIRAS DO OESTE,Western,Ind
35,SICÓ - ALVAIÁZERE,Western,Aq
36,MACEIRA,Western,Aq
37,TORRES VEDRAS,Western,Aq
38,PENELA - TOMAR,Western,Aq
39,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO SADO,Massif,Ind
40,MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO GUADIANA,Massif,Ind
41,ZONA SUL PORTUGUESA DA BACIA DO SADO,Massif,Ind
