"","GW_ID","drainage","N-loads[mg N]","Nc[mg N/L]","Nc[mg NO3/L]"
"1",1,29878779115.861,176900.412,5.9206037607505,26.1973617732323
"2",2,3829961084.794,0,0,0
"3",3,149165466476.891,3193382.683,21.4083243154321,94.7270987408501
"4",4,734742192.821,6611.911,8.99895373452551,39.8183793563076
"5",5,9626475690.95,288416.532,29.9607604339712,132.569736433501
"6",6,11190550666.21,221175.117,19.7644533854657,87.4533335640077
"7",7,32483499848.643,525260.056,16.1700573659689,71.5489263980926
"8",8,2198716878.184,29022.991,13.1999673482159,58.4069351690969
"9",9,3014205345.307,16893.04,5.60447549676793,24.7985641449908
"10",10,7747866.829,140.593,18.1460269133389,80.2921544838006
"11",11,5743345449.845,31188.496,5.43037090008955,24.0281898234051
"12",12,82512525298.853,263325.908,3.19134467217258,14.1209941246574
"13",13,89626810098.55,254014.228,2.83413219460445,12.5404079407277
"14",14,2356763185.366,60577.528,25.7036975017889,113.733174786676
"15",15,3196547852.576,21336.218,6.67476883939209,29.5343753955402
"16",16,2456321220.348,74186.06,30.2021003545659,133.637612188345
"17",17,10124452717.4,23736.735,2.34449561497836,10.3738744025591
"18",18,6140893985.575,61887.332,10.0779026873569,44.5924897670658
"19",19,2163841133.133,9982.872,4.61349580943862,20.4136982718523
"20",20,12283437626.073,138795.147,11.2993732882554,49.997226939183
"21",21,23427432035.069,51136.567,2.18276450118189,9.6582500052296
"22",22,9774941416.218,50160.356,5.13152497433662,22.7058627183036
"23",23,19194755024.134,30899.933,1.60981127194115,7.12305872540333
"24",24,9320732768.36,51928.527,5.5712923318943,24.6517359818332
"25",25,4264591423.3,29096.009,6.82269556727784,30.1889184392825
"26",26,3184998810.362,26614.772,8.35628946340957,36.9747321389804
"27",27,27800774160.045,40244.097,1.44758907677609,6.4052614016641
"28",28,465392383.652,4212.654,9.0518327071507,40.0523571112863
"29",29,77550424002.77,187050.923,2.41199097755183,10.6725264493444
"30",30,1211731185.97,24185.276,19.9592750273564,88.3153762272408
"31",31,112320244.705,4666.609,41.5473542837845,183.837850813206
"32",32,29559762119.349,100474.076,3.39901503923918,15.0398895541557
"33",33,26932477179.046,614551.07,22.8182155660799,100.965555602124
"34",34,85538522953.191,885611.376,10.3533629693914,45.8113405725281
"35",35,20138804039.343,86255.191,4.28303442605095,18.9514797612874
"36",36,244852452.414,1583.216,6.46600017435429,28.6106202405057
"37",37,2334693186.294,8909.364,3.81607487112359,16.8852870403699
"38",38,22978382281.538,88421.387,3.84802489211968,17.0266588146888
"39",39,83712169187.681,744543.091,8.89408431563575,39.3543553789193
"40",40,135010447766.865,2401223.633,17.7854652933706,78.6967490857106
"41",41,40653058133.097,703963.815,17.3163803002284,76.621151770922
"42",42,55489634597.299,1113951.216,20.0749423578692,88.8271785746423
"43",43,63694707824.147,161683.39,2.5384116753685,11.2319100680022
"44",44,115384036629.414,1062455.53,9.20799411284555,40.7433367825024
"45",45,519999776128.461,1147656.375,2.20703244056106,9.76563026796927
"46",46,163832834576.68,607298.863,3.70682021445317,16.4018593559875
"47",47,1490518915.551,15889.589,10.6604410277652,47.1700930432089
"48",48,4253330776.224,2607.412,0.613028268239884,2.71251446123842
"49",49,152432678.031,0,0,0
"50",50,363633056.731,1267.128,3.48463368922305,15.4187331381551
"51",51,1478070886.956,38571.185,26.0956259543377,115.467371479371
"52",52,5342769107.183,33779.663,6.32250099570754,27.9756681225997
"53",53,47241450702.152,410235.907,8.68381264551879,38.4239497589327
"54",54,72254661327.776,307207.866,4.25173767829846,18.8129985765419
"55",55,27640665012.292,124712.024,4.51190389032028,19.964176505842
"56",56,731536670.387,4002.473,5.47132243949247,24.2093913251879
"57",57,1166329375.389,55209.302,47.3359440008842,209.45107964993
"58",58,2269671849.85,33496.43,14.7582700125632,65.3020797016069
"59",59,32341068616.34,296962.691,9.1822164110546,40.6292761551088
