"","GW_ID","GW_name","HU","GW_type","wsurplus_L","n_load_kgN","Nc_mgNL","Nc_mgNO3L"
"1",1,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO MINHO","Massif","Ind",90586787000,75707.236,0.835742590141761,3.69797606257416
"2",2,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO LEÇA","Massif","Ind",7542098000,32208.677,4.27051955569922,18.8961042287576
"3",3,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO DOURO","Massif","Ind",1314603771000,1806688.099,1.37432140303818,6.08106815503619
"4",4,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO DOURO","Western","Ind",3446512000,2809.757,0.815246544912654,3.60728559695864
"5",5,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO LIMA","Massif","Ind",199062944000,164017.441,0.823947630353543,3.64578597501568
"6",6,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO VOUGA","Massif","Ind",278303317000,230975.686,0.829942267630249,3.67231091871792
"7",7,"MACIÇO ANTIGO INDIFERENCIADO DA BACIA DO MONDEGO","Massif","Ind",378380881000,381059.155,1.00707824875539,4.45609844582029
"8",8,"CALDAS DA RAINHA - NAZARÉ","Western","Aq",7683003000,20505.518,2.66894572343653,11.8094943514891
"9",9,"LEIROSA - MONTE REAL","Western","Aq",7261708000,13479.733,1.85627582381445,8.21360983988696
"10",10,"LUSO","Massif","Aq",31024000,40.092,1.29228984012378,5.71809663771582
"11",11,"ORLA OCIDENTAL INDIFERENCIADO DA BACIA DO SADO","Western","Ind",1584671000,12939.931,8.16568928187617,36.1313685038769
"12",12,"BACIA DO TEJO-SADO INDIFERENCIADO DA BACIA DO SADO","Tagus-Sado","Ind",19102523000,202566.819,10.6041918651269,46.9212029430395
"13",13,"BACIA DE ALVALADE","Tagus-Sado","Aq",11014857000,201196.128,18.2658865203606,80.8225067272595
"14",14,"ZONA SUL PORTUGUESA DAS BACIAS DAS RIBEIRAS DO BARLAVENTO","Massif","Ind",9286453000,20111.054,2.16563353090787,9.58244925180474
"15",15,"VIEIRA DE LEIRIA - MARINHA GRANDE","Western","Aq",4339701000,15808.12,3.64267492161326,16.1180306266074
"16",16,"ZONA SUL PORTUGUESA DA BACIA DO ARADE","Massif","Ind",4336165000,38267.061,8.82509337167751,39.0490857153872
"17",17,"VISO - QUERIDAS","Western","Aq",41530397000,31890.051,0.767872529607651,3.39766606021084
"18",18,"CONDEIXA - ALFARELOS","Western","Aq",34680331000,72970.408,2.10408626146042,9.31011620115231
