"","GW_ID","drainage","N.loads.mg.N.","Nc.mg.N.L.","Nc.mg.NO3.L.","HU","GW_ID.1","gw_type","recharge","sss"
"1",1,29878779115.861,176900.412,5.9206037607505,26.1973617732323,"Massif",1,"Ind",7,7
"2",2,3829961084.794,0,0,0,"Massif",2,"Ind",7.5,7.5
"3",3,149165466476.891,3193382.683,21.4083243154321,94.7270987408501,"Western",3,"Ind",3,3
"4",4,734742192.821,6611.911,8.99895373452551,39.8183793563076,"Western",4,"Ind",10,10
"5",5,9626475690.95,288416.532,29.9607604339712,132.569736433501,"Massif",5,"Ind",1,1
"6",6,11190550666.21,221175.117,19.7644533854657,87.4533335640077,"Western",6,"Ind",5,5
"7",7,32483499848.643,525260.056,16.1700573659689,71.5489263980926,"Western",7,"Ind",5,5
"8",8,2198716878.184,29022.991,13.1999673482159,58.4069351690969,"Western",8,"Aq",29,29
"9",9,3014205345.307,16893.04,5.60447549676793,24.7985641449908,"Western",9,"Aq",24.8,24.8
"10",10,7747866.829,140.593,18.1460269133389,80.2921544838006,"Massif",10,"Aq",13.3,13.3
"11",11,5743345449.845,31188.496,5.43037090008955,24.0281898234051,"Tagus-Sado",11,"Ind",22.3,22.3
"12",12,82512525298.853,263325.908,3.19134467217258,14.1209941246574,"Tagus-Sado",12,"Ind",27,27
"13",13,89626810098.55,254014.228,2.83413219460445,12.5404079407277,"Tagus-Sado",13,"Aq",30,30
"14",14,2356763185.366,60577.528,25.7036975017889,113.733174786676,"Meridional",14,"Ind",5,5
"15",15,3196547852.576,21336.218,6.67476883939209,29.5343753955402,"Western",15,"Aq",31,31
"16",16,2456321220.348,74186.06,30.2021003545659,133.637612188345,"Meridional",16,"Ind",5,5
"17",17,10124452717.4,23736.735,2.34449561497836,10.3738744025591,"Western",17,"Aq",19.3,19.3
"18",18,6140893985.575,61887.332,10.0779026873569,44.5924897670658,"Western",18,"Aq",14.6,14.6
"19",19,2163841133.133,9982.872,4.61349580943862,20.4136982718523,"Western",19,"Aq",44.6,44.6
"20",20,12283437626.073,138795.147,11.2993732882554,49.997226939183,"Western",20,"Aq",13.8,13.8
"21",21,23427432035.069,51136.567,2.18276450118189,9.6582500052296,"Western",21,"Aq",11.7,11.7
"22",22,9774941416.218,50160.356,5.13152497433662,22.7058627183036,"Western",22,"Ind",14.9,14.9
"23",23,19194755024.134,30899.933,1.60981127194115,7.12305872540333,"Western",23,"Aq",38.3,38.3
"24",24,9320732768.36,51928.527,5.5712923318943,24.6517359818332,"Western",24,"Aq",11.2,11.2
"25",25,4264591423.3,29096.009,6.82269556727784,30.1889184392825,"Western",25,"Aq",13.9,13.9
"26",26,3184998810.362,26614.772,8.35628946340957,36.9747321389804,"Western",26,"Aq",22.5,22.5
"27",27,27800774160.045,40244.097,1.44758907677609,6.4052614016641,"Western",27,"Aq",20.2,20.2
"28",28,465392383.652,4212.654,9.0518327071507,40.0523571112863,"Massif",28,"Aq",62,62
"29",29,77550424002.77,187050.923,2.41199097755183,10.6725264493444,"Tagus-Sado",29,"Aq",61,61
"30",30,1211731185.97,24185.276,19.9592750273564,88.3153762272408,"Massif",30,"Aq",26,26
"31",31,112320244.705,4666.609,41.5473542837845,183.837850813206,"Western",31,"Aq",31,31
"32",32,29559762119.349,100474.076,3.39901503923918,15.0398895541557,"Massif",32,"Aq",36,36
