"","GW_ID","drainage","N.loads.mg.N.","Nc.mg.N.L.","Nc.mg.NO3.L.","HU","GW_ID.1","gw_type","recharge","sss"
"1",1,17852506852.386,75707.236,4.24070617230328,18.7641866031119,"Massif",1,"Ind",7,7
"2",2,958494250.501,32208.677,33.603411792157,148.687662797155,"Massif",2,"Ind",7.5,7.5
"3",3,85515803755.112,1806688.099,21.1269498696842,93.4820790693989,"Western",3,"Ind",3,3
"4",4,420780620.425,2809.757,6.67748670830436,29.5464013641786,"Western",4,"Ind",10,10
"5",5,4368784113.567,164017.441,37.543040978073,166.119650345456,"Massif",5,"Ind",1,1
"6",6,10511605842.923,230975.686,21.9733967817587,97.2274193883127,"Western",6,"Ind",5,5
"7",7,20147377846.283,381059.155,18.9135855746261,83.6884317461333,"Western",7,"Ind",5,5
"8",8,888065250.922,20505.518,23.090102871057,102.168596774588,"Western",8,"Aq",29,29
"9",9,1159491978.026,13479.733,11.6255508925114,51.4404906748293,"Western",9,"Aq",24.8,24.8
"10",10,2761035.449,40.092,14.5206393545293,64.2506166129617,"Massif",10,"Aq",13.3,13.3
"11",11,1872891099.995,12939.931,6.90906748397413,30.5710950618324,"Tagus-Sado",11,"Ind",22.3,22.3
"12",12,44823631502.193,202566.819,4.51919695507245,19.9964467038604,"Tagus-Sado",12,"Ind",27,27
"13",13,42332543469.932,201196.128,4.75275311871836,21.0298810562759,"Tagus-Sado",13,"Aq",30,30
"14",14,1503127417.821,20111.054,13.3794738633361,59.2012117846731,"Meridional",14,"Ind",5,5
"15",15,1108298988.882,15808.12,14.2634074005125,63.1124221261613,"Western",15,"Aq",31,31
"16",16,1175272182.971,38267.061,32.5601690863335,144.071544629794,"Meridional",16,"Ind",5,5
"17",17,7070612666.684,31890.051,4.51022457364447,19.9567459010817,"Western",17,"Aq",19.3,19.3
"18",18,4079201309.252,72970.408,17.8884057117986,79.1522376628259,"Western",18,"Aq",14.6,14.6
"19",19,918934197.985,8327.292,9.06190238458829,40.0969132061429,"Western",19,"Aq",44.6,44.6
"20",20,5728702070.939,100643.797,17.5683419653735,77.7360263954582,"Western",20,"Aq",13.8,13.8
"21",21,15308976023.462,60510.804,3.95263562417651,17.4895381600731,"Western",21,"Aq",11.7,11.7
"22",22,7528052080.543,35626.919,4.73255479888102,20.9405079596505,"Western",22,"Ind",14.9,14.9
"23",23,13960520570.208,48142.227,3.44845500265487,15.2586504542251,"Western",23,"Aq",38.3,38.3
"24",24,6349419047.463,40356.596,6.35595094579953,28.1236767513253,"Western",24,"Aq",11.2,11.2
"25",25,3814434608.05,45823.662,12.0132252112262,53.1558637664876,"Western",25,"Aq",13.9,13.9
"26",26,1646177472.093,22993.592,13.9678694368021,61.8047320212483,"Western",26,"Aq",22.5,22.5
"27",27,20284647077.928,41764.434,2.05891844406031,9.11025860203676,"Western",27,"Aq",20.2,20.2
"28",28,208280210.637,3590.027,17.2365247232098,76.267808509778,"Massif",28,"Aq",62,62
"29",29,44376578807.991,170037.182,3.83168749298405,16.9543694379825,"Tagus-Sado",29,"Aq",61,61
"30",30,782691468.629,17526.867,22.3930727527935,99.0843927114757,"Massif",30,"Aq",26,26
"31",31,66365893.4,3025.714,45.5914001151682,201.731858916673,"Western",31,"Aq",31,31
"32",32,15636756342.8,68968.291,4.41065202322198,19.5161593947875,"Massif",32,"Aq",36,36
"33",33,14017543535.042,275393.712,19.6463603848672,86.9307981631291,"Tagus-Sado",33,"Ind",9,9
"34",34,49204845735.612,563559.542,11.4533341904601,50.6784698692925,"Tagus-Sado",34,"Ind",16,16
"35",35,11621859853.108,83994.769,7.22730871492462,31.9792421014364,"Western",35,"Aq",48,48
"36",36,85045287.329,1377.174,16.1934193328358,71.6522979329015,"Western",36,"Aq",46,46
"37",37,1758033176.289,6487.454,3.69017723186217,16.3282178400981,"Western",37,"Aq",25,25
"38",38,13951399264.743,65649.098,4.70555653624678,20.821046620561,"Tagus-Sado",38,"Aq",48,48
"39",39,48672000779.461,575235.464,11.8186114149378,52.2947407740611,"Tagus-Sado",39,"Ind",6.3,6.3
"40",40,79626748049.939,1509688.239,18.959561654498,83.8918657278674,"Massif",40,"Ind",5.4,5.4
"41",41,18924142535.688,483045.577,25.5253613784113,112.944076895625,"Tagus-Sado",41,"Ind",5.2,5.2
"42",42,38166950692.542,795779.288,20.8499571896766,92.256447741932,"Meridional",42,"Ind",5,5
"43",43,29732566599.781,100869.549,3.39256110505922,15.0113323232709,"Tagus-Sado",43,"Ind",23,23
"44",44,62629351634.791,590651.745,9.43090946309413,41.729687889797,"Tagus-Sado",44,"Aq",18,18
"45",45,242019593643.82,1219772.806,5.03997543188647,22.3007762472853,"Tagus-Sado",45,"Aq",26,26
"46",46,84054701425.829,487631.062,5.80135380565586,25.6697071046719,"Tagus-Sado",46,"Aq",33,33
"47",47,798652188.198,11979.659,14.9998449600817,66.3709953985916,"Meridional",47,"Aq",25,25
"48",48,1491430362.224,2376.894,1.59370095996679,7.05177415914507,"Massif",48,"Aq",50,50
"49",49,59773592.448,0,0,0,"Meridional",49,"Aq",38,38
"50",50,277743039.164,1392.2,5.0125468641464,22.1794109033027,"Meridional",50,"Ind",20,20
"51",51,637692860.464,33468.51,52.4837458202802,232.22896380655,"Western",51,"Aq",10.8,10.8
"52",52,2126145090.422,75748.292,35.6270568463253,157.641844452767,"Massif",52,"Ind",7.5,7.5
"53",53,13306840695.14,220730.08,16.5877149247467,73.3969686935693,"Massif",53,"Ind",7.5,7.5
"54",54,24766086106.367,164503.319,6.64228163842605,29.3906267186993,"Massif",54,"Ind",7.5,7.5
"55",55,20572004065.54,100749.729,4.89741926353034,21.6699967412847,"Massif",55,"Aq",38,38
"56",56,610140907.559,4205.527,6.89271436794021,30.4987361413284,"Massif",56,"Aq",15.6,15.6
"57",57,666229070.554,36154.89,54.2679561699935,240.123699867228,"Meridional",57,"Ind",5,5
"58",58,2226063736.621,16783.176,7.53939598579312,33.3601592291731,"Meridional",58,"Ind",10,10
"59",59,17417224954.894,235503.428,13.5212945006964,59.828736728745,"Massif",59,"Aq",20,20
"60",60,1599214629.451,16761.803,10.4812716763066,46.3773083022418,"Meridional",60,"Ind",20,20
"61",61,4250105391.461,127671.175,30.0395315505605,132.91828119717,"Meridional",61,"Ind",10,10
"62",62,1678513267.361,1143.62,0.681329139446141,3.0147307055139,"Meridional",62,"Aq",50,50
"63",63,1816955588.912,19730.502,10.8590997602835,48.0491139835552,"Western",63,"Aq",28,28
"64",64,4573597409.736,64545.13,14.1125517218897,62.4449191234057,"Massif",64,"Aq",10,10
"65",65,19056273152.839,120385.928,6.31739097327459,27.9530574038699,"Meridional",65,"Aq",45,45
"66",66,6490595668.893,14122.011,2.17576501763644,9.6272788390993,"Tagus-Sado",66,"Aq",50,50
"67",67,1411418239.892,6239.936,4.42103964908196,19.5621223410706,"Western",67,"Aq",50,50
"68",68,1520066045.525,14863.464,9.77816986555111,43.2662383431465,"Meridional",68,"Aq",40,40
