agrarian_region_id,agrarian_region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986
Entre Douro e Minho,1,5378,11679,3306,6621,3959,3626,4461,5535,5340,6128,4450,4440,4951,5708,5167,4885,7808,3285,6616,9536,3326,11184,7302,7294,9674,6309,5875,6185,5238,7078,6730,6373,6935
Trás-os-Montes,2,12523,15985,13346,11706,8390,5983,6228,8203,7970,8788,7669,8434,9267,8774,10920,12113,11933,11125,8824,9855,7565,9850,9204,8850,9550,9000,5469,6158,5792,6411,5406,6043,6566
Beira Litoral,3,6276,8425,6132,8254,9751,9862,7311,11575,10844,12988,11502,11418,11207,6662,9559,8900,12544,11304,9985,13000,3305,10199,9265,10289,9540,8167,5000,4896,4506,5830,5140,5236,5694
Beira Interior,4,5428,6053,4898,6904,8115,8185,6967,8985,8828,9778,10309,8733,9586,7871,9552,9762,11628,9031,8940,8900,4437,8102,8506,5406,8129,8152,7050,6347,6383,5063,4913,6178,6716
Ribatejo e Oeste,5,13188,16463,11009,11986,18625,18095,10740,22597,17066,19245,16145,12654,15780,11340,16530,6848,10155,11784,11824,10707,823,15000,8177,5609,9733,7036,7391,6782,6800,6480,6163,6945,7549
Alentejo,6,21721,24893,19518,11400,14642,10200,13157,13157,13213,14546,14613,15058,15065,14685,15019,13410,6241,6754,7395,7894,6845,6993,5923,5575,7692,5992,3440,3716,3229,2824,2608,3197,3481
Algarve,7,9294,9293,9291,9282,8959,8502,8021,8103,8103,8094,8089,8649,9025,8433,9024,9033,9026,5043,9000,9000,3600,6000,3644,7937,8087,7782,4865,3523,3992,4623,4488,4441,4816
