agrarian_region_id,agrarian_region,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,
Entre Douro e Minho,1,8929,15298,6294,11365,6397,6491,7409,8191,8000,9048,6561,7386,7779,8845,8866,8115,11797,6449,10742,13378,6015,11535,11500,11322,10663,11423,12598,12369,12726,11617,11653,11760,11205,11205
Trás-os-Montes,2,19996,24495,18307,24932,15419,17331,12484,17443,15317,16960,14167,18833,16976,14982,16106,13732,13839,13436,10723,12051,7672,14500,13400,12438,9166,12583,13611,12063,13726,12535,10471,12041,11467,11467
Beira Litoral,3,13375,16635,7264,10189,11406,13106,8815,13199,14200,15010,13741,14661,13528,13841,16665,15393,17579,14606,12159,21183,10936,16349,17731,14160,10513,10830,12141,10670,9892,11289,11097,10624,10117,10117
Beira Interior,4,8439,8547,7253,11034,10293,11759,9553,11290,11143,11716,11827,11123,11706,10722,11107,12414,13892,12226,10381,11067,8106,12820,10500,7000,7610,13241,12479,12858,14957,12415,10375,12178,11599,11599
Ribatejo e Oeste,5,20450,25550,21338,29980,31282,31747,28024,28048,22489,31315,24123,18124,18949,16911,16050,17118,16397,11808,10211,13650,4273,8266,6458,7130,7130,8388,8838,8381,9049,8915,8430,8415,8014,8014
Alentejo,6,18423,20989,14539,22435,20954,18128,17367,16128,18438,20350,20112,20068,16706,16833,16197,16695,13597,17502,18902,22304,13942,18751,17861,15351,15953,15422,24273,27759,30321,30790,28010,27018,25751,25751
Algarve,7,8742,8743,8606,8437,8427,7958,7578,7978,7598,7213,7560,8273,8944,8950,9074,9094,9094,5469,9094,9094,4762,6500,5000,6667,6419,5744,6222,5750,5793,7421,6684,6075,5675,5675
