Muni_ID,ID,Muni,Ewes,Other_ovine
404,1170404,Freixo de Espada à Cinta,4619,308
1805,1171805,Lamego,1911,349
1704,1171704,Mesão Frio,17,4
1807,1171807,Moimenta da Beira,2364,363
1812,1171812,Penedono,2295,303
1708,1171708,Peso da Régua,498,40
1710,1171710,Sabrosa,786,82
1711,1171711,Santa Marta de Penaguião,387,60
1815,1171815,São João da Pesqueira,1775,182
1818,1171818,Sernancelhe,2453,294
1819,1171819,Tabuaço,1064,118
1820,1171820,Tarouca,512,105
409,1170409,Torre de Moncorvo,11819,967
410,1170410,Vila Flor,4807,631
914,1170914,Vila Nova de Foz Côa,5027,236
1714,1171714,Vila Real,5140,580
401,1180401,Alfândega da Fé,6675,446
1702,1181702,Boticas,3045,238
402,1180402,Bragança,33930,6307
1703,1181703,Chaves,15715,3106
405,1180405,Macedo de Cavaleiros,18672,2105
406,1180406,Miranda do Douro,15621,3612
407,1180407,Mirandela,16371,1822
408,1180408,Mogadouro,19977,3624
1706,1181706,Montalegre,7262,1185
1707,1181707,Murça,1219,73
1712,1181712,Valpaços,10537,1466
1713,1181713,Vila Pouca de Aguiar,5746,1017
411,1180411,Vimioso,9660,1384
412,1180412,Vinhais,15427,3468
101,1610101,Águeda,2092,771
102,1610102,Albergaria-a-Velha,519,57
103,1610103,Anadia,962,287
105,1610105,Aveiro,478,235
108,1610108,Estarreja,579,102
110,1610110,Ílhavo,44,16
111,1610111,Mealhada,388,114
112,1610112,Murtosa,153,49
114,1610114,Oliveira do Bairro,300,64
115,1610115,Ovar,176,41
117,1610117,Sever do Vouga,362,129
118,1610118,Vagos,345,94
602,1620602,Cantanhede,764,266
603,1620603,Coimbra,2152,462
604,1620604,Condeixa-a-Nova,1478,466
605,1620605,Figueira da Foz,1865,267
608,1620608,Mira,30,12
610,1620610,Montemor-o-Velho,4642,662
613,1620613,Penacova,1964,769
615,1620615,Soure,3218,502
1004,1631004,Batalha,663,240
1009,1631009,Leiria,3434,1288
1010,1631010,Marinha Grande,198,49
1015,1631015,Pombal,6174,1955
1016,1631016,Porto de Mós,3198,840
1002,1641002,Alvaiázere,2109,323
1003,1641003,Ansião,4511,625
601,1640601,Arganil,2177,528
1007,1641007,Castanheira de Pêra,172,54
1008,1641008,Figueiró dos Vinhos,487,152
606,1640606,Góis,150,38
607,1640607,Lousã,388,84
609,1640609,Miranda do Corvo,489,165
611,1640611,Oliveira do Hospital,7982,828
612,1640612,Pampilhosa da Serra,280,37
1013,1641013,Pedrógão Grande,526,95
614,1640614,Penela,2221,233
616,1640616,Tábua,4777,674
617,1640617,Vila Nova de Poiares,140,60
901,1650901,Aguiar da Beira,4088,505
1802,1651802,Carregal do Sal,2531,226
1803,1651803,Castro Daire,3417,683
1806,1651806,Mangualde,7772,530
1808,1651808,Mortágua,3941,1013
1809,1651809,Nelas,3480,220
1810,1651810,Oliveira de Frades,1150,295
1811,1651811,Penalva do Castelo,2816,127
1814,1651814,Santa Comba Dão,2537,269
1816,1651816,São Pedro do Sul,3135,923
1817,1651817,Sátão,1889,349
1821,1651821,Tondela,8161,1694
1822,1651822,Vila Nova de Paiva,1590,280
1823,1651823,Viseu,7606,1882
1824,1651824,Vouzela,2684,527
1413,1661413,Mação,1188,123
506,1660506,Oleiros,293,51
508,1660508,Proença-a-Nova,1392,597
509,1660509,Sertã,1760,450
510,1660510,Vila de Rei,163,20
905,1670905,Fornos de Algodres,4800,483
906,1670906,Gouveia,9401,1095
912,1670912,Seia,12247,746
902,1680902,Almeida,13293,911
903,1680903,Celorico da Beira,14780,1721
904,1680904,Figueira de Castelo Rodrigo,20949,686
907,1680907,Guarda,14255,1825
908,1680908,Manteigas,899,38
909,1680909,Mêda,5975,421
910,1680910,Pinhel,11089,792
911,1680911,Sabugal,11410,966
913,1680913,Trancoso,12384,717
502,1690502,Castelo Branco,54760,4411
505,1690505,Idanha-a-Nova,64452,4926
507,1690507,Penamacor,10039,798
511,1690511,Vila Velha de Ródão,8635,630
501,16A0501,Belmonte,8348,769
503,16A0503,Covilhã,10449,583
504,16A0504,Fundão,36780,1975
1001,16B1001,Alcobaça,4750,1260
1101,16B1101,Alenquer,2693,470
1102,16B1102,Arruda dos Vinhos,1359,257
1005,16B1005,Bombarral,423,64
1104,16B1104,Cadaval,991,219
1006,16B1006,Caldas da Rainha,2086,780
1108,16B1108,Lourinhã,2822,376
1011,16B1011,Nazaré,731,43
1012,16B1012,Óbidos,568,202
1014,16B1014,Peniche,1574,356
1112,16B1112,Sobral de Monte Agraço,1895,359
1113,16B1113,Torres Vedras,6944,745
1401,16C1401,Abrantes,9799,1361
1402,16C1402,Alcanena,2513,318
1408,16C1408,Constância,103,9
1410,16C1410,Entroncamento,483,20
1411,16C1411,Ferreira do Zêzere,1921,269
1421,16C1421,Ourém,3507,1236
1417,16C1417,Sardoal,572,139
1418,16C1418,Tomar,4770,662
1419,16C1419,Torres Novas,4797,816
1420,16C1420,Vila Nova da Barquinha,316,83
1115,1711115,Amadora,172,8
1105,1711105,Cascais,235,73
1106,1711106,Lisboa,25,4
1107,1711107,Loures,3720,649
1109,1711109,Mafra,6643,1364
1116,1711116,Odivelas,856,169
1110,1711110,Oeiras,28,10
1111,1711111,Sintra,3521,606
1114,1711114,Vila Franca de Xira,2704,270
1502,1721502,Alcochete,636,111
1503,1721503,Almada,981,58
1504,1721504,Barreiro,336,31
1506,1721506,Moita,1069,216
1507,1721507,Montijo,7945,1214
1508,1721508,Palmela,17819,1434
1510,1721510,Seixal,461,61
1511,1721511,Sesimbra,994,407
1512,1721512,Setúbal,4609,415
1501,1811501,Alcácer do Sal,21593,4776
1505,1811505,Grândola,23320,4186
211,1810211,Odemira,26584,4600
1509,1811509,Santiago do Cacém,28750,5130
1513,1811513,Sines,5698,1964
1201,1821201,Alter do Chão,16750,3226
1202,1821202,Arronches,12334,734
1203,1821203,Avis,26304,4734
1204,1821204,Campo Maior,3219,322
1205,1821205,Castelo de Vide,6905,606
1206,1821206,Crato,11279,1066
1207,1821207,Elvas,19574,3140
1208,1821208,Fronteira,19097,3212
1209,1821209,Gavião,1193,209
1210,1821210,Marvão,6186,606
1211,1821211,Monforte,9595,2485
707,1820707,Mora,18561,4478
1212,1821212,Nisa,17676,2908
1213,1821213,Ponte de Sor,25887,6840
1214,1821214,Portalegre,17924,1533
701,1830701,Alandroal,19544,2392
702,1830702,Arraiolos,22610,5266
703,1830703,Borba,7049,2026
704,1830704,Estremoz,32051,6995
705,1830705,Évora,35209,7178
706,1830706,Montemor-o-Novo,45436,12469
708,1830708,Mourão,5048,571
709,1830709,Portel,24156,4004
710,1830710,Redondo,6474,1869
711,1830711,Reguengos de Monsaraz,10020,2037
1215,1831215,Sousel,17260,3166
712,1830712,Vendas Novas,4356,991
713,1830713,Viana do Alentejo,18492,2646
714,1830714,Vila Viçosa,6564,2206
201,1840201,Aljustrel,14198,3073
202,1840202,Almodôvar,32366,4919
203,1840203,Alvito,10322,1268
204,1840204,Barrancos,3221,168
205,1840205,Beja,26775,5235
206,1840206,Castro Verde,30062,1919
207,1840207,Cuba,6107,1174
208,1840208,Ferreira do Alentejo,18334,3888
209,1840209,Mértola,67423,17658
210,1840210,Moura,20628,3609
212,1840212,Ourique,32342,8696
213,1840213,Serpa,62837,10133
214,1840214,Vidigueira,9860,1923
1403,1851403,Almeirim,532,77
1404,1851404,Alpiarça,463,41
1103,1851103,Azambuja,2193,315
1405,1851405,Benavente,2356,239
1406,1851406,Cartaxo,795,182
1407,1851407,Chamusca,12326,563
1409,1851409,Coruche,8900,950
1412,1851412,Golegã,383,25
1414,1851414,Rio Maior,2735,1652
1415,1851415,Salvaterra de Magos,964,61
1416,1851416,Santarém,8562,1351
801,1500801,Albufeira,3137,398
802,1500802,Alcoutim,7478,357
803,1500803,Aljezur,425,67
804,1500804,Castro Marim,2467,293
805,1500805,Faro,1391,49
806,1500806,Lagoa,283,55
807,1500807,Lagos,224,40
808,1500808,Loulé,7454,1386
809,1500809,Monchique,260,78
810,1500810,Olhão,560,91
811,1500811,Portimão,822,59
812,1500812,São Brás de Alportel,254,33
813,1500813,Silves,7206,1658
814,1500814,Tavira,1964,197
815,1500815,Vila do Bispo,4784,1140
816,1500816,Vila Real de Santo António,355,44
