Muni_ID,ID,Muni,Broilers,Ducks,Geese,Laying_hens,Rep_hens,Turkeys
1601,1111601,Arcos de Valdevez,12228,1659,842,10087,4405,301
1602,1111602,Caminha,14535,825,186,2990,1305,104
1603,1111603,Melgaço,3788,848,101,3881,1695,29
1604,1111604,Monção,19400,2910,274,5701,2489,677
1605,1111605,Paredes de Coura,2822,903,72,4888,2134,100
1606,1111606,Ponte da Barca,5177,431,186,3899,1703,27
1607,1111607,Ponte de Lima,32444,3887,791,14957,6532,585
1608,1111608,Valença,13099,1313,113,14858,6489,243
1609,1111609,Viana do Castelo,277701,3472,578,8160,3564,461
1610,1111610,Vila Nova de Cerveira,3313,615,97,1264,551,44
301,1120301,Amares,8847,853,212,237346,103671,122
302,1120302,Barcelos,83761,3011,577,16228,7087,1102
303,1120303,Braga,15763,1702,562,8126,3549,159
306,1120306,Esposende,12380,1527,484,4639,2026,455
310,1120310,Terras de Bouro,3717,194,175,1754,766,12
313,1120313,Vila Verde,28623,1129,478,13396,5851,148
307,1130307,Fafe,6624,461,217,8538,3729,192
308,1130308,Guimarães,164652,1093,261,130922,57185,199
309,1130309,Póvoa de Lanhoso,21478,390,229,3233,1411,85
1314,1131314,Santo Tirso,13563,539,0,4698,2051,136
1318,1131318,Trofa,334776,474,114,1318,575,153
311,1130311,Vieira do Minho,6175,420,286,3231,1411,57
312,1130312,Vila Nova de Famalicão,36408,1342,350,6063,2647,327
314,1130314,Vizela,1996,78,0,762,332,10
107,1140107,Espinho,295,0,0,18,7,0
1304,1141304,Gondomar,2852,263,53,3375,1474,44
1306,1141306,Maia,42845,232,38,2113,922,28
1308,1141308,Matosinhos,2024,285,73,1679,732,0
1312,1141312,Porto,221,13,0,126,55,0
1313,1141313,Póvoa de Varzim,7486,434,336,15723,6867,40
1315,1141315,Valongo,1756,96,11,35064,15315,0
1316,1141316,Vila do Conde,19340,825,180,13533,5911,188
1317,1141317,Vila Nova de Gaia,4104,228,62,1666,727,19
1301,1151301,Amarante,16829,634,856,4224,1844,126
1302,1151302,Baião,7388,272,124,4218,1842,82
304,1150304,Cabeceiras de Basto,68938,543,183,3380,1476,114
106,1150106,Castelo de Paiva,5853,217,29,2587,1129,25
305,1150305,Celorico de Basto,53299,428,335,5937,2592,40
1804,1151804,Cinfães,5486,315,94,4065,1775,8
1303,1151303,Felgueiras,12429,592,225,33487,14626,106
1305,1151305,Lousada,19318,449,67,3318,1449,158
1307,1151307,Marco de Canaveses,7039,270,166,4623,2018,25
1705,1151705,Mondim de Basto,5364,283,124,2341,1022,31
1309,1151309,Paços de Ferreira,14402,355,505,2011,878,148
1310,1151310,Paredes,5622,532,273,4421,1931,58
1311,1151311,Penafiel,7195,321,61,5527,2413,75
1813,1151813,Resende,4109,231,14,2222,970,19
1709,1151709,Ribeira de Pena,5547,438,222,3137,1370,8
104,1160104,Arouca,41186,193,60,3407,1488,158
113,1160113,Oliveira de Azeméis,73680,1803,130,19628,8572,33
109,1160109,Santa Maria da Feira,5124,433,78,2318,1012,52
116,1160116,São João da Madeira,0,0,0,0,0,0
119,1160119,Vale de Cambra,107960,143,61,1491,651,35
1701,1171701,Alijó,1248,365,146,1825,796,12
1801,1171801,Armamar,492,120,77,1637,714,23
403,1170403,Carrazeda de Ansiães,2089,233,352,2173,949,52
404,1170404,Freixo de Espada à Cinta,120,90,56,863,376,0
1805,1171805,Lamego,2619,257,145,2778,1213,43
1704,1171704,Mesão Frio,152,12,203,465,203,0
1807,1171807,Moimenta da Beira,110436,146,321,4327,1890,29
1812,1171812,Penedono,37214,207,0,1157,504,24
1708,1171708,Peso da Régua,2252,190,196,1057,461,11
1710,1171710,Sabrosa,7862,179,2682,1548,675,20
1711,1171711,Santa Marta de Penaguião,1190,131,85,1354,591,13
1815,1171815,São João da Pesqueira,479,96,121,1745,761,31
1818,1171818,Sernancelhe,121838,139,400,2066,901,44
1819,1171819,Tabuaço,1299,68,109,1447,632,13
1820,1171820,Tarouca,10132,60,96,804,351,0
409,1170409,Torre de Moncorvo,872,194,58,1505,657,29
410,1170410,Vila Flor,2285,268,490,1589,694,16
914,1170914,Vila Nova de Foz Côa,139,66,140,702,306,0
1714,1171714,Vila Real,5086,421,281,6341,2769,64
401,1180401,Alfândega da Fé,627,143,282,1791,782,26
1702,1181702,Boticas,6602,132,35,4795,2093,11
402,1180402,Bragança,13253,1821,7312,10230,4467,234
1703,1181703,Chaves,24975,1781,999,13011,5682,298
405,1180405,Macedo de Cavaleiros,13692,525,1266,5303,2315,109
406,1180406,Miranda do Douro,7149,421,3846,32856,14350,62
407,1180407,Mirandela,8195,1527,1267,5503,2403,181
408,1180408,Mogadouro,3808,253,1680,4025,1757,160
1706,1181706,Montalegre,10188,401,31,6792,2966,56
1707,1181707,Murça,1778,323,253,2325,1015,62
1712,1181712,Valpaços,10912,920,624,6783,2962,252
1713,1181713,Vila Pouca de Aguiar,8546,558,293,5917,2584,60
411,1180411,Vimioso,5536,504,2741,3192,1394,145
412,1180412,Vinhais,5448,792,990,7742,3381,151
101,1610101,Águeda,327317,1188,424,4205,1836,5063
102,1610102,Albergaria-a-Velha,538099,974,249,161288,70449,18
103,1610103,Anadia,215368,1241,834,20091,8775,99
105,1610105,Aveiro,12958,1210,652,2560,1117,58
108,1610108,Estarreja,33639,603,896,2242,979,21
110,1610110,Ílhavo,1114,364,170,672,293,11
111,1610111,Mealhada,3632,723,54241,170009,74258,77
112,1610112,Murtosa,11523,699,568,1192,520,48
114,1610114,Oliveira do Bairro,18054,1098,420,2400,1048,70
115,1610115,Ovar,224098,371,180,74811,32677,7
117,1610117,Sever do Vouga,503287,144,46,31542,13776,18
118,1610118,Vagos,7199,907,321,46276,20212,27
602,1620602,Cantanhede,26933,4119,5811,9346,4081,290
603,1620603,Coimbra,90716,3673,2080,8436,3684,190
604,1620604,Condeixa-a-Nova,3812,910,1299,2705,1181,37
605,1620605,Figueira da Foz,8141,2827,3204,114311,49930,224
608,1620608,Mira,3883,682,919,1434,625,82
610,1620610,Montemor-o-Velho,11620,4354,3954,7393,3229,362
613,1620613,Penacova,2935,513,353,2711,1183,33
615,1620615,Soure,1391196,1916,2855,400055,174741,142
1004,1631004,Batalha,121391,277,17,22687,9909,28
1009,1631009,Leiria,486402,1893,909,766179,334662,269
1010,1631010,Marinha Grande,834,197,94,363,158,22
1015,1631015,Pombal,127364,2556,2210,313439,136907,358
1016,1631016,Porto de Mós,3703,528,268,1737,758,42
1002,1641002,Alvaiázere,115653,559,327,9170,4004,17
1003,1641003,Ansião,61549,1005,1376,123136,53785,109
601,1640601,Arganil,2449,607,132,38270,16716,41
1007,1641007,Castanheira de Pêra,270,23,0,266,116,0
1008,1641008,Figueiró dos Vinhos,1478,258,187,1023,446,12
