Muni_ID,ID,Muni,leaching_mg,drainage,nloading
502,1690502,Castelo Branco,183574498024.101,29562887674.0648,6.20963
505,1690505,Idanha-a-Nova,288970550675.963,49059952964.533,5.89015
507,1690507,Penamacor,67469997851.5917,7552015021.95304,8.93404
511,1690511,Vila Velha de Ródão,44606171334.1369,9603595965.06103,4.64474
501,16A0501,Belmonte,22753681287.9184,3429990070.17495,6.63375
503,16A0503,Covilhã,62967666082.0075,7518797693.02052,8.3747
504,16A0504,Fundão,158714587379.531,14628383054.6061,10.84977
1001,16B1001,Alcobaça,211902009144.16,22154824888.2788,9.5646
1101,16B1101,Alenquer,304435413162.565,15082768624.022,20.18432
1102,16B1102,Arruda dos Vinhos,48627392305.1595,2905905467.60153,16.73399
1005,16B1005,Bombarral,26205327285.4318,8083042116.48664,3.24201
1104,16B1104,Cadaval,44245905455.4459,8844307840.10736,5.00276
1006,16B1006,Caldas da Rainha,115711357236.356,10227569565.2219,11.31367
1108,16B1108,Lourinhã,152511681958.441,9981546826.24481,15.27936
1011,16B1011,Nazaré,12660781808.8499,2215870283.33064,5.71368
1012,16B1012,Óbidos,39640183713.0218,8369583918.51775,4.73622
1014,16B1014,Peniche,74725160606.198,5199536217.08619,14.3715
1112,16B1112,Sobral de Monte Agraço,43599560295.2944,3278600758.53647,13.29822
1113,16B1113,Torres Vedras,156928436403.476,21905265673.9793,7.16396
1401,16C1401,Abrantes,124113145358.686,27525926052.1613,4.50895
1402,16C1402,Alcanena,28587940344.3091,11013960968.9702,2.59561
1408,16C1408,Constância,6911842661.51533,2309917096.82698,2.99225
1410,16C1410,Entroncamento,1809563360.43183,384815576.516656,4.70242
1411,16C1411,Ferreira do Zêzere,71386293530.3627,8358475367.69656,8.54059
1421,16C1421,Ourém,84881327845.0437,11168690785.885,7.59994
1417,16C1417,Sardoal,11361729641.5502,708953020.8955,16.02607
1418,16C1418,Tomar,71727022597.4058,7393904625.27106,9.70083
1419,16C1419,Torres Novas,135521623819.596,11987398861.4276,11.30534
1420,16C1420,Vila Nova da Barquinha,2069904256.82764,766845134.629253,2.69925
1115,1711115,Amadora,0,206643451.906427,0
1105,1711105,Cascais,9451444241.39762,530430757.794208,17.81843
1106,1711106,Lisboa,0,0,0
1107,1711107,Loures,76459268791.1797,4368933220.36052,17.50067
1109,1711109,Mafra,125474232511.09,12088996815.571,10.37921
1116,1711116,Odivelas,0,227096709.774799,0
1110,1711110,Oeiras,19708622504.3733,773854144.113827,25.46814
1111,1711111,Sintra,105411119043.574,9633135182.5443,10.94256
1114,1711114,Vila Franca de Xira,154762205747.393,19957010281.7142,7.75478
1502,1721502,Alcochete,19430178927.8604,6133040761.96448,3.16812
1503,1721503,Almada,12402592458.9866,860082433.55532,14.42024
1504,1721504,Barreiro,956234832.55101,386236377.610976,2.47578
1506,1721506,Moita,0,2825870004.29593,0
1507,1721507,Montijo,78897735061.9951,24273534124.9537,3.25036
1508,1721508,Palmela,100449506602.127,32297562678.2932,3.11013
1510,1721510,Seixal,3277362161.17872,1383983610.62419,2.36806
