aquifer_ID,leaching_mg,drainage,nloading,gw_type,recharge,prec
1,78684517893.7945,7337632168.23125,10.72342,Ind,7,365.003791976271
2,35616190319.2573,1381773353.61432,25.77571,Ind,7.5,520.774163910909
3,1858646265084.89,81813267446.8595,22.71815,Ind,3,481.423874519456
4,3007435246.67776,266695494.533617,11.27666,Ind,10,842.901843625
5,170383370583.728,1732298919.62353,98.3568,Ind,1,356.16523079163
6,235049834044.685,6345209139.62465,37.04367,Ind,5,716.68904086097
7,353313221427.77,10456122006.9817,33.79008,Ind,5,422.499265697488
8,40889707064.2082,3506984347.42658,11.65951,Aq,29,306.405558777551
9,33513368350.9536,868895288.002828,38.57009,Aq,24.8,470.1218893
11,8255638711.21596,3299762310.54983,2.50189,Ind,22.3,503.002100137317
12,211523712682.657,103785136516.833,2.03809,Ind,27,463.996319590909
13,225826988375.322,83668484364.1709,2.69907,Aq,30,455.13505982093
14,20199692218.1699,2077131325.61919,9.7248,Ind,5,594.592886364348
15,33187414884.2813,1117016578.33771,29.71076,Aq,31.0237849,493.072998382609
16,47635468581.8903,2792912021.64186,17.05584,Ind,5,657.444273584422
17,20365102703.7131,5564766607.55313,3.65965,Aq,19.348659,650.145568073333
18,46110761934.8224,3036398737.78386,15.186,Aq,14.6,597.00584466383
19,4361852926.85709,851400160.31715,5.12315,Aq,44.55958549,596.19694292
20,71694748859.6389,3342862941.11333,21.44711,Aq,13.8,470.50635929697
21,38065565357.2951,9522744035.45356,3.99733,Aq,11.7,877.777812005028
22,12406509692.5363,5095142895.97697,2.43497,Ind,14.94522692,836.518659853659
23,64518781325.4801,16696696350.1567,3.86416,Aq,38.3,704.654220244445
24,20935626768.299,4029793670.48625,5.19521,Aq,11.24,776.305274691358
25,32127908593.2655,3882278139.17578,8.27553,Aq,13.94052045,760.189997780556
26,14055123377.2584,1494495622.65311,9.40459,Aq,22.5,697.118012405263
27,32193206724.386,16780396521.1142,1.9185,Aq,20.23411371,828.324760385256
28,1781084398.63383,1896113354.72102,0.93933,Aq,62,338.39308866
29,180514785439.276,34972852812.5523,5.16157,Aq,61,467.938326457987
30,15149399774.66,9083974856.21835,1.66771,Aq,26,432.002840277778
31,3622744804.27939,296027142.909713,12.23788,Aq,31,435.116726175
32,53719381758.3351,34301829714.2833,1.56608,Aq,36,739.7260060125
33,184089385335.285,9424902301.78892,19.53223,Ind,9,406.353053384276
34,500913858852.825,35249047425.2767,14.21071,Ind,16,410.622446429342
35,52190724274.3489,9297139810.77402,5.61363,Aq,48,500.292357847788
36,861846173.975903,85260056.0944925,10.10844,Aq,46,887.20558965
37,17425573390.7822,4601420847.52499,3.787,Aq,25,661.6703509625
38,66878299645.5006,10173536642.7182,6.57375,Aq,48,535.133541274444
39,583337709884.552,120876909726.28,4.82588,Ind,6.3,742.756932364815
40,1582662816138.99,147870382147.558,10.70304,Ind,5.4,640.210987446311
41,509638674181.71,40362383605.7519,12.62658,Ind,5.2,460.809276297137
42,853823175560.185,63289068992.1153,13.49085,Ind,5,636.753639576941
43,100226216807.778,66089437621.2308,1.51652,Ind,23,538.220828161486
44,518629598992.906,56849839020.1228,9.1228,Aq,18,507.245435332093
45,717133736181.218,363096689159.324,1.97505,Aq,26,566.796397661596
46,363029858308.265,89873650998.7791,4.03934,Aq,33,552.489042288462
47,10623839769.9469,2336183599.90794,4.54752,Aq,25,775.8134167
48,2959982167.77356,3296180533.86471,0.898,Aq,50,761.8244436
50,1569645933.40502,320837200.129144,4.89234,Ind,20,594.641582525
51,37068103387.8801,427496536.01061,86.70972,Aq,10.75268817,387.654950886364
52,37375145245.893,1138546878.8564,32.82706,Ind,7.5,511.838258983607
53,196899150199.482,12292216634.8442,16.0182,Ind,7.5,426.451276341122
54,146021524838.193,15648125797.3747,9.33157,Ind,7.5,359.087596306531
55,81583240946.1535,22848260074.1517,3.57065,Aq,38,335.63192236
56,2115687024.72933,2626726203.29328,0.80545,Aq,15.6,931.225200114286
57,40690881572.3292,1335842053.04846,30.46085,Ind,5,746.130416489855
58,19555456208.1701,3184836306.41329,6.14018,Ind,10,709.608467440385
59,214455302951.35,32267227826.9658,6.64623,Aq,20,433.938701833333
60,23051905383.635,3072716265.73442,7.50213,Ind,20,775.151385552
61,143815452149.376,8571710742.20011,16.77792,Ind,10,740.748642513793
62,1274861310.42303,2716428966.07171,0.46932,Aq,50,582.6745436
63,16985797155.5547,769658903.436478,22.06925,Aq,28,364.480469093333
64,68946652871.3248,5516810521.31615,12.49756,Aq,10,366.62147158
65,127054159270.294,35299740338.3733,3.59929,Aq,45,727.400282154237
66,6801306771.37185,8402765025.4515,0.80941,Aq,50,537.660235423684
67,2544452002.69926,2300961683.26228,1.10582,Aq,50,412.683371558333
68,16927255225.8708,4522873050.63005,3.74259,Aq,40,783.31485804375
69,1654567749.56517,419838596.708067,3.94096,Aq,25,621.242730485714
70,60213185598.6484,4796799446.04542,12.55278,Aq,20,766.847671809677
71,1862314998.53163,319258866.096622,5.83324,Aq,50,626.3160664
72,8302132184.8336,2569127371.31828,3.2315,Aq,25,753.436727046154
73,4614011258.508,507137013.460172,9.09816,Ind,7,482.183202958095
74,56155056489.9879,1853964117.6076,30.28918,Aq,19,415.474442324074
75,13289465498.0194,4736520136.28238,2.80574,Aq,48.6,682.852206633333
76,10201016877.3149,2162837702.0584,4.7165,Aq,50,744.738822
77,8999640114.95816,3320236241.35416,2.71054,Aq,35,794.7456956
78,4407030285.47194,1556696058.73174,2.83102,Aq,40,889.4582952
79,256513890.31499,36568260.4846282,7.01466,Ind,5,709.1149765
80,9336813595.34285,664742776.28316,14.04575,Aq,16,741.598090890476
81,196426162.574351,54826952.381271,3.58266,Aq,58,378.6127842
82,21621252092.8758,3493383505.6951,6.1892,Aq,16.2,750.8923072
83,22401338075.7685,1513512994.39011,14.80089,Aq,18,575.796856714286
84,19820684763.6501,3284757862.7651,6.03414,Aq,26,642.335791007143
85,1455423826845.41,293274849323.842,4.96266,Ind,9,463.87631583845
86,469020139.373872,59421982.6741749,7.89304,Aq,50,317.08192615
87,542042609.20159,128142317.133329,4.23,Aq,41,362.945973053846
88,1660391039.34356,1483917602.71511,1.11892,Aq,38.4,501.158049552632
89,32592403092.1038,728316202.839325,44.75035,Ind,17.64705882,366.536212153333
90,33622167169.6713,9146897395.32671,3.6758,Aq,27.3,365.25013726
91,50165584551.3021,3870895209.75407,12.95969,Ind,16.53992395,553.985831332143
92,7515192259.22655,1377822137.13216,5.4544,Aq,28,593.760310875
93,133674840481.83,15887640490.7219,8.41376,Ind,5.5,425.419474527844
