CAA_ID,drainage,leaching,nloading
1,559127935.527392,1667931669.36396,2.98
2,16343153.3413784,62492616.5329,3.82
3,1035473455.03791,3344417327.9435,3.23
4,2976.08520996633,0,0
5,4109276068.10697,8863172871.6538,2.16
6,5956335.44302354,19323003.22428,3.24
7,77965147.442387,263422841.871585,3.38
8,135714.700209533,0,0
9,23024824.9576288,63367112.3879631,2.75
10,437905437.842903,1568851054.91696,3.58
11,46718265.7243073,153215411.725499,3.28
12,20934156.8126884,30467639.941275,1.46
13,1494632.20049685,6363984.35256,4.26
14,432831972.062483,1184629418.35849,2.74
15,111634671.62347,351431633.023844,3.15
16,46631563.2043273,197819414.653215,4.24
17,1319089381.64856,3377472496.60908,2.56
18,28080591.6166411,63944171.777772,2.28
19,35150395.1607964,134347236.02453,3.82
20,22336364.7250871,79710660.4451722,3.57
21,23157920.4979782,24020175.4041512,1.04
22,1816998.71077937,4021912.59029339,2.21
23,8006847.0376835,31606776.663,3.95
24,77297970.4357557,122701921.6038,1.59
25,24390047113.4613,78636496341.8664,3.22
26,294754997.179678,955148914.063344,3.24
27,51785100.2784238,185383007.157882,3.58
28,38731630.3500473,160919495.527218,4.15
29,73855637.2074795,296951885.217577,4.02
30,15096509.3116605,32475014.7722991,2.15
31,32441341.8414531,42731273.7042688,1.32
32,10902.5148113531,0,0
33,15078147.8849049,18862072.6922495,1.25
34,43309088.249356,161324241.210475,3.72
35,34917615.4563965,79032397.8836292,2.26
36,26155105.3253008,88845913.1197088,3.4
37,13038567.6250096,42221544.57608,3.24
38,22102396.538423,86204320.7905222,3.9
39,14269470.5613654,49108809.8863,3.44
40,22896617.4761973,85100807.9496958,3.72
41,28007070.5838513,89053854.0022593,3.18
42,12797634.35887,49363649.5431,3.86
43,113866881.085643,56060428.24602,0.49
44,38548933.9271474,148040850.696414,3.84
45,34835553.7774278,75284405.0383104,2.16
46,61290122.0901341,90983802.100247,1.48
47,19560469.0375155,69383206.0172503,3.55
48,9646088.45910701,2276907.8559136,0.24
49,29264178.5057168,5964235.5744,0.2
50,696158.409933201,1598680.23951,2.3
51,46044408.8869526,98456386.0248864,2.14
52,12894771.3542765,49517112.6185,3.84
53,29087352.3548375,99352397.479536,3.42
54,20899144.7008649,89500510.5271214,4.28
55,3780176.20460661,3642746.64604407,0.96
56,44466.4169573197,0,0
57,5354.15162063238,0,0
