aquifer_ID,leaching_mg,drainage,nc,gw_type,recharge
1,76861197185.082,7750556138.95296,9.91686219764164,Ind,7
2,69296886.8529912,2266367573.9739,0.0305761905741902,Ind,7.5
3,2282588080647.52,122375197824.461,18.6523750010335,Ind,3
4,2111311699.72763,513700752.161622,4.11000313089549,Ind,10
5,121484732282.802,2603989621.70046,46.6533089342613,Ind,1
6,215147284111.225,8251746887.75393,26.072937892765,Ind,5
7,543098085161.213,34931115475.5807,15.5476880072976,Ind,5
8,54082267616.8477,10708731460.8964,5.05029636930689,Aq,29
9,28599840056.5379,2773830476.6021,10.3105940675842,Aq,24.8
10,59770678.4751429,9188656.42834108,6.50483331717453,Aq,13.3
11,24446800113.3687,4836961015.48348,5.05416521553774,Ind,22.3
12,344104251745.876,120956780308.749,2.84485293728497,Ind,27
13,358124921193.363,158231758779.49,2.26329356354081,Aq,30
14,66564882096.386,3509504830.82352,18.9670296253065,Ind,5
15,27724503666.8084,2979283862.07667,9.30576103194257,Aq,31
16,91470702522.0417,3119277418.32127,29.3243242761234,Ind,5
17,27834038175.2112,23386757460.7612,1.19016234815415,Aq,19.3
18,103271185685.898,6178137146.19604,16.7155864692132,Aq,14.6
19,9577320819.56129,2512938533.16008,3.81120377326443,Aq,44.6
20,171691210560.57,12151674407.3622,14.1290166939092,Aq,13.8
21,51483749852.4513,17807091745.7057,2.89119360913423,Aq,11.7
22,41218016695.3577,9623599782.05834,4.28301442587025,Ind,14.9
23,84552858660.072,43341723352.5937,1.95084210132157,Aq,38.3
24,48293719415.7869,12758997056.1,3.78507175786971,Aq,11.2
25,41042910807.8624,9420504374.70071,4.35676362701825,Aq,13.9
26,36696321105.3614,4395936787.64567,8.34778179897688,Aq,22.5
27,45638767266.6567,30786305122.4281,1.48243730727558,Aq,20.2
28,3854523630.23492,4382468913.48998,0.879532452214332,Aq,62
29,168213341252.615,64914767938.8303,2.5912954261983,Aq,61
30,28035506430.956,16341916307.8302,1.71555807182312,Aq,26
31,7802002674.36976,944836657.043829,8.25751479497037,Aq,31
32,88587014729.6188,32721762936.6645,2.70728123362686,Aq,36
33,597822378917.716,27854666740.3828,21.4621982194105,Ind,9
34,919541839023.793,92318979786.3134,9.96048527780761,Ind,16
35,116857176065.745,16897881635.8086,6.91549263891816,Aq,48
36,1548517865.80906,212280466.41034,7.29467902532193,Aq,46
37,11128177438.5793,2506199801.83964,4.44025948386509,Aq,25
38,95772257664.4453,23907350520.5668,4.00597538326363,Aq,48
39,1023986672568.42,102267498062.407,10.0128260881434,Ind,6.3
40,2780231349329.07,232106855383.68,11.9782388363035,Ind,5.4
41,842359993233.447,66370990982.619,12.6916892570437,Ind,5.2
42,1316533750929.09,139389814304.872,9.44497815349396,Ind,5
43,211404939033.253,89733454627.5723,2.35592109888852,Ind,23
44,1023001772335.7,82471298177.5538,12.404336962579,Aq,18
45,1178356053206.44,519450875714.51,2.26846485066677,Aq,26
46,489339054031.828,139506784938.46,3.50763623609911,Aq,33
47,17252079816.6853,2391320577.83174,7.21445713996579,Aq,25
48,2879288563.68656,4019266815.36572,0.716371591126768,Aq,50
49,500751661.519342,273556439.620052,1.83052412224273,Aq,38
50,4471829426.63841,536349928.200457,8.33752218750572,Ind,20
51,36708799192.2211,1232982534.70103,29.7723594285318,Aq,10.8
52,23745506102.6668,4361172023.63586,5.44475337683893,Ind,7.5
53,143792235059.753,20332590319.1437,7.07200768828599,Ind,7.5
54,123530939696.308,24973241391.6255,4.94653208044242,Ind,7.5
55,118970835237.325,73469884473.8192,1.61931430938509,Aq,38
56,3697536305.25368,1047044825.56896,3.53140210902092,Aq,15.6
57,54706921482.8649,1623431993.64349,33.6983142484987,Ind,5
58,65853332614.5231,2957056032.373,22.2698967803044,Ind,10
59,296858445694.391,79403276973.9017,3.73861705722753,Aq,20
60,40642485917.8132,3924369057.57942,10.3564382761905,Ind,20
