aquifer_ID,leaching_mg,drainage,nloading,gw_type,recharge,prec
1,78105947489.1671,7750556138.95296,10.07746,Ind,7,505.158618154321
2,45969402.8344104,2266367573.9739,0.02028,Ind,7.5,825.68361345303
3,2352981935906.4,122375197824.461,19.2276,Ind,3,680.372088953469
4,2239657304.57357,513700752.161622,4.35985,Ind,10,1069.24597349143
5,126391265133.723,2603989621.70046,48.53755,Ind,1,577.023352170046
6,209104143170.749,8251746887.75393,25.34059,Ind,5,893.053501815942
7,525809053078.616,34931115475.5807,15.05274,Ind,5,1042.46220235637
8,60331263824.7909,10708731460.8964,5.63384,Aq,29,839.174021915385
9,29635384106.2378,2773830476.6021,10.68392,Aq,24.8,1023.837944796
10,88518298.463743,9188656.42834108,9.63343,Aq,13.3,1665.99639014
11,21466835906.1483,4836961015.48348,4.43808,Ind,22.3,544.9232529325
12,332794545163.526,120956780308.749,2.75135,Ind,27,828.055449795455
13,330932220606.342,158231758779.49,2.09144,Aq,30,765.035511105556
14,67657691413.7666,3509504830.82352,19.27842,Ind,5,846.224248355789
15,30131461080.7272,2979283862.07667,10.11366,Aq,31,832.443651053333
16,95326376433.6213,3119277418.32127,30.5604,Ind,5,867.109144057325
17,258818215.184525,23386757460.7612,0.01107,Aq,19.3,2073.55267038462
18,56596274718.7513,6178137146.19604,9.16073,Aq,14.6,1258.93137341538
19,4189508995.65165,2512938533.16008,1.66718,Aq,44.6,1421.66946134
20,107760713857.917,12151674407.3622,8.86797,Aq,13.8,987.620250813223
21,30106324238.7074,17807091745.7057,1.69069,Aq,11.7,1284.52261264125
22,17371175825.9071,9623599782.05834,1.80506,Ind,14.9,1321.82069959273
23,39748166545.5617,43341723352.5937,0.91709,Aq,38.3,1759.34955125676
24,49786937561.909,12758997056.1,3.9021,Aq,11.2,1451.70803819831
25,35087802378.5964,9420504374.70071,3.72462,Aq,13.9,1657.35904143966
26,13935447626.3383,4395936787.64567,3.17007,Aq,22.5,1607.84516928571
27,17118365018.9235,30786305122.4281,0.55604,Aq,20.2,1366.01245970881
28,3201680996.0561,4382468913.48998,0.73057,Aq,62,806.9106737
29,160393013541.417,64914767938.8303,2.47082,Aq,61,736.561926639801
30,29155345951.3832,16341916307.8302,1.78408,Aq,26,886.088427033333
31,7774390555.00837,944836657.043829,8.22829,Aq,31,870.007068033333
32,89079681730.9649,32721762936.6645,2.72234,Aq,36,573.601573864286
33,599934035797.928,27854666740.3828,21.53801,Ind,9,762.361015867494
34,979049240918.017,92318979786.3134,10.60507,Ind,16,823.88897091769
35,61337349702.7281,16897881635.8086,3.62988,Aq,48,841.094062213636
36,1604930211.11155,212280466.41034,7.56042,Aq,46,705.3184355
37,12002008497.7347,2506199801.83964,4.78893,Aq,25,797.478603014634
38,83665081905.8778,23907350520.5668,3.49955,Aq,48,983.999341217778
39,984471023253.988,102267498062.407,9.62643,Ind,6.3,898.274120276866
40,2758733054419.96,232106855383.68,11.88562,Ind,5.4,772.493619222654
41,792167297041.467,66370990982.619,11.93544,Ind,5.2,826.996953106696
42,1341968193700.4,139389814304.872,9.62745,Ind,5,923.687196430278
43,223019175362.988,89733454627.5723,2.48535,Ind,23,829.315081552027
44,1038285603285.59,82471298177.5538,12.58966,Aq,18,692.917242390826
45,1246808817936.96,519450875714.51,2.40024,Aq,26,717.924352569559
46,517453281673.183,139506784938.46,3.70916,Aq,33,751.05154558625
47,17387813203.9164,2391320577.83174,7.27122,Aq,25,812.3348229
48,2951551506.28616,4019266815.36572,0.73435,Aq,50,774.5644954
49,1046726617.46239,273556439.620052,3.82636,Aq,38,707.5597898
50,5198004525.24719,536349928.200457,9.69144,Ind,20,627.621387485714
51,39478082067.7478,1232982534.70103,32.01836,Aq,10.8,682.137340047826
52,874.67215854,4361172023.63586,0,Ind,7.5,932.413571815517
53,136367988555.982,20332590319.1437,6.70687,Ind,7.5,695.161031048344
54,117756832663.949,24973241391.6255,4.71532,Ind,7.5,730.818949894686
55,119357475113.473,73469884473.8192,1.62458,Aq,38,1073.4587988
56,3703871596.26051,1047044825.56896,3.53745,Aq,15.6,773.1396308
57,58569626888.6082,1623431993.64349,36.07766,Ind,5,754.175533413793
58,75938782233.2782,2957056032.373,25.68054,Ind,10,701.987102351724
59,293035037397.62,79403276973.9017,3.69047,Aq,20,1437.39163685714
60,41626322785.37,3924369057.57942,10.60714,Ind,20,795.105850488235
61,236534315569.051,10645680482.8154,22.21881,Ind,10,739.627767076191
62,2377640712.0652,1581329903.06857,1.50357,Aq,50,699.7251704
63,24090492834.6447,4329058933.72329,5.56483,Aq,28,788.36943703125
64,117189169374.938,14049450327.0679,8.34119,Aq,10,893.0058607
65,209009346650.574,43930038648.8972,4.75778,Aq,45,779.08319857381
66,24384720260.4985,19263989515.106,1.26582,Aq,50,589.167666064516
67,3429142117.14629,5284208005.74345,0.64894,Aq,50,641.873925353333
68,23523408462.1717,4714971197.88498,4.98909,Aq,40,811.885917493333
69,5831239671.38645,809588051.090921,7.20272,Aq,25,633.010623333333
70,102494718944.824,7955119382.61039,12.88412,Aq,20,764.564898705882
71,5514949447.11861,925926253.651902,5.95614,Aq,50,679.2943485
72,12943473479.9472,2007458902.3705,6.44769,Aq,25,830.809359463637
73,13476702278.8121,1118601664.73964,12.04781,Ind,7,798.954837259091
74,57232179632.7835,4848547606.67737,11.80398,Aq,19,646.236245085714
75,48608533955.7121,5379415358.66003,9.03603,Aq,48.6,587.38743553125
76,18698244922.4333,2783254033.18935,6.71812,Aq,50,690.863427933333
77,24143391239.2943,4530285366.93553,5.32933,Aq,35,848.09389681
78,5938147068.80742,1307986683.98571,4.53991,Aq,40,736.437407
79,871950993.473215,35163489.0651026,24.79706,Ind,5,625.5847569
80,33778153877.8721,1543424861.00331,21.88519,Aq,16,694.9974702
81,821024353.646071,202488369.968238,4.05467,Aq,58,868.507656
82,46197506946.6041,4289694161.49278,10.76942,Aq,16.2,750.560941125
83,35419708675.7937,2765926818.88469,12.80573,Aq,18,784.9855586
84,43694954259.5285,5539757584.13092,7.88752,Aq,26,773.205894822222
85,2840706976945.36,428343257398.338,6.63185,Ind,9,780.933372777518
86,2805535733.04799,709734112.509899,3.95294,Aq,50,866.717689738889
87,1565346404.43002,363500586.712518,4.30631,Aq,41,837.954519157143
88,511835983.00218,5564411242.53398,0.09198,Aq,38.4,1805.1728946
89,74363240359.3721,5184462112.17882,14.34348,Ind,17.6,738.778968242857
90,58573585847.9956,28533126344.2447,2.05283,Aq,27.3,935.828286722222
91,78245981012.5093,15337544582.0099,5.1016,Ind,16.5,1476.80965936891
92,13310757694.9189,1824895941.37092,7.29398,Aq,28,801.1169128
93,279940588631.357,43933638346.7913,6.3719,Ind,5.5,1004.01082176724
