CAA_ID,drainage,leaching,nloading
1,11659492.5281869,83201673.3244875,7.14
2,6873319.22237572,141417112.313024,20.57
3,9905908.45635623,269589087.1026,27.21
4,22865992.2722902,106095926.807264,4.64
5,8496412.45363232,349395053.852415,41.12
6,399701.469534461,8959583.358681,22.42
7,10046537.5064353,290675534.94459,28.93
8,6272704.29418191,249774969.432696,39.82
9,6114729.50854497,128443264.341064,21.01
10,6621292.91552202,202858666.74928,30.64
11,139057779.314369,1223051275.40469,8.8
12,17079034.1517201,337508971.824733,19.76
13,7908980.60096144,219332686.28666,27.73
14,6524184.16739094,185533546.978633,28.44
15,16881624.3533509,355957647.792485,21.09
16,7810392.35020648,271722628.232998,34.79
17,20886820.4436568,149910238.478742,7.18
18,5215054.19113888,109098370.536532,20.92
19,15941442.325943,627689313.678932,39.37
20,42196685.4515971,396371551.4455,9.39
21,40998331.2782195,429771773.366566,10.48
22,31239430.0193499,108538558.773428,3.47
23,17756550.4582559,435408296.058326,24.52
24,27688676.8967312,1214088629.35372,43.85
25,55605285.9079594,595055379.249715,10.7
26,7046945.93808792,252057599.908747,35.77
27,20057756.1734677,33601153.879386,1.68
28,28736011.747872,154440403.391464,5.37
29,18735524.2508968,463795308.83793,24.75
30,87594797.888717,72170764.8393122,0.82
31,6126469.64118189,271315452.83985,44.29
32,83793420.48616,550507245.337183,6.57
33,5985115.89563366,252211577.916635,42.14
34,8081811.13790705,346892093.271366,42.92
35,37470900.2667892,235853967.56976,6.29
36,65451978.0522786,549520898.396583,8.4
37,15995.2150022956,0,0
38,2436135.55499416,24267779.1388575,9.96
39,14238158.7359905,467664403.43728,32.85
40,17291638.8161232,178479044.183301,10.32
41,5713623.86584276,200823811.156734,35.15
42,22438550.7142922,174913236.090028,7.8
43,17805806.6555667,145258520.718644,8.16
44,67728727.8716325,727167653.436096,10.74
45,11748964.9384342,420039951.411148,35.75
46,12978233.6380167,477042037.09364,36.76
47,28365997.7647574,505032955.130671,17.8
48,22156803.8125301,220621096.509484,9.96
49,11081228.3667127,471507397.83342,42.55
50,32627984.4369603,240962771.349986,7.39
51,24492164.2902552,175228785.301937,7.15
52,18169159.5922997,700618170.262886,38.56
53,357503263.918107,3596973937.45334,10.06
54,100895364.216849,1005313578.6851,9.96
55,1513317465.16947,11499977894.5126,7.6
56,57542206.0602517,574724869.874235,9.99
57,136070910.274167,1592625729.0675,11.7
58,639111335.163797,517842395.84577,0.81
59,37675259.1307628,40849044.0519535,1.08
60,8087198.17652617,9381147.8647572,1.16
61,9038211.74163342,18097599.1553092,2
62,9633535.19838632,20015857.5806684,2.08
63,12956236.3232978,1185752.5890784,0.09
64,23669087.4720586,46659980.06244,1.97
65,7829268.8878395,8179810.355864,1.04
66,22426229.5855937,36867559.6658825,1.64
67,9794407.01429264,13022177.0404974,1.33
68,28048883.4129369,40481942.1339288,1.44
69,14386421.313986,5974239.262929,0.42
70,8312665.26792007,17720485.7993856,2.13
71,48051660.5967532,24279704.4342138,0.51
72,22843615.8969879,28756732.2710831,1.26
73,21660189.4878429,25386593.484658,1.17
74,22020065.5003802,43726564.5666458,1.99
75,3374004133.52001,1380113530.88561,0.41
76,11437349.6297538,107277042.794746,9.38
77,45381586.2612941,190331326.422599,4.19
78,21079786.5667393,88367029.6236157,4.19
79,15628872.7770378,91100016.5244299,5.83
80,78019126.440292,276036224.540358,3.54
81,7981140.88251818,61506631.2920368,7.71
82,9690725.49460609,79660581.969618,8.22
83,389329.313136013,3207837.55978,8.24
84,465758730.098076,1066689364.56671,2.29
85,581345005.152658,2168516425.43884,3.73
86,5131172099.81847,23507562051.6445,4.58
87,10123550.7241304,0,0
88,32770041.4983088,0,0
89,1259186.21923404,0,0
90,8486217.89009416,0,0
91,6202417.17490567,0,0
92,1693635.23095079,0,0
93,6514683.43047065,0,0
94,808994.543652595,0,0
95,17107253.4639446,0,0
96,51872.3891711748,0,0
97,8323071.75960009,0,0
98,28176097.9075512,0,0
99,20400011.6420725,0,0
100,7565800.86223537,0,0
101,10934885.4270133,0,0
102,23313653.5486564,0,0
103,9228622.07120696,0,0
104,16743060.1861941,0,0
105,57913869.1774323,0,0
106,9277599.92637931,0,0
107,37513443.3983465,0,0
108,12289127.3994072,0,0
109,7768602.23199116,0,0
110,21262492.5218632,0,0
111,54912765.1211724,0,0
112,9411405.85567292,0,0
113,17067988.839631,0,0
114,6820318.38703249,0,0
115,13177180.4911076,0,0
116,40026734.940568,0,0
117,6939423.98160973,0,0
118,8956861.30268083,0,0
119,12844759.8012621,0,0
120,657161.476990049,0,0
121,20646771.4173082,0,0
122,1935238.60083807,0,0
123,15059095.8856866,0,0
124,42210403.2801497,0,0
125,11500903.8369403,0,0
126,75851297.7341804,0,0
127,110051179.803322,0,0
128,49992813.6841465,0,0
129,276188846.361879,0,0
130,72159285.5900609,0,0
131,48232576.4831912,0,0
132,17237167.9666942,0,0
133,199724636.51161,621066112.138342,3.11
134,15801594.7233257,90859519.83513,5.75
135,43225999.5742169,213836611.995409,4.95
136,16325558.0835977,47120678.1076848,2.89
137,20874350.1451499,107513514.916936,5.15
138,25021203.8230498,40543669.1943992,1.62
139,14512708.3676924,48841743.1291488,3.37
140,96812585.840574,373883267.882937,3.86
141,27188596.7751189,106141139.27973,3.9
142,15921315.3727398,68054921.9563395,4.27
