aquifer_ID,leaching_mg,drainage,nc,gw_type,recharge
1,76336296733.4653,7337632168.23125,10.4033964885795,Ind,7
2,32380081793.6664,1381773353.61432,23.4337141536052,Ind,7.5
3,1824441588741.12,81813267446.8595,22.3000699724669,Ind,3
4,2875850574.07879,266695494.533617,10.7832739323472,Ind,10
5,166683813096.81,1732298919.62353,96.2211609143272,Ind,1
6,246112568641.432,6345209139.62465,38.7871484179308,Ind,5
7,368860423049.394,10456122006.9817,35.2769815427841,Ind,5
8,26997296462.0542,3506984347.42658,7.69815139946798,Aq,29
9,21497578658.5417,868895288.002828,24.7412766018726,Aq,24.8
11,14028358985.5455,3299762310.54983,4.25132408497872,Ind,22.3
12,201854019053.471,103785136516.833,1.94492222902007,Ind,27
13,220028477365.265,83668484364.1709,2.6297653057462,Aq,30
14,19205133468.1819,2077131325.61919,9.24598903849128,Ind,5
15,21578043248.205,1117016578.33771,19.3175675873285,Aq,31.0237849
16,37855478238.1481,2792912021.64186,13.554124850626,Ind,5
17,25757881564.1358,5564766607.55313,4.62874427279201,Aq,19.348659
18,67837702778.1562,3036398737.78386,22.3415001244758,Aq,14.6
19,6412893527.62942,851400160.31715,7.53217326766839,Aq,44.55958549
20,75187230701.7702,3342862941.11333,22.4918676075692,Aq,13.8
21,47057797239.2364,9522744035.45356,4.9416215603442,Aq,11.7
22,24558459324.6315,5095142895.97697,4.8199745965952,Ind,14.94522692
23,66710615649.9313,16696696350.1567,3.99543803462085,Aq,38.3
24,21742624340.4673,4029793670.48625,5.39546838333383,Aq,11.24
25,34923905464.845,3882278139.17578,8.99572472987716,Aq,13.94052045
26,18383366116.4404,1494495622.65311,12.3007159323795,Aq,22.5
27,46695131272.3896,16780396521.1142,2.7827191814946,Aq,20.23411371
28,3920636256.99873,1896113354.72102,2.06772250574417,Aq,62
29,201154474580.444,34972852812.5523,5.75173194073109,Aq,61
30,15852925464.2694,9083974856.21835,1.74515294407904,Aq,26
31,2606570795.95427,296027142.909713,8.80517499285278,Aq,31
32,56178450216.6791,34301829714.2833,1.6377683256146,Aq,36
33,202765777937.324,9424902301.78892,21.5138334005688,Ind,9
34,525151576962.296,35249047425.2767,14.8983196801431,Ind,16
35,106658625114.564,9297139810.77402,11.4721976097382,Aq,48
36,777386574.383961,85260056.0944925,9.1178285588083,Aq,46
37,13914608340.0524,4601420847.52499,3.02398080965291,Aq,25
38,76353157872.6072,10173536642.7182,7.50507523136095,Aq,48
39,589226459691.031,120876909726.28,4.87459897035178,Ind,6.3
40,1532758047258.6,147870382147.558,10.3655514038577,Ind,5.4
41,507072840163.873,40362383605.7519,12.5630053248791,Ind,5.2
42,829498976395.704,63289068992.1153,13.1065125400888,Ind,5
43,106213744113.058,66089437621.2308,1.60712131826247,Ind,23
44,420187728011.581,56849839020.1228,7.39118588995213,Aq,18
45,957411886172.466,363096689159.324,2.63679596855911,Aq,26
46,185437515055.577,89873650998.7791,2.06331347391347,Aq,33
47,9358255551.54872,2336183599.90794,4.00578770945807,Aq,25
48,2594430383.63681,3296180533.86471,0.787102028235963,Aq,50
50,1523372367.37089,320837200.129144,4.74811638662131,Ind,20
51,34907544488.6639,427496536.01061,81.6557364754822,Aq,10.75268817
52,63903275758.9139,1138546878.8564,56.1270483856589,Ind,7.5
53,240624582486.114,12292216634.8442,19.5753613554146,Ind,7.5
54,171509760543.456,15648125797.3747,10.9604027194253,Ind,7.5
55,86609625672.7253,22848260074.1517,3.79064425000602,Aq,38
56,2190300221.95729,2626726203.29328,0.833851742603088,Aq,15.6
57,39328810439.9544,1335842053.04846,29.4412130163173,Ind,5
58,16941598343.9448,3184836306.41329,5.31945654783876,Ind,10
59,194660220472.047,32267227826.9658,6.03275315487031,Aq,20
60,20549925658.7589,3072716265.73442,6.68786958559194,Ind,20
61,136609445418.406,8571710742.20011,15.9372439792972,Ind,10
62,1336474307.953,2716428966.07171,0.491996781305755,Aq,50
63,16855365419.7844,769658903.436478,21.8997861838878,Aq,28
64,61186828589.0505,5516810521.31615,11.0909788097005,Aq,10
65,122762800201.765,35299740338.3733,3.47772530406726,Aq,45
66,7958833704.32238,8402765025.4515,0.947168423752839,Aq,50
67,4851999601.30506,2300961683.26228,2.10868335470321,Aq,50
68,17160144023.2404,4522873050.63005,3.7940804066676,Aq,40
69,1464562565.95306,419838596.708067,3.48839429589519,Aq,25
70,58820621410.0246,4796799446.04542,12.2624725239488,Aq,20
71,1848775131.11488,319258866.096622,5.79083410812892,Aq,50
72,8268744889.05866,2569127371.31828,3.21850328690235,Aq,25
73,4326948806.66531,507137013.460172,8.53211004486291,Ind,7
74,54119724302.956,1853964117.6076,29.1913547781029,Aq,19
75,15755268779.6005,4736520136.28238,3.32633839322523,Aq,48.6
76,10439621226.2171,2162837702.0584,4.82681674000853,Aq,50
77,7220319877.71837,3320236241.35416,2.17464040292915,Aq,35
78,3879015177.87943,1556696058.73174,2.49182565608839,Aq,40
79,221656425.995197,36568260.4846282,6.06144298519127,Ind,5
80,7683624350.69131,664742776.28316,11.5587933029577,Aq,16
81,205772804.196408,54826952.381271,3.7531322690608,Aq,58
82,20600491576.6021,3493383505.6951,5.89700258875616,Aq,16.2
83,20998627162.4408,1513512994.39011,13.8740977053206,Aq,18
84,17904845777.1121,3284757862.7651,5.45088756162984,Aq,26
85,1469808534019.87,293274849323.842,5.01171013269149,Ind,9
86,330798986.816497,59421982.6741749,5.56694630386785,Aq,50
87,459658044.239997,128142317.133329,3.58709015509478,Aq,41
88,4989903443.13213,1483917602.71511,3.36265533477206,Aq,38.4
89,27334697637.7484,728316202.839325,37.5313600482656,Ind,17.64705882
90,31519253002.8587,9146897395.32671,3.4458955469384,Aq,27.3
91,64878242091.0627,3870895209.75407,16.7605265902263,Ind,16.53992395
92,5143251160.6976,1377822137.13216,3.73288468960362,Aq,28
93,122737017558.978,15887640490.7219,7.72531438073853,Ind,5.5
