"","Muni_ID","ID","Muni","CLC_LU_area[ha]","statistics_lu$sum"
"1",1601,"1111601","Arcos de Valdevez",0,1408
"2",1602,"1111602","Caminha",0,74
"3",1603,"1111603","Melgaço",0,385
"4",1604,"1111604","Monção",0,243
"5",1605,"1111605","Paredes de Coura",0,1116
"6",1606,"1111606","Ponte da Barca",0,343
"7",1607,"1111607","Ponte de Lima",0,229
"8",1608,"1111608","Valença",0,185
"9",1609,"1111609","Viana do Castelo",0,33
"10",1610,"1111610","Vila Nova de Cerveira",0,38
"11",301,"1120301","Amares",0,127
"12",302,"1120302","Barcelos",0,51
"13",303,"1120303","Braga",0,167
"14",306,"1120306","Esposende",0,6
"15",310,"1120310","Terras de Bouro",0,530
"16",313,"1120313","Vila Verde",0,581
"17",307,"1130307","Fafe",0,841
"18",308,"1130308","Guimarães",0,121
"19",309,"1130309","Póvoa de Lanhoso",0,212
"20",1314,"1131314","Santo Tirso",0,71
"21",1318,"1131318","Trofa",0,28
"22",311,"1130311","Vieira do Minho",0,1469
"23",312,"1130312","Vila Nova de Famalicão",0,78
"24",314,"1130314","Vizela",0,10
"25",107,"1140107","Espinho",0,0
"26",1304,"1141304","Gondomar",0,27
"27",1306,"1141306","Maia",0,45
"28",1308,"1141308","Matosinhos",0,58
"29",1312,"1141312","Porto",0,6
"30",1313,"1141313","Póvoa de Varzim",0,10
"31",1315,"1141315","Valongo",0,3
"32",1316,"1141316","Vila do Conde",0,10
"33",1317,"1141317","Vila Nova de Gaia",0,35
"34",1301,"1151301","Amarante",0,176
"35",1302,"1151302","Baião",0,506
"36",304,"1150304","Cabeceiras de Basto",0,1705
"37",106,"1150106","Castelo de Paiva",0,40
"38",305,"1150305","Celorico de Basto",0,168
"39",1804,"1151804","Cinfães",0,745
"40",1303,"1151303","Felgueiras",0,29
"41",1305,"1151305","Lousada",0,18
"42",1307,"1151307","Marco de Canaveses",0,180
"43",1705,"1151705","Mondim de Basto",0,340
"44",1309,"1151309","Paços de Ferreira",0,25
"45",1310,"1151310","Paredes",0,7
"46",1311,"1151311","Penafiel",0,30
"47",1813,"1151813","Resende",0,214
"48",1709,"1151709","Ribeira de Pena",0,979
"49",104,"1160104","Arouca",0,311
"50",113,"1160113","Oliveira de Azeméis",0,11
"51",109,"1160109","Santa Maria da Feira",0,15
"52",116,"1160116","São João da Madeira",0,0
"53",119,"1160119","Vale de Cambra",0,156
"54",1701,"1171701","Alijó",0,9
"55",1801,"1171801","Armamar",0,11
"56",403,"1170403","Carrazeda de Ansiães",0,11
"57",404,"1170404","Freixo de Espada à Cinta",0,0
"58",1805,"1171805","Lamego",0,204
"59",1704,"1171704","Mesão Frio",0,0
"60",1807,"1171807","Moimenta da Beira",0,230
"61",1812,"1171812","Penedono",0,175
"62",1708,"1171708","Peso da Régua",0,8
"63",1710,"1171710","Sabrosa",0,16
"64",1711,"1171711","Santa Marta de Penaguião",0,0
"65",1815,"1171815","São João da Pesqueira",0,43
"66",1818,"1171818","Sernancelhe",0,247
"67",1819,"1171819","Tabuaço",0,5
"68",1820,"1171820","Tarouca",0,81
"69",409,"1170409","Torre de Moncorvo",0,0
"70",410,"1170410","Vila Flor",42,52
"71",914,"1170914","Vila Nova de Foz Côa",0,3
"72",1714,"1171714","Vila Real",0,514
"73",401,"1180401","Alfândega da Fé",37,43
"74",1702,"1181702","Boticas",0,2734
"75",402,"1180402","Bragança",0,1637
"76",1703,"1181703","Chaves",0,1276
"77",405,"1180405","Macedo de Cavaleiros",52,329
"78",406,"1180406","Miranda do Douro",2446,23
"79",407,"1180407","Mirandela",0,92
"80",408,"1180408","Mogadouro",74,4
"81",1706,"1181706","Montalegre",0,6537
"82",1707,"1181707","Murça",0,24
"83",1712,"1181712","Valpaços",0,207
"84",1713,"1181713","Vila Pouca de Aguiar",0,1674
"85",411,"1180411","Vimioso",179,46
"86",412,"1180412","Vinhais",0,2279
"87",101,"1610101","Águeda",0,19
"88",102,"1610102","Albergaria-a-Velha",0,7
"89",103,"1610103","Anadia",0,16
"90",105,"1610105","Aveiro",0,11
"91",108,"1610108","Estarreja",0,97
"92",110,"1610110","Ílhavo",0,3
"93",111,"1610111","Mealhada",0,4
"94",112,"1610112","Murtosa",0,14
"95",114,"1610114","Oliveira do Bairro",0,10
"96",115,"1610115","Ovar",0,17
"97",117,"1610117","Sever do Vouga",0,64
"98",118,"1610118","Vagos",0,4
"99",602,"1620602","Cantanhede",0,31
"100",603,"1620603","Coimbra",0,77
"101",604,"1620604","Condeixa-a-Nova",0,30
"102",605,"1620605","Figueira da Foz",0,27
"103",608,"1620608","Mira",0,1
"104",610,"1620610","Montemor-o-Velho",0,235
"105",613,"1620613","Penacova",0,3
"106",615,"1620615","Soure",0,20
"107",1004,"1631004","Batalha",0,1
"108",1009,"1631009","Leiria",0,97
"109",1010,"1631010","Marinha Grande",0,6
"110",1015,"1631015","Pombal",0,106
"111",1016,"1631016","Porto de Mós",0,10
"112",1002,"1641002","Alvaiázere",0,21
"113",1003,"1641003","Ansião",0,25
"114",601,"1640601","Arganil",0,57
"115",1007,"1641007","Castanheira de Pêra",0,1
"116",1008,"1641008","Figueiró dos Vinhos",0,8
"117",606,"1640606","Góis",0,2
"118",607,"1640607","Lousã",0,3
"119",609,"1640609","Miranda do Corvo",0,7
"120",611,"1640611","Oliveira do Hospital",0,304
"121",612,"1640612","Pampilhosa da Serra",0,0
"122",1013,"1641013","Pedrógão Grande",0,3
"123",614,"1640614","Penela",0,59
"124",616,"1640616","Tábua",0,110
"125",617,"1640617","Vila Nova de Poiares",0,1
"126",901,"1650901","Aguiar da Beira",0,129
"127",1802,"1651802","Carregal do Sal",0,25
"128",1803,"1651803","Castro Daire",0,518
"129",1806,"1651806","Mangualde",0,363
"130",1808,"1651808","Mortágua",0,23
"131",1809,"1651809","Nelas",0,46
"132",1810,"1651810","Oliveira de Frades",0,74
"133",1811,"1651811","Penalva do Castelo",0,40
"134",1814,"1651814","Santa Comba Dão",0,71
"135",1816,"1651816","São Pedro do Sul",0,338
"136",1817,"1651817","Sátão",0,170
"137",1821,"1651821","Tondela",0,170
"138",1822,"1651822","Vila Nova de Paiva",0,297
"139",1823,"1651823","Viseu",0,176
"140",1824,"1651824","Vouzela",0,243
"141",1413,"1661413","Mação",0,7
"142",506,"1660506","Oleiros",0,0
"143",508,"1660508","Proença-a-Nova",0,5
"144",509,"1660509","Sertã",0,11
"145",510,"1660510","Vila de Rei",0,0
"146",905,"1670905","Fornos de Algodres",0,13
"147",906,"1670906","Gouveia",0,432
"148",912,"1670912","Seia",0,423
"149",902,"1680902","Almeida",951,28
"150",903,"1680903","Celorico da Beira",0,665
"151",904,"1680904","Figueira de Castelo Rodrigo",34,44
"152",907,"1680907","Guarda",117,1798
"153",908,"1680908","Manteigas",0,3
"154",909,"1680909","Mêda",0,46
"155",910,"1680910","Pinhel",98,223
"156",911,"1680911","Sabugal",1165,1687
"157",913,"1680913","Trancoso",0,170
"158",502,"1690502","Castelo Branco",11846,194
"159",505,"1690505","Idanha-a-Nova",20675,2010
"160",507,"1690507","Penamacor",1024,335
"161",511,"1690511","Vila Velha de Ródão",667,59
"162",501,"16A0501","Belmonte",19,365
"163",503,"16A0503","Covilhã",73,432
"164",504,"16A0504","Fundão",523,781
"165",1001,"16B1001","Alcobaça",0,24
"166",1101,"16B1101","Alenquer",138,44
"167",1102,"16B1102","Arruda dos Vinhos",0,1
"168",1005,"16B1005","Bombarral",0,59
"169",1104,"16B1104","Cadaval",0,3
"170",1006,"16B1006","Caldas da Rainha",0,13
"171",1108,"16B1108","Lourinhã",0,9
"172",1011,"16B1011","Nazaré",0,11
"173",1012,"16B1012","Óbidos",0,2
"174",1014,"16B1014","Peniche",0,2
"175",1112,"16B1112","Sobral de Monte Agraço",0,2
"176",1113,"16B1113","Torres Vedras",0,25
"177",1401,"16C1401","Abrantes",1523,810
"178",1402,"16C1402","Alcanena",0,20
"179",1408,"16C1408","Constância",52,0
"180",1410,"16C1410","Entroncamento",0,2
"181",1411,"16C1411","Ferreira do Zêzere",0,45
"182",1421,"16C1421","Ourém",0,37
"183",1417,"16C1417","Sardoal",0,14
"184",1418,"16C1418","Tomar",0,149
"185",1419,"16C1419","Torres Novas",0,150
"186",1420,"16C1420","Vila Nova da Barquinha",0,18
"187",1115,"1711115","Amadora",0,0
"188",1105,"1711105","Cascais",0,2
"189",1106,"1711106","Lisboa",0,0
"190",1107,"1711107","Loures",0,18
"191",1109,"1711109","Mafra",0,33
"192",1116,"1711116","Odivelas",0,1
"193",1110,"1711110","Oeiras",0,0
"194",1111,"1711111","Sintra",0,24
"195",1114,"1711114","Vila Franca de Xira",0,382
"196",1502,"1721502","Alcochete",2709,7
"197",1503,"1721503","Almada",0,5
"198",1504,"1721504","Barreiro",0,1
"199",1506,"1721506","Moita",0,76
"200",1507,"1721507","Montijo",2678,172
"201",1508,"1721508","Palmela",3198,730
"202",1510,"1721510","Seixal",0,8
"203",1511,"1721511","Sesimbra",31,10
"204",1512,"1721512","Setúbal",377,45
"205",1501,"1811501","Alcácer do Sal",27506,126
"206",1505,"1811505","Grândola",15429,4
"207",211,"1810211","Odemira",11880,1989
"208",1509,"1811509","Santiago do Cacém",23028,124
"209",1513,"1811513","Sines",73,9
"210",1201,"1821201","Alter do Chão",13193,26
"211",1202,"1821202","Arronches",13420,0
"212",1203,"1821203","Avis",19923,610
"213",1204,"1821204","Campo Maior",3574,81
"214",1205,"1821205","Castelo de Vide",3656,0
"215",1206,"1821206","Crato",11436,12
"216",1207,"1821207","Elvas",18653,49
"217",1208,"1821208","Fronteira",5812,31
"218",1209,"1821209","Gavião",1433,205
"219",1210,"1821210","Marvão",93,2
"220",1211,"1821211","Monforte",17166,145
"221",707,"1820707","Mora",21460,340
"222",1212,"1821212","Nisa",6275,0
"223",1213,"1821213","Ponte de Sor",10054,405
"224",1214,"1821214","Portalegre",11390,70
"225",701,"1830701","Alandroal",21829,19
"226",702,"1830702","Arraiolos",34502,185
"227",703,"1830703","Borba",1185,8
"228",704,"1830704","Estremoz",15306,88
"229",705,"1830705","Évora",41858,343
"230",706,"1830706","Montemor-o-Novo",62577,612
"231",708,"1830708","Mourão",7333,1
"232",709,"1830709","Portel",15037,92
"233",710,"1830710","Redondo",13999,0
"234",711,"1830711","Reguengos de Monsaraz",12868,6
"235",1215,"1831215","Sousel",8728,35
"236",712,"1830712","Vendas Novas",3332,99
"237",713,"1830713","Viana do Alentejo",14942,168
"238",714,"1830714","Vila Viçosa",6470,1
"239",201,"1840201","Aljustrel",6485,103
"240",202,"1840202","Almodôvar",22569,0
"241",203,"1840203","Alvito",8460,0
"242",204,"1840204","Barrancos",8673,0
"243",205,"1840205","Beja",21665,433
"244",206,"1840206","Castro Verde",8076,0
"245",207,"1840207","Cuba",4092,400
"246",208,"1840208","Ferreira do Alentejo",14640,586
"247",209,"1840209","Mértola",20632,36
"248",210,"1840210","Moura",21950,46
"249",212,"1840212","Ourique",14862,3
"250",213,"1840213","Serpa",33894,73
"251",214,"1840214","Vidigueira",5803,3
"252",1403,"1851403","Almeirim",307,43
"253",1404,"1851404","Alpiarça",253,58
"254",1103,"1851103","Azambuja",310,167
"255",1405,"1851405","Benavente",6840,604
"256",1406,"1851406","Cartaxo",177,141
"257",1407,"1851407","Chamusca",3604,600
"258",1409,"1851409","Coruche",15353,645
"259",1412,"1851412","Golegã",46,47
"260",1414,"1851414","Rio Maior",0,304
"261",1415,"1851415","Salvaterra de Magos",1806,569
"262",1416,"1851416","Santarém",170,217
"263",801,"1500801","Albufeira",25,7
"264",802,"1500802","Alcoutim",2824,0
"265",803,"1500803","Aljezur",0,316
"266",804,"1500804","Castro Marim",2224,201
"267",805,"1500805","Faro",0,0
"268",806,"1500806","Lagoa",0,0
"269",807,"1500807","Lagos",33,107
"270",808,"1500808","Loulé",1223,7
"271",809,"1500809","Monchique",0,4
"272",810,"1500810","Olhão",0,0
"273",811,"1500811","Portimão",58,21
"274",812,"1500812","São Brás de Alportel",41,0
"275",813,"1500813","Silves",155,7
"276",814,"1500814","Tavira",438,1
"277",815,"1500815","Vila do Bispo",0,0
"278",816,"1500816","Vila Real de Santo António",224,0
