"","Muni_ID","ID","Muni","CLC_LU_area[ha]","statistics_lu$sum"
"256",1406,"1851406","Cartaxo",111,224
"257",1407,"1851407","Chamusca",1335,168
"258",1409,"1851409","Coruche",2649,75
"259",1412,"1851412","Golegã",0,118
"260",1414,"1851414","Rio Maior",119,58
"261",1415,"1851415","Salvaterra de Magos",174,40
"262",1416,"1851416","Santarém",2212,214
"263",801,"1500801","Albufeira",195,0
"264",802,"1500802","Alcoutim",1490,0
"265",803,"1500803","Aljezur",1093,0
"266",804,"1500804","Castro Marim",387,0
"267",805,"1500805","Faro",178,0
"268",806,"1500806","Lagoa",1,0
"269",807,"1500807","Lagos",389,0
"270",808,"1500808","Loulé",476,0
"271",809,"1500809","Monchique",0,0
"272",810,"1500810","Olhão",66,0
"273",811,"1500811","Portimão",389,0
"274",812,"1500812","São Brás de Alportel",0,0
"275",813,"1500813","Silves",708,0
"276",814,"1500814","Tavira",148,5
"277",815,"1500815","Vila do Bispo",2691,0
"278",816,"1500816","Vila Real de Santo António",38,0
