"","Muni_ID","ID","Muni","CLC_LU_area[ha]","statistics_lu$sum"
"1",1601,"1111601","Arcos de Valdevez",0,0.8
"2",1602,"1111602","Caminha",0,0
"3",1603,"1111603","Melgaço",0,0
"4",1604,"1111604","Monção",0,0
"5",1605,"1111605","Paredes de Coura",0,0
"6",1606,"1111606","Ponte da Barca",0,1.6
"7",1607,"1111607","Ponte de Lima",0,2.4
"8",1608,"1111608","Valença",0,0
"9",1609,"1111609","Viana do Castelo",0,0
"10",1610,"1111610","Vila Nova de Cerveira",0,0
"11",301,"1120301","Amares",0,12
"12",302,"1120302","Barcelos",0,5.6
"13",303,"1120303","Braga",0,0.8
"14",306,"1120306","Esposende",0,0
"15",310,"1120310","Terras de Bouro",0,0
"16",313,"1120313","Vila Verde",0,1.6
"17",307,"1130307","Fafe",0,0
"18",308,"1130308","Guimarães",0,0.8
"19",309,"1130309","Póvoa de Lanhoso",0,0
"20",1314,"1131314","Santo Tirso",0,0
"21",1318,"1131318","Trofa",0,0
"22",311,"1130311","Vieira do Minho",0,0
"23",312,"1130312","Vila Nova de Famalicão",0,0
"24",314,"1130314","Vizela",0,0
"25",107,"1140107","Espinho",0,0
"26",1304,"1141304","Gondomar",0,0
"27",1306,"1141306","Maia",0,0
"28",1308,"1141308","Matosinhos",0,0
"29",1312,"1141312","Porto",0,0
"30",1313,"1141313","Póvoa de Varzim",0,0
"31",1315,"1141315","Valongo",0,0
"32",1316,"1141316","Vila do Conde",0,0
"33",1317,"1141317","Vila Nova de Gaia",0,0
"34",1301,"1151301","Amarante",0,5.6
"35",1302,"1151302","Baião",0,0
"36",304,"1150304","Cabeceiras de Basto",0,4.8
"37",106,"1150106","Castelo de Paiva",0,7.2
"38",305,"1150305","Celorico de Basto",0,11.2
"39",1804,"1151804","Cinfães",0,8.8
"40",1303,"1151303","Felgueiras",0,0
"41",1305,"1151305","Lousada",0,0
"42",1307,"1151307","Marco de Canaveses",0,1.6
"43",1705,"1151705","Mondim de Basto",0,5.6
"44",1309,"1151309","Paços de Ferreira",0,0
"45",1310,"1151310","Paredes",0,0
"46",1311,"1151311","Penafiel",0,0
"47",1813,"1151813","Resende",0,8.8
"48",1709,"1151709","Ribeira de Pena",0,3.2
"49",104,"1160104","Arouca",0,0.8
"50",113,"1160113","Oliveira de Azeméis",0,0
"51",109,"1160109","Santa Maria da Feira",0,0
"52",116,"1160116","São João da Madeira",0,0
"53",119,"1160119","Vale de Cambra",0,0
"54",1701,"1171701","Alijó",530,15.2
"55",1801,"1171801","Armamar",88,50.4
