"","Muni_ID","ID","Muni","CLC_LU_area[ha]","statistics_lu$sum"
"1",1601,"1111601","Arcos de Valdevez",9899,163
"2",1602,"1111602","Caminha",1921,30.5
"3",1603,"1111603","Melgaço",3855,146.4
"4",1604,"1111604","Monção",6157,304.7
"5",1605,"1111605","Paredes de Coura",3114,96.4
"6",1606,"1111606","Ponte da Barca",3868,94.2
"7",1607,"1111607","Ponte de Lima",11132,437.5
"8",1608,"1111608","Valença",3309,82.8
"9",1609,"1111609","Viana do Castelo",7105,162.2
"10",1610,"1111610","Vila Nova de Cerveira",2095,48.7
"11",301,"1120301","Amares",3462,165.6
"12",302,"1120302","Barcelos",9671,1539.8
"13",303,"1120303","Braga",6071,524.7
"14",306,"1120306","Esposende",2102,201
"15",310,"1120310","Terras de Bouro",2474,56.8
"16",313,"1120313","Vila Verde",8705,423.4
"17",307,"1130307","Fafe",6606,249.5
"18",308,"1130308","Guimarães",9766,548.4
"19",309,"1130309","Póvoa de Lanhoso",4453,182.9
"20",1314,"1131314","Santo Tirso",4680,217.4
"21",1318,"1131318","Trofa",1227,244.1
"22",311,"1130311","Vieira do Minho",4204,96.5
"23",312,"1130312","Vila Nova de Famalicão",7243,725.4
"24",314,"1130314","Vizela",953,58.6
"25",107,"1140107","Espinho",177,11.4
"26",1304,"1141304","Gondomar",2910,150.9
"27",1306,"1141306","Maia",1968,291.1
"28",1308,"1141308","Matosinhos",1106,193.2
"29",1312,"1141312","Porto",186,4.4
"30",1313,"1141313","Póvoa de Varzim",2521,551.3
"31",1315,"1141315","Valongo",970,92.1
"32",1316,"1141316","Vila do Conde",4126,1032.4
"33",1317,"1141317","Vila Nova de Gaia",3609,119.6
"34",1301,"1151301","Amarante",10420,392.7
"35",1302,"1151302","Baião",5754,151.8
"36",304,"1150304","Cabeceiras de Basto",6003,166.8
"37",106,"1150106","Castelo de Paiva",2688,136.9
"38",305,"1150305","Celorico de Basto",6384,292.7
"39",1804,"1151804","Cinfães",7077,215.8
"40",1303,"1151303","Felgueiras",6077,310.8
"41",1305,"1151305","Lousada",4215,275.6
"42",1307,"1151307","Marco de Canaveses",9043,231.7
"43",1705,"1151705","Mondim de Basto",3014,151.4
"44",1309,"1151309","Paços de Ferreira",2319,129
"45",1310,"1151310","Paredes",5213,219.6
"46",1311,"1151311","Penafiel",8470,336.9
"47",1813,"1151813","Resende",5521,249.6
"48",1709,"1151709","Ribeira de Pena",4187,155.7
"49",104,"1160104","Arouca",3812,252.2
"50",113,"1160113","Oliveira de Azeméis",2651,244.2
"51",109,"1160109","Santa Maria da Feira",4026,146.6
"52",116,"1160116","São João da Madeira",136,0
"53",119,"1160119","Vale de Cambra",2861,92.6
"54",1701,"1171701","Alijó",6155,55.1
"55",1801,"1171801","Armamar",2730,266.4
"56",403,"1170403","Carrazeda de Ansiães",8097,130.4
"57",404,"1170404","Freixo de Espada à Cinta",3860,304.9
"58",1805,"1171805","Lamego",3846,172.2
"59",1704,"1171704","Mesão Frio",280,3.2
"60",1807,"1171807","Moimenta da Beira",6687,229.8
"61",1812,"1171812","Penedono",3464,41.8
"62",1708,"1171708","Peso da Régua",1304,7.5
"63",1710,"1171710","Sabrosa",2727,32.8
"64",1711,"1171711","Santa Marta de Penaguião",909,4.7
"65",1815,"1171815","São João da Pesqueira",4354,91
"66",1818,"1171818","Sernancelhe",5411,138.5
"67",1819,"1171819","Tabuaço",3411,55.2
"68",1820,"1171820","Tarouca",2444,107.8
"69",409,"1170409","Torre de Moncorvo",13186,264.7
"70",410,"1170410","Vila Flor",10862,145.2
"71",914,"1170914","Vila Nova de Foz Côa",7026,116.9
"72",1714,"1171714","Vila Real",7571,191.8
"73",401,"1180401","Alfândega da Fé",14933,149.2
"74",1702,"1181702","Boticas",4814,101.4
"75",402,"1180402","Bragança",39658,115
"76",1703,"1181703","Chaves",23031,540.5
"77",405,"1180405","Macedo de Cavaleiros",26627,73.6
"78",406,"1180406","Miranda do Douro",21530,9.6
"79",407,"1180407","Mirandela",28894,202.5
"80",408,"1180408","Mogadouro",28929,41.8
"81",1706,"1181706","Montalegre",13789,175.9
"82",1707,"1181707","Murça",5035,35.9
"83",1712,"1181712","Valpaços",23221,202.3
"84",1713,"1181713","Vila Pouca de Aguiar",7816,204.9
"85",411,"1180411","Vimioso",19353,33.3
"86",412,"1180412","Vinhais",24247,45.1
"87",101,"1610101","Águeda",5233,108.65
"88",102,"1610102","Albergaria-a-Velha",2592,121.5
"89",103,"1610103","Anadia",4404,101.2
"90",105,"1610105","Aveiro",3388,199.45
"91",108,"1610108","Estarreja",1137,228.6
"92",110,"1610110","Ílhavo",594,61.9
"93",111,"1610111","Mealhada",2670,57.6
"94",112,"1610112","Murtosa",223,163.95
"95",114,"1610114","Oliveira do Bairro",2858,101.35
"96",115,"1610115","Ovar",1009,153.6
"97",117,"1610117","Sever do Vouga",2404,54.3
"98",118,"1610118","Vagos",2475,194.35
"99",602,"1620602","Cantanhede",9088,276.35
"100",603,"1620603","Coimbra",9033,336.65
"101",604,"1620604","Condeixa-a-Nova",3642,53.15
"102",605,"1620605","Figueira da Foz",5249,193.85
"103",608,"1620608","Mira",927,96.05
"104",610,"1620610","Montemor-o-Velho",6854,653.2
"105",613,"1620613","Penacova",3408,19.85
"106",615,"1620615","Soure",7255,189.2
"107",1004,"1631004","Batalha",2535,38.05
"108",1009,"1631009","Leiria",14173,334.8
"109",1010,"1631010","Marinha Grande",662,11.65
"110",1015,"1631015","Pombal",18070,167.65
"111",1016,"1631016","Porto de Mós",6185,65.4
"112",1002,"1641002","Alvaiázere",3835,12.3
"113",1003,"1641003","Ansião",6424,7.75
"114",601,"1640601","Arganil",3621,25.35
"115",1007,"1641007","Castanheira de Pêra",678,0.8
"116",1008,"1641008","Figueiró dos Vinhos",1980,7.55
"117",606,"1640606","Góis",1177,5.85
"118",607,"1640607","Lousã",2398,10.8
"119",609,"1640609","Miranda do Corvo",2211,15.95
"120",611,"1640611","Oliveira do Hospital",7498,94.55
"121",612,"1640612","Pampilhosa da Serra",1442,3.2
"122",1013,"1641013","Pedrógão Grande",1515,5.35
"123",614,"1640614","Penela",3141,9.5
"124",616,"1640616","Tábua",5576,69.1
"125",617,"1640617","Vila Nova de Poiares",1830,6.9
"126",901,"1650901","Aguiar da Beira",3739,167.45
"127",1802,"1651802","Carregal do Sal",3709,31.25
"128",1803,"1651803","Castro Daire",8182,116.8
"129",1806,"1651806","Mangualde",7303,179.4
"130",1808,"1651808","Mortágua",2947,23.95
"131",1809,"1651809","Nelas",4086,64.4
"132",1810,"1651810","Oliveira de Frades",3553,106.95
"133",1811,"1651811","Penalva do Castelo",4686,104.1
"134",1814,"1651814","Santa Comba Dão",3685,33.25
"135",1816,"1651816","São Pedro do Sul",6599,225.75
"136",1817,"1651817","Sátão",4735,92.2
"137",1821,"1651821","Tondela",9043,162.45
"138",1822,"1651822","Vila Nova de Paiva",3317,28.65
"139",1823,"1651823","Viseu",15440,250.35
"140",1824,"1651824","Vouzela",4749,112.35
"141",1413,"1661413","Mação",5059,26.4
"142",506,"1660506","Oleiros",2559,16.15
"143",508,"1660508","Proença-a-Nova",9316,35.1
"144",509,"1660509","Sertã",6570,32
"145",510,"1660510","Vila de Rei",1273,6.05
"146",905,"1670905","Fornos de Algodres",3064,149.5
"147",906,"1670906","Gouveia",7165,179.35
"148",912,"1670912","Seia",7315,221.25
"149",902,"1680902","Almeida",13728,18.15
"150",903,"1680903","Celorico da Beira",6106,149.25
"151",904,"1680904","Figueira de Castelo Rodrigo",8603,105.95
"152",907,"1680907","Guarda",20688,202.35
"153",908,"1680908","Manteigas",690,14.6
"154",909,"1680909","Mêda",9527,79.75
"155",910,"1680910","Pinhel",12641,138.4
"156",911,"1680911","Sabugal",18160,104.5
"157",913,"1680913","Trancoso",10903,151.75
"158",502,"1690502","Castelo Branco",23458,311.3
"159",505,"1690505","Idanha-a-Nova",12472,421.75
"160",507,"1690507","Penamacor",8737,99.55
"161",511,"1690511","Vila Velha de Ródão",4952,63.2
"162",501,"16A0501","Belmonte",4064,210.3
"163",503,"16A0503","Covilhã",8676,461.5
"164",504,"16A0504","Fundão",15018,861.3
"165",1001,"16B1001","Alcobaça",12967,503.35
"166",1101,"16B1101","Alenquer",6350,88.4
"167",1102,"16B1102","Arruda dos Vinhos",3961,4.4
"168",1005,"16B1005","Bombarral",3036,249.35
"169",1104,"16B1104","Cadaval",2522,341.6
"170",1006,"16B1006","Caldas da Rainha",9750,349.15
"171",1108,"16B1108","Lourinhã",11009,232.5
"172",1011,"16B1011","Nazaré",871,89.85
"173",1012,"16B1012","Óbidos",4158,239.4
"174",1014,"16B1014","Peniche",4382,224.9
"175",1112,"16B1112","Sobral de Monte Agraço",3110,15.9
"176",1113,"16B1113","Torres Vedras",13377,362
"177",1401,"16C1401","Abrantes",7276,229.7
"178",1402,"16C1402","Alcanena",2696,29.4
"179",1408,"16C1408","Constância",715,40
"180",1410,"16C1410","Entroncamento",342,19.15
"181",1411,"16C1411","Ferreira do Zêzere",5204,32.75
"182",1421,"16C1421","Ourém",10086,65.2
"183",1417,"16C1417","Sardoal",1367,15.2
"184",1418,"16C1418","Tomar",13437,129.2
"185",1419,"16C1419","Torres Novas",8124,251.3
"186",1420,"16C1420","Vila Nova da Barquinha",332,23.4
"187",1115,"1711115","Amadora",198,0
"188",1105,"1711105","Cascais",1087,7.45
"189",1106,"1711106","Lisboa",109,4.15
"190",1107,"1711107","Loures",5806,146.65
"191",1109,"1711109","Mafra",13868,246.15
"192",1116,"1711116","Odivelas",251,1.5
"193",1110,"1711110","Oeiras",577,0.15
"194",1111,"1711111","Sintra",10255,115.25
"195",1114,"1711114","Vila Franca de Xira",3859,649.35
"196",1502,"1721502","Alcochete",1687,92.05
"197",1503,"1721503","Almada",786,34.4
"198",1504,"1721504","Barreiro",680,5.6
"199",1506,"1721506","Moita",2167,48.2
"200",1507,"1721507","Montijo",7896,411.15
"201",1508,"1721508","Palmela",12406,785.55
"202",1510,"1721510","Seixal",714,7.5
"203",1511,"1721511","Sesimbra",2731,23.55
"204",1512,"1721512","Setúbal",4410,113.15
"205",1501,"1811501","Alcácer do Sal",2131,0
