"Muni_ID","ID","Muni","Does","Other_caprine"
1601,"1111601","Arcos de Valdevez",49.77,183.78
1602,"1111602","Caminha",0,18.99
1603,"1111603","Melgaço",0,80.055
1604,"1111604","Monção",0,32.4
1605,"1111605","Paredes de Coura",0,37.08
1606,"1111606","Ponte da Barca",0,83.34
1607,"1111607","Ponte de Lima",0,189.405
1608,"1111608","Valença",0,27.45
1609,"1111609","Viana do Castelo",0,51.66
1610,"1111610","Vila Nova de Cerveira",0,33.075
301,"1120301","Amares",0,29.565
302,"1120302","Barcelos",0,59.13
303,"1120303","Braga",0,15.48
306,"1120306","Esposende",0,10.08
310,"1120310","Terras de Bouro",44.145,47.43
313,"1120313","Vila Verde",180.27,61.245
307,"1130307","Fafe",0,29.34
308,"1130308","Guimarães",0,9.855
309,"1130309","Póvoa de Lanhoso",0,28.17
1314,"1131314","Santo Tirso",0,16.92
1318,"1131318","Trofa",0,6.57
311,"1130311","Vieira do Minho",0,30.735
312,"1130312","Vila Nova de Famalicão",26.775,16.425
314,"1130314","Vizela",0,0.45
107,"1140107","Espinho",0,0.225
1304,"1141304","Gondomar",0,6.12
1306,"1141306","Maia",0,4.68
1308,"1141308","Matosinhos",0,4.455
1312,"1141312","Porto",0,1.17
1313,"1141313","Póvoa de Varzim",95.04,10.08
1315,"1141315","Valongo",0,2.835
1316,"1141316","Vila do Conde",0,13.14
1317,"1141317","Vila Nova de Gaia",0,5.175
1301,"1151301","Amarante",0,108.45
1302,"1151302","Baião",0,86.13
304,"1150304","Cabeceiras de Basto",0,52.56
106,"1150106","Castelo de Paiva",0.72,33.075
305,"1150305","Celorico de Basto",1.665,58.23
1804,"1151804","Cinfães",0,141.3
1303,"1151303","Felgueiras",0,11.745
1305,"1151305","Lousada",0,5.625
1307,"1151307","Marco de Canaveses",8.685,26.775
1705,"1151705","Mondim de Basto",0,259.38
1309,"1151309","Paços de Ferreira",0,16.2
1310,"1151310","Paredes",0,16.425
1311,"1151311","Penafiel",0,15.255
1813,"1151813","Resende",0,7.965
1709,"1151709","Ribeira de Pena",0,238.455
104,"1160104","Arouca",0,122.535
113,"1160113","Oliveira de Azeméis",68.085,56.34
109,"1160109","Santa Maria da Feira",1.17,11.745
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",0,121.365
1701,"1171701","Alijó",163.35,6.12
1801,"1171801","Armamar",22.545,0.945
403,"1170403","Carrazeda de Ansiães",85.68,11.97
404,"1170404","Freixo de Espada à Cinta",89.415,3.06
1805,"1171805","Lamego",21.375,13.86
1704,"1171704","Mesão Frio",0,0
1807,"1171807","Moimenta da Beira",66.645,35.19
1812,"1171812","Penedono",65.7,7.515
1708,"1171708","Peso da Régua",16.2,0.225
1710,"1171710","Sabrosa",7.02,9.63
1711,"1171711","Santa Marta de Penaguião",0,1.395
1815,"1171815","São João da Pesqueira",132.165,15.48
1818,"1171818","Sernancelhe",187.065,17.82
1819,"1171819","Tabuaço",1.17,1.89
1820,"1171820","Tarouca",69.93,13.365
409,"1170409","Torre de Moncorvo",209.835,13.365
410,"1170410","Vila Flor",171.09,13.86
914,"1170914","Vila Nova de Foz Côa",94.365,4.95
1714,"1171714","Vila Real",67.59,78.165
401,"1180401","Alfândega da Fé",193.635,25.335
1702,"1181702","Boticas",28.17,58.68
402,"1180402","Bragança",121.815,189.405
1703,"1181703","Chaves",30.06,71.37
405,"1180405","Macedo de Cavaleiros",329.535,153.27
406,"1180406","Miranda do Douro",11.745,33.345
407,"1180407","Mirandela",328.59,109.125
408,"1180408","Mogadouro",224.865,283.32
1706,"1181706","Montalegre",119.925,186.12
1707,"1181707","Murça",194.355,55.17
1712,"1181712","Valpaços",179.775,103.995
1713,"1181713","Vila Pouca de Aguiar",54,176.265
411,"1180411","Vimioso",203.49,75.33
412,"1180412","Vinhais",1.665,42.975
101,"1610101","Águeda",5.175,57.015
102,"1610102","Albergaria-a-Velha",28.89,11.97
103,"1610103","Anadia",8.685,40.59
105,"1610105","Aveiro",7.74,40.365
108,"1610108","Estarreja",28.62,34.515
110,"1610110","Ílhavo",0.72,12.195
111,"1610111","Mealhada",13.86,48.6
112,"1610112","Murtosa",0.225,8.46
114,"1610114","Oliveira do Bairro",2.835,11.745
115,"1610115","Ovar",4.455,9.135
117,"1610117","Sever do Vouga",0.945,68.31
118,"1610118","Vagos",13.86,19.935
602,"1620602","Cantanhede",51.66,79.335
603,"1620603","Coimbra",54.225,156.78
604,"1620604","Condeixa-a-Nova",223.47,116.91
605,"1620605","Figueira da Foz",28.395,19.935
608,"1620608","Mira",4.95,6.57
610,"1620610","Montemor-o-Velho",45.045,59.13
613,"1620613","Penacova",43.425,113.355
615,"1620615","Soure",239.4,67.815
1004,"1631004","Batalha",37.8,17.595
1009,"1631009","Leiria",122.985,56.34
1010,"1631010","Marinha Grande",0,0.945
1015,"1631015","Pombal",148.59,100.935
1016,"1631016","Porto de Mós",326.25,102.105
1002,"1641002","Alvaiázere",216.63,43.425
1003,"1641003","Ansião",249.75,54.45
601,"1640601","Arganil",113.625,146.925
1007,"1641007","Castanheira de Pêra",21.375,15.48
1008,"1641008","Figueiró dos Vinhos",4.455,26.28
606,"1640606","Góis",70.65,60.075
607,"1640607","Lousã",49.275,44.82
609,"1640609","Miranda do Corvo",61.02,34.29
611,"1640611","Oliveira do Hospital",156.105,63.855
612,"1640612","Pampilhosa da Serra",51.66,43.875
1013,"1641013","Pedrógão Grande",43.2,11.52
614,"1640614","Penela",143.865,27.675
616,"1640616","Tábua",149.76,65.97
617,"1640617","Vila Nova de Poiares",28.89,21.105
901,"1650901","Aguiar da Beira",8.91,33.345
1802,"1651802","Carregal do Sal",79.785,25.605
1803,"1651803","Castro Daire",305.595,164.295
1806,"1651806","Mangualde",95.31,28.395
1808,"1651808","Mortágua",6.57,27.945
1809,"1651809","Nelas",60.345,12.195
1810,"1651810","Oliveira de Frades",20.88,153.495
1811,"1651811","Penalva do Castelo",46.71,5.625
1814,"1651814","Santa Comba Dão",42.705,19.71
1816,"1651816","São Pedro do Sul",91.755,305.595
1817,"1651817","Sátão",57.96,50.94
1821,"1651821","Tondela",49.275,125.595
1822,"1651822","Vila Nova de Paiva",138.24,79.335
1823,"1651823","Viseu",76.275,70.425
1824,"1651824","Vouzela",4.23,91.755
1413,"1661413","Mação",255.15,55.845
506,"1660506","Oleiros",444.33,69.03
508,"1660508","Proença-a-Nova",1093.545,176.04
509,"1660509","Sertã",739.62,165.24
510,"1660510","Vila de Rei",89.91,7.965
905,"1670905","Fornos de Algodres",97.155,25.11
906,"1670906","Gouveia",305.145,108.45
912,"1670912","Seia",333.09,55.62
902,"1680902","Almeida",37.575,9.63
903,"1680903","Celorico da Beira",194.13,37.575
904,"1680904","Figueira de Castelo Rodrigo",48.825,6.795
907,"1680907","Guarda",758.385,177.21
908,"1680908","Manteigas",58.905,7.02
909,"1680909","Mêda",71.595,16.92
910,"1680910","Pinhel",264.78,36.855
911,"1680911","Sabugal",190.575,102.105
913,"1680913","Trancoso",215.955,27.45
502,"1690502","Castelo Branco",1293.3,253.71
505,"1690505","Idanha-a-Nova",545.04,94.14
507,"1690507","Penamacor",463.095,98.595
511,"1690511","Vila Velha de Ródão",266.895,54.45
501,"16A0501","Belmonte",95.31,14.085
503,"16A0503","Covilhã",712.125,70.65
504,"16A0504","Fundão",1047.555,187.065
1001,"16B1001","Alcobaça",62.91,44.37
1101,"16B1101","Alenquer",187.065,37.305
1102,"16B1102","Arruda dos Vinhos",27.945,13.86
1005,"16B1005","Bombarral",0,1.665
1104,"16B1104","Cadaval",243.63,24.39
1006,"16B1006","Caldas da Rainha",97.65,79.785
1108,"16B1108","Lourinhã",466.155,32.625
1011,"16B1011","Nazaré",9.405,2.115
1012,"16B1012","Óbidos",110.34,31.005
1014,"16B1014","Peniche",276.975,26.505
1112,"16B1112","Sobral de Monte Agraço",0.945,4.68
1113,"16B1113","Torres Vedras",481.41,32.85
1401,"16C1401","Abrantes",184.725,82.395
1402,"16C1402","Alcanena",308.43,16.92
1408,"16C1408","Constância",0,1.17
1410,"16C1410","Entroncamento",0,0.72
1411,"16C1411","Ferreira do Zêzere",194.13,37.8
1421,"16C1421","Ourém",255.825,99.765
1417,"16C1417","Sardoal",3.06,13.365
1418,"16C1418","Tomar",183.33,49.275
1419,"16C1419","Torres Novas",219.915,71.37
1420,"16C1420","Vila Nova da Barquinha",11.97,3.06
1115,"1711115","Amadora",0,0.945
1105,"1711105","Cascais",4.005,14.535
1106,"1711106","Lisboa",0,1.89
1107,"1711107","Loures",124.155,28.89
1109,"1711109","Mafra",90.855,55.62
1116,"1711116","Odivelas",2.34,1.395
1110,"1711110","Oeiras",0,0
1111,"1711111","Sintra",49.545,22.77
1114,"1711114","Vila Franca de Xira",8.235,25.83
1502,"1721502","Alcochete",0,0.945
1503,"1721503","Almada",22.05,6.795
1504,"1721504","Barreiro",0,6.795
1506,"1721506","Moita",47.655,11.25
1507,"1721507","Montijo",7.515,7.515
1508,"1721508","Palmela",185.445,45.315
1510,"1721510","Seixal",32.175,8.46
1511,"1721511","Sesimbra",16.2,11.52
1512,"1721512","Setúbal",123.21,22.995
1501,"1811501","Alcácer do Sal",0.45,21.105
1505,"1811505","Grândola",13.635,48.825
211,"1810211","Odemira",173.475,284.715
1509,"1811509","Santiago do Cacém",15.255,92.475
1513,"1811513","Sines",0,50.715
1201,"1821201","Alter do Chão",57.96,24.66
1202,"1821202","Arronches",27.225,13.14
1203,"1821203","Avis",54,21.105
1204,"1821204","Campo Maior",0,1.89
1205,"1821205","Castelo de Vide",38.745,29.34
1206,"1821206","Crato",211.005,33.345
1207,"1821207","Elvas",0.72,16.2
1208,"1821208","Fronteira",14.085,27.45
1209,"1821209","Gavião",97.65,49.05
