"Muni_ID","ID","Muni","Ewes","Other_ovine"
1601,"1111601","Arcos de Valdevez",1859.985,608.04
1602,"1111602","Caminha",321.075,264.78
1603,"1111603","Melgaço",1041.21,391.905
1604,"1111604","Monção",2479.095,729.765
1605,"1111605","Paredes de Coura",1601.46,338.715
1606,"1111606","Ponte da Barca",310.86,63.405
1607,"1111607","Ponte de Lima",1556.235,504.54
1608,"1111608","Valença",755.955,247.41
1609,"1111609","Viana do Castelo",610.875,191.115
1610,"1111610","Vila Nova de Cerveira",359.775,156.15
301,"1120301","Amares",347.265,72.81
302,"1120302","Barcelos",515.07,192.555
303,"1120303","Braga",457.875,77.94
306,"1120306","Esposende",83.34,36.675
310,"1120310","Terras de Bouro",129.69,27.585
313,"1120313","Vila Verde",1462.095,278.73
307,"1130307","Fafe",815.355,176.04
308,"1130308","Guimarães",259.38,34.695
309,"1130309","Póvoa de Lanhoso",421.47,81.9
1314,"1131314","Santo Tirso",350.37,134.82
1318,"1131318","Trofa",90.45,32.985
311,"1130311","Vieira do Minho",797.445,174.06
312,"1130312","Vila Nova de Famalicão",184.275,63.135
314,"1130314","Vizela",21.33,4.275
107,"1140107","Espinho",5.67,0.585
1304,"1141304","Gondomar",308.025,85.905
1306,"1141306","Maia",123.705,43.245
1308,"1141308","Matosinhos",72.54,38.115
1312,"1141312","Porto",6.255,1.98
1313,"1141313","Póvoa de Varzim",52.335,6.525
1315,"1141315","Valongo",122.31,17.055
1316,"1141316","Vila do Conde",160.11,46.62
1317,"1141317","Vila Nova de Gaia",202.23,51.75
1301,"1151301","Amarante",826.2,272.16
1302,"1151302","Baião",946.755,542.925
304,"1150304","Cabeceiras de Basto",925.74,137.655
106,"1150106","Castelo de Paiva",581.04,294.93
305,"1150305","Celorico de Basto",669.465,133.65
1804,"1151804","Cinfães",1371.96,653.265
1303,"1151303","Felgueiras",100.665,25.875
1305,"1151305","Lousada",207.9,43.515
1307,"1151307","Marco de Canaveses",898.155,351.225
1705,"1151705","Mondim de Basto",103.815,29.565
1309,"1151309","Paços de Ferreira",277.875,172.35
1310,"1151310","Paredes",430.29,96.39
1311,"1151311","Penafiel",525.285,65.7
1813,"1151813","Resende",364.05,157.275
1709,"1151709","Ribeira de Pena",175.455,43.515
104,"1160104","Arouca",642.465,267.345
113,"1160113","Oliveira de Azeméis",110.34,57.735
109,"1160109","Santa Maria da Feira",271.035,110.34
116,"1160116","São João da Madeira",0,0
119,"1160119","Vale de Cambra",253.395,100.665
1701,"1171701","Alijó",407.835,32.13
1801,"1171801","Armamar",133.11,12.51
403,"1170403","Carrazeda de Ansiães",1135.035,61.425
404,"1170404","Freixo de Espada à Cinta",1313.64,87.615
1805,"1171805","Lamego",543.51,99.27
1704,"1171704","Mesão Frio",4.815,1.125
1807,"1171807","Moimenta da Beira",672.3,103.23
1812,"1171812","Penedono",652.68,86.175
1708,"1171708","Peso da Régua",141.615,11.385
1710,"1171710","Sabrosa",223.56,23.31
1711,"1171711","Santa Marta de Penaguião",110.07,17.055
1815,"1171815","São João da Pesqueira",504.81,51.75
1818,"1171818","Sernancelhe",697.635,83.61
1819,"1171819","Tabuaço",302.58,33.57
1820,"1171820","Tarouca",145.62,29.88
409,"1170409","Torre de Moncorvo",3361.32,274.995
410,"1170410","Vila Flor",1367.1,179.46
914,"1170914","Vila Nova de Foz Côa",1429.695,67.14
1714,"1171714","Vila Real",1461.825,164.97
401,"1180401","Alfândega da Fé",1898.37,126.855
1702,"1181702","Boticas",865.98,67.68
402,"1180402","Bragança",9649.71,1793.7
1703,"1181703","Chaves",4469.355,883.35
405,"1180405","Macedo de Cavaleiros",5310.315,598.68
406,"1180406","Miranda do Douro",4442.625,1027.26
407,"1180407","Mirandela",4655.925,518.175
408,"1180408","Mogadouro",5681.475,1030.68
1706,"1181706","Montalegre",2065.32,337.005
1707,"1181707","Murça",346.68,20.745
1712,"1181712","Valpaços",2996.73,416.925
1713,"1181713","Vila Pouca de Aguiar",1634.175,289.215
411,"1180411","Vimioso",2747.295,393.615
412,"1180412","Vinhais",4387.455,986.31
101,"1610101","Águeda",594.945,219.285
102,"1610102","Albergaria-a-Velha",147.6,16.2
