"Muni_ID","ID","Muni","Rabbits","Other_rabbits"
1601,"1111601","Arcos de Valdevez",1674.21168,3828.94128
1602,"1111602","Caminha",3746.32128,3320.00208
1603,"1111603","Melgaço",700.6176,1195.67664
1604,"1111604","Monção",1889.02368,3103.2072
1605,"1111605","Paredes de Coura",1483.8552,6542.84304
1606,"1111606","Ponte da Barca",1421.064,8871.40512
1607,"1111607","Ponte de Lima",3945.27024,19034.98704
1608,"1111608","Valença",674.1792,1252.5192
1609,"1111609","Viana do Castelo",1427.01264,4171.97952
1610,"1111610","Vila Nova de Cerveira",226.04832,580.98384
301,"1120301","Amares",764.06976,2474.63424
302,"1120302","Barcelos",4287.64752,17268.90192
303,"1120303","Braga",2254.53456,6986.3472
306,"1120306","Esposende",1139.49504,4430.41488
310,"1120310","Terras de Bouro",668.89152,4793.94288
313,"1120313","Vila Verde",2278.99008,9515.18016
307,"1130307","Fafe",3856.7016,28047.8376
308,"1130308","Guimarães",1863.9072,5353.776
309,"1130309","Póvoa de Lanhoso",888.9912,2831.55264
1314,"1131314","Santo Tirso",492.4152,1669.58496
1318,"1131318","Trofa",347.004,1282.92336
311,"1130311","Vieira do Minho",750.1896,2182.48992
312,"1130312","Vila Nova de Famalicão",1240.62192,4826.99088
314,"1130314","Vizela",179.12016,262.40112
107,"1140107","Espinho",15.86304,89.89056
1304,"1141304","Gondomar",489.1104,1415.11536
1306,"1141306","Maia",300.7368,1029.11472
1308,"1141308","Matosinhos",218.77776,682.77168
1312,"1141312","Porto",12.55824,7.27056
1313,"1141313","Póvoa de Varzim",815.62464,2298.81888
1315,"1141315","Valongo",2887.07328,37758.66192
1316,"1141316","Vila do Conde",1050.26544,2041.04448
1317,"1141317","Vila Nova de Gaia",357.57936,795.13488
1301,"1151301","Amarante",1288.872,3628.6704
1302,"1151302","Baião",921.37824,2594.268
304,"1150304","Cabeceiras de Basto",1726.42752,5601.636
106,"1150106","Castelo de Paiva",619.98048,1733.03712
305,"1150305","Celorico de Basto",1116.36144,2413.82592
1804,"1151804","Cinfães",840.08016,2136.22272
1303,"1151303","Felgueiras",1265.7384,2904.25824
1305,"1151305","Lousada",445.48704,1516.24224
1307,"1151307","Marco de Canaveses",697.97376,1540.0368
1705,"1151705","Mondim de Basto",458.04528,1389.99888
1309,"1151309","Paços de Ferreira",330.48,1250.53632
1310,"1151310","Paredes",1055.55312,2397.96288
1311,"1151311","Penafiel",641.79216,2336.4936
1813,"1151813","Resende",563.13792,1254.50208
1709,"1151709","Ribeira de Pena",641.1312,2191.74336
104,"1160104","Arouca",622.62432,1874.48256
113,"1160113","Oliveira de Azeméis",419.7096,1388.016
109,"1160109","Santa Maria da Feira",470.60352,1592.9136
116,"1160116","São João da Madeira",14.54112,54.19872
119,"1160119","Vale de Cambra",454.07952,1315.97136
1701,"1171701","Alijó",216.79488,901.54944
1801,"1171801","Armamar",239.26752,403.84656
403,"1170403","Carrazeda de Ansiães",209.52432,657.6552
404,"1170404","Freixo de Espada à Cinta",160.61328,118.9728
1805,"1171805","Lamego",352.95264,801.08352
1704,"1171704","Mesão Frio",7.93152,120.29472
1807,"1171807","Moimenta da Beira",1551.27312,1158.00192
1812,"1171812","Penedono",124.26048,368.81568
1708,"1171708","Peso da Régua",141.44544,485.8056
1710,"1171710","Sabrosa",1939.25664,16933.7952
1711,"1171711","Santa Marta de Penaguião",87.24672,366.8328
1815,"1171815","São João da Pesqueira",183.08592,199.60992
1818,"1171818","Sernancelhe",892.296,6789.38112
1819,"1171819","Tabuaço",131.53104,399.21984
1820,"1171820","Tarouca",1148.08752,5450.27616
409,"1170409","Torre de Moncorvo",1194.35472,8544.22992
410,"1170410","Vila Flor",158.6304,343.03824
914,"1170914","Vila Nova de Foz Côa",43.62336,40.31856
1714,"1171714","Vila Real",2531.4768,10501.33248
401,"1180401","Alfândega da Fé",132.192,420.37056
1702,"1181702","Boticas",1554.57792,10577.34288
