"","Muni_ID","ID","Muni","uaa","clc","adj_factor"
"1",1601,"1111601","Arcos de Valdevez",16675,10693,1.55943140372206
"2",1602,"1111602","Caminha",2245,2364,0.949661590524535
"3",1603,"1111603","Melgaço",6296,5036,1.25019857029388
"4",1604,"1111604","Monção",7010,6517,1.07564830443456
"5",1605,"1111605","Paredes de Coura",4371,4679,0.934173968796751
"6",1606,"1111606","Ponte da Barca",10784,4341,2.48422022575443
"7",1607,"1111607","Ponte de Lima",10732,12120,0.885478547854786
"8",1608,"1111608","Valença",2088,3839,0.543891638447512
"9",1609,"1111609","Viana do Castelo",7110,8842,0.804116715675187
"10",1610,"1111610","Vila Nova de Cerveira",963,2676,0.359865470852018
"11",301,"1120301","Amares",2128,3951,0.538597823335864
"12",302,"1120302","Barcelos",12235,17856,0.685203853046595
"13",303,"1120303","Braga",5050,7669,0.658495240578954
"14",306,"1120306","Esposende",2622,3957,0.66262319939348
"15",310,"1120310","Terras de Bouro",8464,3242,2.61073411474399
"16",313,"1120313","Vila Verde",5870,10465,0.560917343526039
"17",307,"1130307","Fafe",4677,7861,0.594962472967816
"18",308,"1130308","Guimarães",5486,11091,0.494635289874673
"19",309,"1130309","Póvoa de Lanhoso",2790,5134,0.543435917413323
"20",1314,"1131314","Santo Tirso",2660,4794,0.554860241969128
"21",1318,"1131318","Trofa",1591,2131,0.746597841389019
"22",311,"1130311","Vieira do Minho",4908,5112,0.960093896713615
"23",312,"1130312","Vila Nova de Famalicão",6380,10011,0.637298971131755
"24",314,"1130314","Vizela",531,1073,0.494874184529357
"25",107,"1140107","Espinho",53,296,0.179054054054054
"26",1304,"1141304","Gondomar",1563,3006,0.519960079840319
"27",1306,"1141306","Maia",1776,3004,0.59121171770972
"28",1308,"1141308","Matosinhos",1226,2000,0.613
"29",1312,"1141312","Porto",0,265,0
"30",1313,"1141313","Póvoa de Varzim",3387,4866,0.696054254007398
"31",1315,"1141315","Valongo",777,1022,0.76027397260274
"32",1316,"1141316","Vila do Conde",6039,7987,0.75610366846125
"33",1317,"1141317","Vila Nova de Gaia",1333,4828,0.276097763048882
"34",1301,"1151301","Amarante",5787,11037,0.524327262843164
"35",1302,"1151302","Baião",3930,6708,0.585867620751342
"36",304,"1150304","Cabeceiras de Basto",5896,6980,0.844699140401146
"37",106,"1150106","Castelo de Paiva",1197,2843,0.421034118888498
"38",305,"1150305","Celorico de Basto",3653,7206,0.506938662225923
