"","Muni_ID","ID","Muni","uaa","clc","adj_factor"
"247",209,"1840209","Mértola",90018,78133,1.15211242368781
"248",210,"1840210","Moura",73022,68997,1.05833586967549
"249",212,"1840212","Ourique",44390,40601,1.09332282456097
"250",213,"1840213","Serpa",86546,87761,0.98615558163649
"251",214,"1840214","Vidigueira",22931,23478,0.976701592980663
"252",1403,"1851403","Almeirim",9642,13017,0.740723669048168
"253",1404,"1851404","Alpiarça",4930,7316,0.673865500273373
"254",1103,"1851103","Azambuja",11134,16350,0.680978593272171
"255",1405,"1851405","Benavente",28792,26920,1.06953937592868
"256",1406,"1851406","Cartaxo",6978,12368,0.564197930142303
"257",1407,"1851407","Chamusca",32239,16319,1.97554997242478
"258",1409,"1851409","Coruche",55835,39649,1.40823223788746
"259",1412,"1851412","Golegã",5823,7245,0.803726708074534
"260",1414,"1851414","Rio Maior",9226,11064,0.833875632682574
"261",1415,"1851415","Salvaterra de Magos",8210,13859,0.592394833682084
"262",1416,"1851416","Santarém",23073,38737,0.595632083021401
"263",801,"1500801","Albufeira",3393,10518,0.322589845978323
"264",802,"1500802","Alcoutim",12448,17175,0.724774381368268
"265",803,"1500803","Aljezur",4164,7497,0.555422168867547
"266",804,"1500804","Castro Marim",7137,14853,0.480508988083216
"267",805,"1500805","Faro",4079,11193,0.364424193692486
"268",806,"1500806","Lagoa",1493,5305,0.281432610744581
"269",807,"1500807","Lagos",2343,7527,0.311279394180949
"270",808,"1500808","Loulé",13888,29238,0.47499828989671
"271",809,"1500809","Monchique",2099,2988,0.702476572958501
"272",810,"1500810","Olhão",2529,7803,0.324106113033449
"273",811,"1500811","Portimão",2431,6669,0.364522417153996
"274",812,"1500812","São Brás de Alportel",3073,3890,0.789974293059126
"275",813,"1500813","Silves",12144,29554,0.410908844826419
"276",814,"1500814","Tavira",11032,24811,0.444641489661844
"277",815,"1500815","Vila do Bispo",4845,5821,0.832331214567944
"278",816,"1500816","Vila Real de Santo António",1198,2988,0.400937081659973
